model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
MECH1_RD_intensity,rd_intensity_w,manufacturing_post2021,-0.13051972333858888,0.28758523811390135,0.6499806902257217,4033,1666,6,-0.014437806098591466,linearmodels.PanelOLS
MECH1_RD_intensity,rd_intensity_w,ln_assets_w,0.2967210484470168,0.5255097949643297,0.5723760321916598,4033,1666,6,-0.014437806098591466,linearmodels.PanelOLS
MECH1_RD_intensity,rd_intensity_w,roa_w,-26.986747056769264,4.043125074906703,3.0780933357732465e-11,4033,1666,6,-0.014437806098591466,linearmodels.PanelOLS
MECH1_RD_intensity,rd_intensity_w,lev_w,-5.382020327921386,1.5203446521332846,0.0004078810300343072,4033,1666,6,-0.014437806098591466,linearmodels.PanelOLS
MECH1_RD_intensity,rd_intensity_w,firm_age_w,-0.7681527286264623,0.8633260685356187,0.3736857810294063,4033,1666,6,-0.014437806098591466,linearmodels.PanelOLS
MECH1_RD_intensity,rd_intensity_w,dual_position,0.22651734220255254,0.26203629067489004,0.3874285905029473,4033,1666,6,-0.014437806098591466,linearmodels.PanelOLS
MECH2_subsidy_channel,ln_patent_stock_w,manufacturing_post2021,-0.07301666003938903,0.045736691753091675,0.11052108923493509,4033,1666,6,0.04436310433583268,linearmodels.PanelOLS
MECH2_subsidy_channel,ln_patent_stock_w,ln_gov_subsidy_rd_w,0.001316251867875429,0.007043813381993036,0.851781513959744,4033,1666,6,0.04436310433583268,linearmodels.PanelOLS
MECH2_subsidy_channel,ln_patent_stock_w,gov_subsidy_rd_missing,0.01336006703290764,0.10292900658062784,0.8967366644997723,4033,1666,6,0.04436310433583268,linearmodels.PanelOLS
MECH2_subsidy_channel,ln_patent_stock_w,rd_intensity_w,-7.459844384203667e-05,0.0029065678195304965,0.979526338044947,4033,1666,6,0.04436310433583268,linearmodels.PanelOLS
MECH2_subsidy_channel,ln_patent_stock_w,ln_assets_w,0.33396337884616417,0.04992113592330269,2.7828406246044324e-11,4033,1666,6,0.04436310433583268,linearmodels.PanelOLS
MECH2_subsidy_channel,ln_patent_stock_w,roa_w,-0.46904321206218863,0.19230674682778617,0.014799923075301091,4033,1666,6,0.04436310433583268,linearmodels.PanelOLS
MECH2_subsidy_channel,ln_patent_stock_w,lev_w,-0.08618252734760712,0.13979724833132232,0.537635895863033,4033,1666,6,0.04436310433583268,linearmodels.PanelOLS
MECH2_subsidy_channel,ln_patent_stock_w,firm_age_w,-0.019112028138873673,0.039201706940413986,0.6259278458055193,4033,1666,6,0.04436310433583268,linearmodels.PanelOLS
MECH2_subsidy_channel,ln_patent_stock_w,dual_position,0.0008604157792175663,0.0339816018182255,0.9798018303313105,4033,1666,6,0.04436310433583268,linearmodels.PanelOLS
MECH3_local_fiscal_interaction,ln_patent_stock_w,manufacturing_post2021,-0.0390571279863493,0.13138318798174545,0.7663412042194868,1347,613,5,0.21933875039407802,linearmodels.PanelOLS
MECH3_local_fiscal_interaction,ln_patent_stock_w,did_x_sci_ratio,0.004840141039924432,0.025509190308028163,0.8495655147792491,1347,613,5,0.21933875039407802,linearmodels.PanelOLS
MECH3_local_fiscal_interaction,ln_patent_stock_w,rd_intensity_w,-3.9743589719418394e-05,0.005102235314097024,0.9937871413431061,1347,613,5,0.21933875039407802,linearmodels.PanelOLS
MECH3_local_fiscal_interaction,ln_patent_stock_w,ln_assets_w,0.362190933132892,0.08019051770788078,7.340584656123639e-06,1347,613,5,0.21933875039407802,linearmodels.PanelOLS
MECH3_local_fiscal_interaction,ln_patent_stock_w,roa_w,-0.5334321116924672,0.2570569191925976,0.038327039266191854,1347,613,5,0.21933875039407802,linearmodels.PanelOLS
MECH3_local_fiscal_interaction,ln_patent_stock_w,lev_w,0.04294892646851917,0.2553343537166871,0.8664679772267214,1347,613,5,0.21933875039407802,linearmodels.PanelOLS
MECH3_local_fiscal_interaction,ln_patent_stock_w,dual_position,0.017915116891299068,0.05055397336647938,0.7231608496743118,1347,613,5,0.21933875039407802,linearmodels.PanelOLS
MECH3_local_fiscal_interaction,ln_patent_stock_w,sci_tech_exp_ratio_w,-0.012206640552195199,0.038130118474968076,0.7489617534605415,1347,613,5,0.21933875039407802,linearmodels.PanelOLS
MECH3_local_fiscal_interaction,ln_patent_stock_w,ip_protection_score_w,-0.0027666291102186103,0.03873020159401013,0.9430726830374621,1347,613,5,0.21933875039407802,linearmodels.PanelOLS
MECH3_local_fiscal_interaction,ln_patent_stock_w,tech_market_turnover_w,-2.05890098198281e-06,2.789001128420516e-05,0.9411723948171975,1347,613,5,0.21933875039407802,linearmodels.PanelOLS
