model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M6_event_study,ln_invention_apply,event_pre_4,0.008047323495844687,0.03210086166380022,0.802055225223528,124337,5262,6,-0.006059836855024425,PanelOLS
M6_event_study,ln_invention_apply,event_pre_3,-0.026789414203805286,0.02958823960630179,0.36525137329423596,124337,5262,6,-0.006059836855024425,PanelOLS
M6_event_study,ln_invention_apply,event_pre_2,0.006747755531560191,0.027735760772343993,0.8077833399128882,124337,5262,6,-0.006059836855024425,PanelOLS
M6_event_study,ln_invention_apply,event_post_0,-0.033125249398268795,0.02600765091578372,0.20278172505062786,124337,5262,6,-0.006059836855024425,PanelOLS
M6_event_study,ln_invention_apply,event_post_1,-0.03278456746788336,0.029297046020297868,0.26312531652192095,124337,5262,6,-0.006059836855024425,PanelOLS
M6_event_study,ln_invention_apply,ln_assets,0.03444310949857419,0.01975224816507668,0.08120415393395386,124337,5262,6,-0.006059836855024425,PanelOLS
M6_event_study,ln_invention_apply,roa,0.00664633275326021,0.06439117093073372,0.9177900680694699,124337,5262,6,-0.006059836855024425,PanelOLS
M6_event_study,ln_invention_apply,firm_age,0.03503702844163425,0.05709173892222034,0.5394167489401553,124337,5262,6,-0.006059836855024425,PanelOLS
M6_event_study,ln_invention_apply,event_pre_4,0.0056223839821176414,0.029486493841700528,0.8487793000860302,127617,5265,7,-0.006815122046032629,PanelOLS
M6_event_study,ln_invention_apply,event_pre_3,-0.028519323134965874,0.027384774682437878,0.29767813006877875,127617,5265,7,-0.006815122046032629,PanelOLS
M6_event_study,ln_invention_apply,event_pre_2,0.005248258266107721,0.02635902090486948,0.8421795934449872,127617,5265,7,-0.006815122046032629,PanelOLS
M6_event_study,ln_invention_apply,event_post_0,-0.03408954047527958,0.025095974468203514,0.1743498037338127,127617,5265,7,-0.006815122046032629,PanelOLS
M6_event_study,ln_invention_apply,event_post_1,-0.03348091455763195,0.028326939963121713,0.23722940897499067,127617,5265,7,-0.006815122046032629,PanelOLS
M6_event_study,ln_invention_apply,ln_assets,0.030520487537618515,0.01923430355359002,0.11256648572321648,127617,5265,7,-0.006815122046032629,PanelOLS
M6_event_study,ln_invention_apply,roa,0.02073220758038453,0.06359943274085612,0.7444392773503394,127617,5265,7,-0.006815122046032629,PanelOLS
M6_event_study,ln_invention_apply,firm_age,0.035363398293824976,0.055251546688075054,0.5221454594998556,127617,5265,7,-0.006815122046032629,PanelOLS
M6_event_study,ln_invention_apply,event_pre_4,0.026509912479578564,0.03239994424361714,0.4132392283419539,177645,5629,8,0.0009150559736460506,PanelOLS
M6_event_study,ln_invention_apply,event_pre_3,-0.008272145632841973,0.029422419176110888,0.778594844134836,177645,5629,8,0.0009150559736460506,PanelOLS
M6_event_study,ln_invention_apply,event_pre_2,0.021670995159340775,0.02806374827754246,0.4399934819150746,177645,5629,8,0.0009150559736460506,PanelOLS
M6_event_study,ln_invention_apply,event_post_0,-0.030811947471740847,0.02578558867779719,0.23211642230969343,177645,5629,8,0.0009150559736460506,PanelOLS
M6_event_study,ln_invention_apply,event_post_1,-0.03277662051994629,0.028817999268563214,0.2553867834450725,177645,5629,8,0.0009150559736460506,PanelOLS
M6_event_study,ln_invention_apply,event_post_2,-0.030200086967122435,0.030110535713927605,0.3158747767522785,177645,5629,8,0.0009150559736460506,PanelOLS
M6_event_study,ln_invention_apply,event_post_3,-0.07710419812833691,0.03640359373237516,0.03417327222948918,177645,5629,8,0.0009150559736460506,PanelOLS
M6_event_study,ln_invention_apply,ln_assets,0.04902532571012496,0.016083996690273446,0.0023034273633175673,177645,5629,8,0.0009150559736460506,PanelOLS
M6_event_study,ln_invention_apply,roa,0.036485765083046726,0.06218785792706738,0.5574043701059295,177645,5629,8,0.0009150559736460506,PanelOLS
M6_event_study,ln_invention_apply,firm_age,0.0105381563706628,0.03782094544138987,0.7805269643681669,177645,5629,8,0.0009150559736460506,PanelOLS
M6_event_study,ln_invention_apply,event_pre_2,0.022561549290520046,0.02809727565124748,0.42198771886988773,141790,5606,6,-0.011561123731920198,PanelOLS
M6_event_study,ln_invention_apply,event_post_0,-0.031213236070773885,0.025663789703246984,0.22389697657113583,141790,5606,6,-0.011561123731920198,PanelOLS
M6_event_study,ln_invention_apply,event_post_1,-0.035903525122643526,0.028645449255767404,0.21007097079018755,141790,5606,6,-0.011561123731920198,PanelOLS
M6_event_study,ln_invention_apply,event_post_2,-0.036500212931474714,0.030307890850867998,0.2284703860277093,141790,5606,6,-0.011561123731920198,PanelOLS
M6_event_study,ln_invention_apply,event_post_3,-0.08774734514514088,0.03675205862800239,0.0169624914226727,141790,5606,6,-0.011561123731920198,PanelOLS
M6_event_study,ln_invention_apply,ln_assets,0.09605366532241238,0.019508729398968864,8.505477469000766e-07,141790,5606,6,-0.011561123731920198,PanelOLS
M6_event_study,ln_invention_apply,roa,0.0011377928768938213,0.06433064893305396,0.9858888665120595,141790,5606,6,-0.011561123731920198,PanelOLS
M6_event_study,ln_invention_apply,firm_age,-0.03364576969545772,0.03937562320932855,0.39283936339104875,141790,5606,6,-0.011561123731920198,PanelOLS
