,0
soe,0.7134484717822591
RDExpenses,0.6460932574737513
ln_rd_subsidy,0.30877236677225783
rd_subsidy,0.30877236677225783
RDInvest,0.30774499350108575
RDPersonRatio,0.1725675770335375
RDPerson,0.170901987033304
RDSpendSumRatio,0.15683008647058366
etr,0.14724126927297776
rd_intensity_calc,0.1466030525439163
ln_rd_expense,0.14302281235649852
RDSpendSum,0.14302281235649852
rd_expense,0.14302281235649852
rd_subsidy_items,0.12832047819555895
total_subsidy,0.12832047819555895
ln_total_subsidy,0.12832047819555895
total_subsidy_items,0.12832047819555895
city_code,0.03274363145318836
province_code,0.03274363145318836
firm_age,0.03226886047181339
revenue,0.019948164348590865
income_tax_expense,0.01548843037600305
ln_assets,3.113252336885035e-05
total_assets,3.113252336885035e-05
cf_operating_inflow,3.113252336885035e-05
cf_operating_net,3.113252336885035e-05
cf_operating_outflow,3.113252336885035e-05
roa,3.113252336885035e-05
year,0.0
profit_before_tax,0.0
design_cum_accepted,0.0
design_grant,0.0
design_cum_obtain,0.0
invention_grant,0.0
invention_apply,0.0
utility_obtain,0.0
utility_cum_grant,0.0
utility_cum_accepted,0.0
utility_cum_obtain,0.0
patent_cum_accepted,0.0
patent_cum_obtain,0.0
utility_grant,0.0
utility_apply,0.0
patent_cum_grant,0.0
patent_obtain,0.0
patent_apply,0.0
patent_grant,0.0
invention_obtain,0.0
invention_cum_grant,0.0
invention_cum_accepted,0.0
invention_cum_obtain,0.0
design_cum_grant,0.0
design_obtain,0.0
design_apply,0.0
post2023,0.0
manufacturing,0.0
post2022,0.0
post2021,0.0
post2020,0.0
rd_tax_deduction_est,0.0
tax_saving_est,0.0
manufacturing_post2020,0.0
rd_deduction_rate,0.0
manufacturing_post2022,0.0
manufacturing_post2021,0.0
ln_rd_tax_deduction_est,0.0
ln_tax_saving_est,0.0
