model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M5a_drop2024,ln_invention_apply,manufacturing_post2021,-0.03033618994081793,0.023269553322975763,0.19234319928641463,124337,5262,6,-0.006317652138838836,PanelOLS
M5a_drop2024,ln_invention_apply,ln_assets,0.03439303489990095,0.01972910691363472,0.0812901532336543,124337,5262,6,-0.006317652138838836,PanelOLS
M5a_drop2024,ln_invention_apply,roa,0.006657569694284146,0.06430497155097226,0.9175415774015403,124337,5262,6,-0.006317652138838836,PanelOLS
M5a_drop2024,ln_invention_apply,firm_age,0.034890605129286066,0.05708383857795478,0.5410571834756968,124337,5262,6,-0.006317652138838836,PanelOLS
M5b_ctrl_post2023,ln_invention_apply,manufacturing_post2021,-0.03033618994081793,0.023269553322975763,0.19234319928641463,124337,5262,6,-0.006317652138838836,PanelOLS
M5b_ctrl_post2023,ln_invention_apply,ln_assets,0.03439303489990095,0.01972910691363472,0.0812901532336543,124337,5262,6,-0.006317652138838836,PanelOLS
M5b_ctrl_post2023,ln_invention_apply,roa,0.006657569694284146,0.06430497155097226,0.9175415774015403,124337,5262,6,-0.006317652138838836,PanelOLS
M5b_ctrl_post2023,ln_invention_apply,firm_age,0.034890605129286066,0.05708383857795478,0.5410571834756968,124337,5262,6,-0.006317652138838836,PanelOLS
M5c_placebo_post2020,ln_invention_apply,manufacturing_post2020,-0.017385697455917337,0.023212206152232864,0.45386504547887796,124337,5262,6,-0.007191309318622663,PanelOLS
M5c_placebo_post2020,ln_invention_apply,ln_assets,0.033441726990127554,0.019691930399334874,0.08946409885751683,124337,5262,6,-0.007191309318622663,PanelOLS
M5c_placebo_post2020,ln_invention_apply,roa,0.0047534089989821485,0.0644920301446009,0.9412449489042771,124337,5262,6,-0.007191309318622663,PanelOLS
M5c_placebo_post2020,ln_invention_apply,firm_age,0.03490206981911399,0.05706837218577104,0.5408145830107971,124337,5262,6,-0.007191309318622663,PanelOLS
M5a_drop2024,ln_invention_apply,manufacturing_post2021,-0.03010918634650931,0.023221062604717145,0.19476008203207384,127617,5265,7,-0.007016626114954905,PanelOLS
M5a_drop2024,ln_invention_apply,ln_assets,0.030526607545227215,0.01921783939041971,0.1121868435421256,127617,5265,7,-0.007016626114954905,PanelOLS
M5a_drop2024,ln_invention_apply,roa,0.020792100994231632,0.06353598994419346,0.743479981830834,127617,5265,7,-0.007016626114954905,PanelOLS
M5a_drop2024,ln_invention_apply,firm_age,0.03521190936834672,0.05524198290650071,0.523857629441238,127617,5265,7,-0.007016626114954905,PanelOLS
M5b_ctrl_post2023,ln_invention_apply,manufacturing_post2021,-0.03010918634650931,0.023221062604717145,0.19476008203207384,127617,5265,7,-0.007016626114954905,PanelOLS
M5b_ctrl_post2023,ln_invention_apply,ln_assets,0.030526607545227215,0.01921783939041971,0.1121868435421256,127617,5265,7,-0.007016626114954905,PanelOLS
M5b_ctrl_post2023,ln_invention_apply,roa,0.020792100994231632,0.06353598994419346,0.743479981830834,127617,5265,7,-0.007016626114954905,PanelOLS
M5b_ctrl_post2023,ln_invention_apply,firm_age,0.03521190936834672,0.05524198290650071,0.523857629441238,127617,5265,7,-0.007016626114954905,PanelOLS
M5c_placebo_post2020,ln_invention_apply,manufacturing_post2020,-0.017544723891167426,0.023073411258950245,0.44702470718368303,127617,5265,7,-0.00783354339639053,PanelOLS
M5c_placebo_post2020,ln_invention_apply,ln_assets,0.029637392062728935,0.019184471784682713,0.12238184714676947,127617,5265,7,-0.00783354339639053,PanelOLS
M5c_placebo_post2020,ln_invention_apply,roa,0.0190179995874074,0.06372662662803551,0.7653747544868579,127617,5265,7,-0.00783354339639053,PanelOLS
M5c_placebo_post2020,ln_invention_apply,firm_age,0.035220403266374496,0.05522833551990054,0.523654927824202,127617,5265,7,-0.00783354339639053,PanelOLS
M5a_drop2024,ln_invention_apply,manufacturing_post2021,-0.037428453844385104,0.022633092987209457,0.09818967332379325,150824,5530,7,-0.005462979726288175,PanelOLS
M5a_drop2024,ln_invention_apply,ln_assets,0.047448444521889475,0.01727485817990453,0.0060209921884673,150824,5530,7,-0.005462979726288175,PanelOLS
M5a_drop2024,ln_invention_apply,roa,0.013601720717749937,0.0617025033341635,0.8255285421833949,150824,5530,7,-0.005462979726288175,PanelOLS
M5a_drop2024,ln_invention_apply,firm_age,0.02824263479898897,0.04198384478353572,0.5011376853003262,150824,5530,7,-0.005462979726288175,PanelOLS
M5b_ctrl_post2023,ln_invention_apply,manufacturing_post2021,-0.05092247717160651,0.022800421248141984,0.025523811630064674,177645,5629,8,0.0016453781311833726,PanelOLS
M5b_ctrl_post2023,ln_invention_apply,ln_assets,0.047605789456243316,0.01599273005522844,0.002913958497834379,177645,5629,8,0.0016453781311833726,PanelOLS
M5b_ctrl_post2023,ln_invention_apply,roa,0.03924816013262651,0.062043775380446614,0.5270034362988931,177645,5629,8,0.0016453781311833726,PanelOLS
M5b_ctrl_post2023,ln_invention_apply,firm_age,0.010233469327820911,0.037792347187370075,0.7865593966005031,177645,5629,8,0.0016453781311833726,PanelOLS
M5c_placebo_post2020,ln_invention_apply,manufacturing_post2020,-0.04036798991583886,0.02257650340095143,0.07376917930994464,177645,5629,8,0.0014082830013480985,PanelOLS
M5c_placebo_post2020,ln_invention_apply,ln_assets,0.046157274066292005,0.015927870972220867,0.0037572552633071687,177645,5629,8,0.0014082830013480985,PanelOLS
M5c_placebo_post2020,ln_invention_apply,roa,0.03893178520093473,0.062112579067230125,0.5307951794518169,177645,5629,8,0.0014082830013480985,PanelOLS
M5c_placebo_post2020,ln_invention_apply,firm_age,0.010020362177601529,0.037759191877436434,0.7907205717706387,177645,5629,8,0.0014082830013480985,PanelOLS
M5a_drop2024,ln_invention_apply,manufacturing_post2021,-0.04571510280624947,0.023585988474217785,0.05259756888983591,114969,5507,5,-0.0025529684526843788,PanelOLS
M5a_drop2024,ln_invention_apply,ln_assets,0.11428017300946926,0.021988414364977282,2.0257629240738595e-07,114969,5507,5,-0.0025529684526843788,PanelOLS
M5a_drop2024,ln_invention_apply,roa,-0.01382079162082483,0.06464640012534867,0.8307107664860203,114969,5507,5,-0.0025529684526843788,PanelOLS
M5a_drop2024,ln_invention_apply,firm_age,-0.04040759321031842,0.04113711986768322,0.32597100285632874,114969,5507,5,-0.0025529684526843788,PanelOLS
M5b_ctrl_post2023,ln_invention_apply,manufacturing_post2021,-0.057296309598735204,0.023599769511797007,0.015190604103464178,141790,5606,6,-0.008418313689361634,PanelOLS
M5b_ctrl_post2023,ln_invention_apply,ln_assets,0.09340752724911587,0.019341418661080603,1.3709058677147112e-06,141790,5606,6,-0.008418313689361634,PanelOLS
M5b_ctrl_post2023,ln_invention_apply,roa,0.00451527140114369,0.0642016630162537,0.9439314995829644,141790,5606,6,-0.008418313689361634,PanelOLS
M5b_ctrl_post2023,ln_invention_apply,firm_age,-0.034140024534912765,0.0392729283636911,0.38468364951746636,141790,5606,6,-0.008418313689361634,PanelOLS
M5c_placebo_post2020,ln_invention_apply,manufacturing_post2020,-0.044659206059227435,0.025356006807502635,0.07819207714743581,141790,5606,6,-0.007160207269829799,PanelOLS
M5c_placebo_post2020,ln_invention_apply,ln_assets,0.09030195381673768,0.019245218486382165,2.705764592603188e-06,141790,5606,6,-0.007160207269829799,PanelOLS
