model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M4a_tax_intensity,ln_invention_apply,manufacturing_post2021,-0.029643936061224195,0.02326645102352739,0.20262816839525732,124337,5262,6,-0.00666210578162163,PanelOLS
M4a_tax_intensity,ln_invention_apply,ln_tax_saving,0.0019991588990598626,0.0017425020121116881,0.2512631980615687,124337,5262,6,-0.00666210578162163,PanelOLS
M4a_tax_intensity,ln_invention_apply,ln_assets,0.03203239960378927,0.019990074793949004,0.109066479565046,124337,5262,6,-0.00666210578162163,PanelOLS
M4a_tax_intensity,ln_invention_apply,roa,0.0013351399647069013,0.06406983666914512,0.9833742633641185,124337,5262,6,-0.00666210578162163,PanelOLS
M4a_tax_intensity,ln_invention_apply,firm_age,0.03516312103358173,0.05708274312292828,0.5378939483701028,124337,5262,6,-0.00666210578162163,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,manufacturing_post2021,-0.03332166014389041,0.023286737904583354,0.15245341345051666,119114,5262,6,-0.011158165167899359,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,ln_tax_saving_l1,0.0012994172395653495,0.0016869274630649741,0.44113163550390766,119114,5262,6,-0.011158165167899359,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,ln_assets,0.023120804476687577,0.01956143092784122,0.23722453700072021,119114,5262,6,-0.011158165167899359,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,roa,0.013109545358297886,0.06335449831209425,0.836069839954849,119114,5262,6,-0.011158165167899359,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,firm_age,0.04641158715025209,0.05820753151843019,0.42525132855516845,119114,5262,6,-0.011158165167899359,PanelOLS
M4a_tax_intensity,ln_invention_apply,manufacturing_post2021,-0.0292502867914403,0.023214977465151002,0.20768085334356678,127617,5265,7,-0.007673789646284623,PanelOLS
M4a_tax_intensity,ln_invention_apply,ln_tax_saving,0.0023993123792232255,0.0015905832376237393,0.13144244386517512,127617,5265,7,-0.007673789646284623,PanelOLS
M4a_tax_intensity,ln_invention_apply,ln_assets,0.027636098474961065,0.019453068194705953,0.15541963106897816,127617,5265,7,-0.007673789646284623,PanelOLS
M4a_tax_intensity,ln_invention_apply,roa,0.013951392847957999,0.06334637780967305,0.825684778068974,127617,5265,7,-0.007673789646284623,PanelOLS
M4a_tax_intensity,ln_invention_apply,firm_age,0.035957950598972284,0.05525830041291231,0.5152253251822687,127617,5265,7,-0.007673789646284623,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,manufacturing_post2021,-0.03368689207260126,0.023380539806005962,0.14964132470850666,122392,5262,6,-0.012488490182194445,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,ln_tax_saving_l1,0.0014995483843603284,0.0016028909374430386,0.34951850052807987,122392,5262,6,-0.012488490182194445,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,ln_assets,0.019303180429988243,0.020028399840966785,0.335152987125688,122392,5262,6,-0.012488490182194445,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,roa,0.03360224695293604,0.06303208595901112,0.5939671064743097,122392,5262,6,-0.012488490182194445,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,firm_age,0.04784881007269971,0.05827398218922632,0.41159055814910617,122392,5262,6,-0.012488490182194445,PanelOLS
M4a_tax_intensity,ln_invention_apply,manufacturing_post2021,-0.0488660759123979,0.02279656383663495,0.03206859437261356,177645,5629,8,0.0016609219249139606,PanelOLS
M4a_tax_intensity,ln_invention_apply,ln_tax_saving,0.0033373502302825294,0.001574541133665126,0.03404374870365068,177645,5629,8,0.0016609219249139606,PanelOLS
M4a_tax_intensity,ln_invention_apply,ln_assets,0.04392203067294877,0.016232957186500117,0.0068160752211836595,177645,5629,8,0.0016609219249139606,PanelOLS
M4a_tax_intensity,ln_invention_apply,roa,0.02940554199296575,0.06195298861279629,0.6350421739195733,177645,5629,8,0.0016609219249139606,PanelOLS
M4a_tax_intensity,ln_invention_apply,firm_age,0.010904791751902518,0.03781383215094787,0.7730554368464142,177645,5629,8,0.0016609219249139606,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,manufacturing_post2021,-0.05277975001355697,0.022845770463930985,0.02087478599233239,172113,5629,8,0.0014814819264983292,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,ln_tax_saving_l1,0.0027623886391521333,0.0015219400800419653,0.06951890342172362,172113,5629,8,0.0014814819264983292,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,ln_assets,0.03619905238330876,0.01615956508225995,0.025085702842159163,172113,5629,8,0.0014814819264983292,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,roa,0.03999821826498567,0.06156483145998005,0.515891671430893,172113,5629,8,0.0014814819264983292,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,firm_age,0.014051022328018154,0.03831167420927791,0.7138017707017852,172113,5629,8,0.0014814819264983292,PanelOLS
M4a_tax_intensity,ln_invention_apply,manufacturing_post2021,-0.056386282558550896,0.02358486042919218,0.016813837822299282,141790,5606,6,-0.007889294798236524,PanelOLS
M4a_tax_intensity,ln_invention_apply,ln_tax_saving,0.0028616418600676094,0.0020944001421952896,0.1718376479892516,141790,5606,6,-0.007889294798236524,PanelOLS
M4a_tax_intensity,ln_invention_apply,ln_assets,0.09053353128433371,0.019551336231407448,3.6502364400003984e-06,141790,5606,6,-0.007889294798236524,PanelOLS
M4a_tax_intensity,ln_invention_apply,roa,-0.00045408867131643734,0.06418665878132022,0.9943554212103072,141790,5606,6,-0.007889294798236524,PanelOLS
M4a_tax_intensity,ln_invention_apply,firm_age,-0.03366741870223488,0.03930698580051645,0.3917089200057031,141790,5606,6,-0.007889294798236524,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,manufacturing_post2021,-0.05798740359027161,0.023638045149947228,0.014162868730669631,136276,5606,6,-0.006949899638153845,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,ln_tax_saving_l1,0.0026042698527601986,0.0019693142003640272,0.18602906421675147,136276,5606,6,-0.006949899638153845,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,ln_assets,0.07738799051173613,0.019624517701350045,8.036495366825491e-05,136276,5606,6,-0.006949899638153845,PanelOLS
M4b_tax_intensity_lag,ln_invention_apply,roa,-0.009261125665307292,0.06396793148929783,0.8848866662655379,136276,5606,6,-0.006949899638153845,PanelOLS
