stock_code,firm_name,year,industry_code,industry_name,manufacturing,province_std,rd_intensity,rd_tax_deduction,rd_expense_est,patent_stock,gov_subsidy_rd,rd_deduction_rate,ln_assets,roa,lev,firm_age,dual_position,post2021,post2022,post2023,manufacturing_post2021,manufacturing_post2022,province_gdp,ln_gdp_prov,province_budget_exp,province_sci_tech_exp,sci_tech_exp_ratio,ip_protection_score,invention_apply,invention_grant,patent_apply_total,patent_grant_total,tech_market_turnover
000019,深粮控股,2019.0,F51,批发业,0,,0.3832,-1022164.77,5451545.44,89.0,425903.22,0.75,22.64,0.056755,0.31758,27.0,0,0,0,0,0,0,,,,,,,,,,,
000055,方大集团,2019.0,C33,金属制品业,0,广东省,4.56,-6852260.04,36545386.88,920.0,2311141.18,0.75,23.15,0.030498,0.53991,23.0,1,0,0,0,0,0,110468.1,11.6124820704788,17297.85,1168.79,6.76,90.86,203311.0,59742.0,807700.0,527390.0,2223.08
000158,常山北明,2019.0,I65,软件和信息技术服务业,0,河北省,2.71,-6171319.13,32913702.026666667,97.0,1103000.0,0.75,23.37,0.006726,0.581776,19.0,0,0,0,0,0,0,35623.5,10.480760811421343,8309.04,90.7,1.09,81.77,20536.0,5130.0,101274.0,57809.0,381.19
000301,东方盛虹,2019.0,C28,化学纤维制造业,1,,3.01,-30530149.48,162827463.89333335,175.0,33014682.6,0.75,24.28,0.046006,0.563384,19.0,1,0,0,0,0,0,,,,,,,,,,,
000425,徐工机械,2019.0,C35,专用设备制造业,1,,4.15,-246991245.83,1317286644.4266667,5159.0,48745120.0,0.75,25.07,0.047164,0.564685,23.0,0,0,0,0,0,0,,,,,,,,,,,
000528,柳工,2019.0,C35,专用设备制造业,1,,3.51,-25522413.72,136119539.84,1206.0,,0.75,24.12,0.03596,0.637307,26.0,0,0,0,0,0,0,,,,,,,,,,,
000547,航天发展,2019.0,C39,计算机、通信和其他电子设备制造业,1,,13.94,-43791979.27,233557222.77333334,374.0,44519075.82,0.75,23.1,0.065514,0.247343,26.0,0,0,0,0,0,0,,,,,,,,,,,
000551,创元科技,2019.0,S91,综合,0,江苏省,4.59,-13629247.95,72689322.39999999,425.0,,0.75,22.26,0.042358,0.483675,25.0,0,0,0,0,0,0,99836.9,11.511293133441717,12573.55,572.04,4.55,89.92,172409.0,39681.0,594249.0,314395.0,1471.52
000701,厦门信达,2019.0,F51,批发业,0,,0.3832,-8397864.23,44788609.22666667,321.0,86666.65,0.75,23.71,-0.13318,0.7840141999999997,22.0,0,0,0,0,0,0,,,,,,,,,,,
000807,云铝股份,2019.0,C32,有色金属冶炼和压延加工业,0,云南省,4.13,-1886716.34,10062487.146666666,404.0,,0.75,24.4,0.013775,0.682323,21.0,0,0,0,0,0,0,23902.1,10.081721600168388,6770.09,59.0,0.87,76.67,8996.0,2174.0,35212.0,22324.0,82.7
000810,创维数字,2019.0,C39,计算机、通信和其他电子设备制造业,1,四川省,5.5,-38506145.72,205366110.50666666,1051.0,21646281.0,0.75,23.08,0.058472,0.629257,21.0,0,0,0,0,0,0,47168.6,10.76148369595657,10348.17,184.95,1.79,84.93,39539.0,12053.0,131529.0,82066.0,1211.95
000881,中广核技,2019.0,C26,化学原料和化学制品制造业,1,,3.76,-37537488.43,200199938.29333332,649.0,17732800.0,0.75,23.16,0.012376,0.460769,21.0,0,0,0,0,0,0,,,,,,,,,,,
000973,佛塑科技,2019.0,C29,橡胶和塑料制品业,0,广东省,3.12,-9937691.7,53001022.4,169.0,,0.75,22.14,0.016647,0.370008,19.0,0,0,0,0,0,0,110468.1,11.6124820704788,17297.85,1168.79,6.76,90.86,203311.0,59742.0,807700.0,527390.0,2223.08
000998,隆平高科,2019.0,A01,农业,0,湖南省,13.15,-1010741.62,5390621.973333334,48.0,9355294.23,0.75,23.46,-0.011724,0.557134,19.0,0,0,0,0,0,0,39930.7,10.594900730582294,8034.42,171.92,2.14,82.81,39104.0,8479.0,106113.0,54685.0,490.69
002020,京新药业,2019.0,C27,医药制造业,1,,6.97,-27471412.8,146514201.6,135.0,3439055.93,0.75,22.45,0.092789,0.340328,15.0,0,0,0,0,0,0,,,,,,,,,,,
002026,山东威达,2019.0,C33,金属制品业,0,山东省,4.9,-6752454.43,36013090.29333333,246.0,4340461.05,0.75,21.78,-0.041922,0.190681,15.0,0,0,0,0,0,0,72024.3,11.184758841057878,10739.76,305.76,2.85,87.63,69350.0,20652.0,263211.0,146481.0,1110.02
002028,思源电气,2019.0,C38,电气机械和器材制造业,1,上海市,6.07,-40158583.22,214179110.50666666,576.0,31516577.04,0.75,22.9,0.065099,0.412307,15.0,1,0,0,0,0,0,40241.2,10.60264662540254,8179.28,389.54,4.76,87.93,71398.0,22735.0,173586.0,100587.0,1422.35
002056,横店东磁,2019.0,C38,电气机械和器材制造业,1,浙江省,4.5,-35885852.25,191391212.0,637.0,11959016.64,0.75,22.86,0.081588,0.371487,13.0,0,0,0,0,0,0,64632.0,11.076464923159545,10053.03,516.06,5.13,88.84,112981.0,33964.0,435883.0,285342.0,888.01
002057,中钢天源,2019.0,C26,化学原料和化学制品制造业,1,,5.17,-5168213.7,27563806.400000002,172.0,6432402.86,0.75,21.48,0.064668,0.325592,13.0,0,0,0,0,0,0,,,,,,,,,,,
002064,华峰化学,2019.0,C28,化学纤维制造业,1,浙江省,3.85,-57320084.48,305707117.2266666,179.0,,0.75,23.55,0.108442,0.542589,13.0,0,0,0,0,0,0,64632.0,11.076464923159545,10053.03,516.06,5.13,88.84,112981.0,33964.0,435883.0,285342.0,888.01
002079,苏州固锝,2019.0,C39,计算机、通信和其他电子设备制造业,1,,4.09,-6653614.18,35485942.29333333,200.0,1863209.07,0.75,21.53,0.061308,0.157423,13.0,0,0,0,0,0,0,,,,,,,,,,,
002080,中材科技,2019.0,C30,非金属矿物制品业,0,江苏省,4.95,-10360783.82,55257513.70666667,695.0,21410393.86,0.75,24.1,0.048778,0.563553,13.0,0,0,0,0,0,0,99836.9,11.511293133441717,12573.55,572.04,4.55,89.92,172409.0,39681.0,594249.0,314395.0,1471.52
002091,江苏国泰,2019.0,F51,批发业,0,,0.3832,-7543280.61,40230829.92,77.0,1461972.07,0.75,23.88,0.061477,0.523971,13.0,0,0,0,0,0,0,,,,,,,,,,,
002098,浔兴股份,2019.0,C41,其他制造业,1,,3.17,-4411303.11,23526949.92,700.0,12226615.92,0.75,21.44,0.015659,0.647407,13.0,0,0,0,0,0,0,,,,,,,,,,,
002099,海翔药业,2019.0,C27,医药制造业,1,,4.17,-15620860.07,83311253.70666666,2.0,539809.59,0.75,22.63,0.114237,0.151579,13.0,0,0,0,0,0,0,,,,,,,,,,,
002105,信隆健康,2019.0,C37,铁路、船舶、航空航天和其他运输设备制造业,1,,2.46,-4228330.4,22551095.46666667,122.0,,0.75,21.22,0.014517,0.637188,12.0,0,0,0,0,0,0,,,,,,,,,,,
002112,三变科技,2019.0,C38,电气机械和器材制造业,1,,3.47,-2774336.0,14796458.666666666,53.0,322200.0,0.75,20.76,0.009626,0.634387,12.0,0,0,0,0,0,0,,,,,,,,,,,
002140,东华科技,2019.0,E48,土木工程建筑业,0,安徽省,3.59,-7618408.71,40631513.12,94.0,1977210.69,0.75,22.62,0.026921,0.662781,12.0,0,0,0,0,0,0,37584.8,10.534354992325627,7392.22,377.95,5.11,84.56,62743.0,14958.0,166871.0,82524.0,449.61
002154,报喜鸟,2019.0,C18,纺织服装、服饰业,0,,1.87,-5714688.69,30478339.680000003,102.0,1711463.79,0.75,22.21,0.046238,0.345359,12.0,1,0,0,0,0,0,,,,,,,,,,,
002158,汉钟精机,2019.0,C34,通用设备制造业,1,,6.7,-11917202.32,63558412.373333335,66.0,689616.51,0.75,21.98,0.069984,0.412823,12.0,0,0,0,0,0,0,,,,,,,,,,,
002166,莱茵生物,2019.0,C27,医药制造业,1,广西壮族自治区,1.98,-1434601.58,7651208.426666667,54.0,4121628.0,0.75,21.68,0.040331,0.323927,12.0,1,0,0,0,0,0,21341.5,9.968408812919689,5850.96,72.33,1.24,76.47,12412.0,3413.0,41900.0,22687.0,77.56
002171,楚江新材,2019.0,C32,有色金属冶炼和压延加工业,0,,3.15,-14397854.39,76788556.74666667,548.0,7437037.48,0.75,22.86,0.056637,0.338453,12.0,1,0,0,0,0,0,,,,,,,,,,,
002182,宝武镁业,2019.0,C32,有色金属冶炼和压延加工业,0,,3.95,-11970523.1,63842789.86666667,271.0,2832638.37,0.75,22.36,0.177895,0.477581,12.0,1,0,0,0,0,0,,,,,,,,,,,
002201,九鼎新材,2019.0,C30,非金属矿物制品业,0,江苏省,3.38,-1753956.74,9354435.946666667,97.0,1307600.0,0.75,21.56,0.012184,0.588638,12.0,0,0,0,0,0,0,99836.9,11.511293133441717,12573.55,572.04,4.55,89.92,172409.0,39681.0,594249.0,314395.0,1471.52
002213,大为股份,2019.0,C36,汽车制造业,1,广东省,4.81,-459781.37,2452167.3066666666,60.0,621000.0,0.75,19.95,0.005103,0.190143,11.0,0,0,0,0,0,0,110468.1,11.6124820704788,17297.85,1168.79,6.76,90.86,203311.0,59742.0,807700.0,527390.0,2223.08
002225,濮耐股份,2019.0,C30,非金属矿物制品业,0,,4.66,-14215090.83,75813817.76,242.0,1557873.28,0.75,22.47,0.045738,0.478141,11.0,0,0,0,0,0,0,,,,,,,,,,,
002236,大华股份,2019.0,C39,计算机、通信和其他电子设备制造业,1,浙江省,10.69,-264338243.36,1409803964.5866668,1382.0,100000.0,0.75,24.11,0.106913,0.459619,11.0,0,0,0,0,0,0,64632.0,11.076464923159545,10053.03,516.06,5.13,88.84,112981.0,33964.0,435883.0,285342.0,888.01
002271,东方雨虹,2019.0,C30,非金属矿物制品业,0,北京市,1.96,-17233372.65,91911320.8,817.0,17250600.85,0.75,23.83,0.092581,0.555674,11.0,0,0,0,0,0,0,37767.0,10.539190984434368,7408.19,433.42,5.85,87.98,129930.0,53127.0,226113.0,131716.0,5695.28
002272,川润股份,2019.0,C34,通用设备制造业,1,四川省,3.75,-2088858.94,11140581.013333334,112.0,9469063.21,0.75,21.34,0.035406,0.287924,11.0,1,0,0,0,0,0,47168.6,10.76148369595657,10348.17,184.95,1.79,84.93,39539.0,12053.0,131529.0,82066.0,1211.95
002273,水晶光电,2019.0,C39,计算机、通信和其他电子设备制造业,1,,5.28,-17264240.55,92075949.60000001,200.0,2955489.22,0.75,22.58,0.078114,0.246824,11.0,0,0,0,0,0,0,,,,,,,,,,,
002276,万马股份,2019.0,C38,电气机械和器材制造业,1,浙江省,3.74,-23202706.94,123747770.34666668,311.0,,0.75,22.75,0.030651,0.436836,10.0,0,0,0,0,0,0,64632.0,11.076464923159545,10053.03,516.06,5.13,88.84,112981.0,33964.0,435883.0,285342.0,888.01
002278,神开股份,2019.0,C35,专用设备制造业,1,,8.36,-6998174.88,37323599.36,208.0,13333793.97,0.75,21.22,0.030418,0.270388,10.0,0,0,0,0,0,0,,,,,,,,,,,
002282,博深股份,2019.0,C34,通用设备制造业,1,河北省,3.32,-4178627.37,22286012.64,124.0,2967496.54,0.75,21.73,0.026366,0.182321,10.0,0,0,0,0,0,0,35623.5,10.480760811421343,8309.04,90.7,1.09,81.77,20536.0,5130.0,101274.0,57809.0,381.19
002293,罗莱生活,2019.0,C17,纺织业,0,江苏省,2.06,-6346153.0,33846149.333333336,156.0,150000.0,0.75,22.4,0.1041,0.220335,10.0,0,0,0,0,0,0,99836.9,11.511293133441717,12573.55,572.04,4.55,89.92,172409.0,39681.0,594249.0,314395.0,1471.52
002303,美盈森,2019.0,C22,造纸和纸制品业,0,广东省,4.35,-16064984.88,85679919.36,379.0,3826999.96,0.75,22.71,0.072991,0.278301,10.0,0,0,0,0,0,0,110468.1,11.6124820704788,17297.85,1168.79,6.76,90.86,203311.0,59742.0,807700.0,527390.0,2223.08
002328,新朋股份,2019.0,C36,汽车制造业,1,,1.62,-7413177.9,39536948.800000004,170.0,6875504.96,0.75,22.11,0.043506,0.250121,10.0,0,0,0,0,0,0,,,,,,,,,,,
002334,英威腾,2019.0,C38,电气机械和器材制造业,1,广东省,13.06,-20155259.57,107494717.70666666,901.0,19252062.96,0.75,21.71,-0.164487,0.417781,9.0,1,0,0,0,0,0,110468.1,11.6124820704788,17297.85,1168.79,6.76,90.86,203311.0,59742.0,807700.0,527390.0,2223.08
002335,科华数据,2019.0,C38,电气机械和器材制造业,1,,7.07,-23564930.94,125679631.68,711.0,6232795.85,0.75,22.78,0.027619,0.560623,9.0,1,0,0,0,0,0,,,,,,,,,,,
002340,格林美,2019.0,C42,废弃资源综合利用业,0,广东省,4.65,-25367972.69,135295854.34666666,1956.0,5169293.82,0.75,24.01,0.027924,0.5876,9.0,0,0,0,0,0,0,110468.1,11.6124820704788,17297.85,1168.79,6.76,90.86,203311.0,59742.0,807700.0,527390.0,2223.08
002348,高乐股份,2019.0,C24,文教、工美、体育和娱乐用品制造业,1,,4.08,42682547.51,227640253.38666666,101.0,,0.75,21.09,-0.20303252,0.263467,9.0,1,0,0,0,0,0,,,,,,,,,,,
002351,漫步者,2019.0,C39,计算机、通信和其他电子设备制造业,1,广东省,6.7,-2490819.14,13284368.746666668,172.0,105000.0,0.75,21.52,0.055042,0.153642,9.0,1,0,0,0,0,0,110468.1,11.6124820704788,17297.85,1168.79,6.76,90.86,203311.0,59742.0,807700.0,527390.0,2223.08
