province,year,fiscal_sci_tech_exp,tech_market_turnover,patent_apply_total,fiscal_expenditure,patent_grant_total,gdp,invention_apply,invention_grant,sci_tech_exp_ratio,patent_grant_ratio,invention_share,province_rd_intensity,gdp_estimated_from_rd,ln_gdp,province_rd_exp
上海市,2011,218.5,480.75,80215.0,3914.88,47960.0,20406.1,32142.0,9160.0,5.58,59.8,40.1,,,9.92,
上海市,2012,245.43,518.75,82682.0,4184.02,51508.0,21774.9,37139.0,11379.0,5.87,62.3,44.9,,,9.99,
上海市,2013,257.66,531.68,86450.0,4528.61,48680.0,23809.4,39157.0,10644.0,5.69,56.3,45.3,,,10.08,
上海市,2014,262.29,592.45,81664.0,4923.44,50488.0,25964.5,39133.0,11614.0,5.33,61.8,47.9,,,10.16,
上海市,2015,271.85,663.78,100006.0,6191.56,60623.0,27821.6,46976.0,17601.0,4.39,60.6,47.0,,,10.23,
上海市,2016,341.71,780.99,119937.0,6918.94,64230.0,30963.9,54339.0,20086.0,4.94,53.6,45.3,,,10.34,
上海市,2017,389.9,810.62,131740.0,7547.62,72806.0,34378.3,54630.0,20681.0,5.17,55.3,41.5,3.505699816453984,,10.45,1205.2
上海市,2018,426.37,1225.19,150233.0,8351.54,92460.0,37769.1,62755.0,21331.0,5.11,61.5,41.8,3.5987089975667943,,10.54,1359.2
上海市,2019,389.54,1422.35,173586.0,8179.28,100587.0,40241.2,71398.0,22735.0,4.76,57.9,41.1,3.7886544138842777,,10.6,1524.6
上海市,2020,406.2,1583.22,210293.0,8102.11,139780.0,41603.9,81042.0,24208.0,5.01,66.5,38.5,3.8835301498176857,,10.64,1615.7
上海市,2021,422.7,2545.49,232918.0,8430.86,179317.0,47059.4,92527.0,32860.0,5.01,77.0,39.7,3.8670276289115457,,10.76,1819.8
上海市,2022,386.25,3870.73,224409.0,9393.0,178323.0,48594.5,89448.0,36797.0,4.11,79.5,39.9,4.077827737706942,,10.79,1981.6
上海市,2023,528.05,4642.34,246656.0,9638.51,159115.0,51404.5,97066.0,44345.0,5.48,64.5,39.4,3.9871995642404845,,10.85,2049.6
上海市,2024,,5009.32,243656.0,9874.84,150766.0,53759.5,100217.0,50676.0,,61.9,41.1,4.359601558794259,53878.0,10.89,2343.7
云南省,2011,28.3,11.71,7150.0,2929.6,4199.0,9666.2,2796.0,1006.0,0.97,58.7,39.1,,,9.18,
云南省,2012,32.67,45.48,9260.0,3572.66,5853.0,11266.3,3324.0,1301.0,0.91,63.2,35.9,,,9.33,
云南省,2013,42.59,42.0,11512.0,4096.51,6804.0,13027.0,3961.0,1312.0,1.04,59.1,34.4,,,9.47,
云南省,2014,43.15,47.92,13343.0,4437.98,8124.0,14275.1,4732.0,1423.0,0.97,60.9,35.5,,,9.57,
云南省,2015,48.56,51.84,17603.0,4712.83,11658.0,15358.6,6301.0,2079.0,1.03,66.2,35.8,,,9.64,
云南省,2016,46.86,58.26,23709.0,5018.86,12032.0,16773.6,7907.0,2125.0,0.93,50.7,33.4,,,9.73,
云南省,2017,53.42,84.76,28695.0,5712.97,14230.0,18864.6,7801.0,2259.0,0.94,49.6,27.2,0.8364873890779556,,9.85,157.8
云南省,2018,54.94,89.49,36515.0,6075.03,20340.0,21427.5,9606.0,2297.0,0.9,55.7,26.3,0.874110372185276,,9.97,187.3
云南省,2019,59.0,82.7,35212.0,6770.09,22324.0,23902.1,8996.0,2174.0,0.87,63.4,25.5,0.9204212182193198,,10.08,220.0
云南省,2020,64.94,49.95,45153.0,6974.02,28943.0,25214.5,9753.0,2458.0,0.93,64.1,21.6,0.9756291023022468,,10.14,246.0
云南省,2021,61.85,106.1,47997.0,6634.36,41167.0,27895.3,10293.0,3643.0,0.93,85.8,21.4,1.0105645036977555,,10.24,281.9
云南省,2022,58.97,218.95,52999.0,6699.79,39497.0,29301.1,12036.0,4091.0,0.88,74.5,22.7,1.069925702448031,,10.29,313.5
云南省,2023,61.33,268.88,54207.0,6730.08,32718.0,30595.8,12493.0,5907.0,0.91,60.4,23.0,,,10.33,
云南省,2024,,337.18,61964.0,6862.92,33754.0,31423.4,14231.0,6396.0,,54.5,23.0,1.1691923852924888,31402.0,10.36,367.4
内蒙古自治区,2011,28.21,22.67,3841.0,2989.21,2262.0,9610.8,1267.0,364.0,0.94,58.9,33.0,,,9.17,
内蒙古自治区,2012,27.61,106.1,4732.0,3425.99,3084.0,10638.9,1492.0,569.0,0.81,65.2,31.5,,,9.27,
内蒙古自治区,2013,31.64,38.74,6388.0,3686.52,3836.0,11584.9,1935.0,549.0,0.86,60.1,30.3,,,9.36,
内蒙古自治区,2014,32.87,13.94,6359.0,3879.98,4031.0,12377.3,1924.0,458.0,0.85,63.4,30.3,,,9.42,
内蒙古自治区,2015,35.72,15.39,8876.0,4252.96,5522.0,13062.7,2254.0,797.0,0.84,62.2,25.4,,,9.48,
内蒙古自治区,2016,32.38,12.05,10672.0,4512.71,5846.0,13879.0,2878.0,871.0,0.72,54.8,27.0,,,9.54,
内蒙古自治区,2017,33.67,19.61,11701.0,4529.93,6271.0,15009.9,2845.0,848.0,0.74,53.6,24.3,0.8814182639457959,,9.62,132.3
内蒙古自治区,2018,26.05,19.84,16426.0,4831.46,9625.0,16252.9,3757.0,864.0,0.54,58.6,22.9,0.7949350577435411,,9.7,129.2
内蒙古自治区,2019,28.49,22.48,21069.0,5100.91,11059.0,17479.4,4889.0,911.0,0.56,52.5,23.2,0.8455667814684714,,9.77,147.8
内蒙古自治区,2020,32.38,35.95,26224.0,5270.16,17958.0,17623.4,5381.0,1162.0,0.61,68.5,20.5,0.9141255376374592,,9.78,161.1
内蒙古自治区,2021,35.28,41.15,29462.0,5239.57,24362.0,21584.8,5998.0,1651.0,0.67,82.7,20.4,0.8807123531373929,,9.98,190.1
内蒙古自治区,2022,42.99,51.3,32921.0,5887.7,24640.0,23795.7,6676.0,2054.0,0.73,74.8,20.3,0.8804111667233996,,10.08,209.5
内蒙古自治区,2023,74.97,60.98,39138.0,6836.24,22258.0,25020.5,8248.0,3391.0,1.1,56.9,21.1,,,10.13,
内蒙古自治区,2024,,75.99,45934.0,6916.71,25828.0,26337.0,11625.0,4289.0,,56.2,25.3,0.9477161407905228,26274.0,10.18,249.6
北京市,2011,183.07,1890.28,77955.0,3245.23,40888.0,17653.3,45057.0,15880.0,5.64,52.5,57.8,,,9.78,
北京市,2012,199.94,2458.5,92305.0,3685.31,50511.0,19568.3,52720.0,20140.0,5.43,54.7,57.1,,,9.88,
北京市,2013,234.67,2851.72,123336.0,4173.66,62671.0,21746.0,67554.0,20695.0,5.62,50.8,54.8,,,9.99,
北京市,2014,282.71,3137.19,138111.0,4524.67,74661.0,23577.5,78129.0,23237.0,6.25,54.1,56.6,,,10.07,
北京市,2015,287.8,3453.89,156312.0,5737.7,94031.0,26034.1,88930.0,35308.0,5.02,60.2,56.9,,,10.17,
北京市,2016,285.78,3940.98,189129.0,6406.77,100578.0,28438.7,104643.0,40602.0,4.46,53.2,55.3,,,10.26,
北京市,2017,361.76,4486.89,185928.0,6824.53,106948.0,31325.9,99167.0,46091.0,5.3,57.5,53.3,5.042792066628572,,10.35,1579.7
北京市,2018,425.87,4957.82,211212.0,7471.43,123496.0,35161.4,117664.0,46978.0,5.7,58.5,55.7,5.3206072568214005,,10.47,1870.8
北京市,2019,433.42,5695.28,226113.0,7408.19,131716.0,37767.0,129930.0,53127.0,5.85,58.3,57.5,5.914157862684354,,10.54,2233.6
北京市,2020,410.96,6316.16,254165.0,7116.18,162824.0,38503.6,145035.0,63266.0,5.78,64.1,57.1,6.04255186528013,,10.56,2326.6
北京市,2021,449.45,7005.65,283134.0,7205.12,198778.0,44350.7,167608.0,79210.0,6.24,70.2,59.2,5.928429540007261,,10.7,2629.3
北京市,2022,488.7,7947.51,307175.0,7469.15,202722.0,45222.4,189198.0,88127.0,6.54,66.0,61.6,6.287370860458534,,10.72,2843.3
北京市,2023,521.91,8536.94,318984.0,7971.25,193973.0,47353.7,205179.0,107875.0,6.55,60.8,64.3,6.223589708935099,,10.77,2947.1
北京市,2024,,9153.26,321445.0,8396.49,199702.0,49670.2,210052.0,119635.0,,62.1,65.3,6.600335815035978,49824.0,10.81,3278.4
吉林省,2011,21.18,26.26,8196.0,2201.74,4920.0,7857.7,3334.0,1202.0,0.96,60.0,40.7,,,8.97,
吉林省,2012,24.96,25.12,9171.0,2471.2,5930.0,8831.3,3913.0,1583.0,1.01,64.7,42.7,,,9.09,
吉林省,2013,37.22,34.72,10751.0,2744.81,6219.0,9608.6,4549.0,1496.0,1.36,57.8,42.3,,,9.17,
吉林省,2014,36.45,28.58,11933.0,2913.25,6696.0,10077.0,5288.0,1434.0,1.25,56.1,44.3,,,9.22,
吉林省,2015,41.39,26.47,14800.0,3217.1,8878.0,10162.9,6154.0,2240.0,1.29,60.0,41.6,,,9.23,
吉林省,2016,41.01,116.42,18922.0,3586.09,9995.0,10603.5,7537.0,2428.0,1.14,52.8,39.8,,,9.27,
吉林省,2017,46.84,219.92,20450.0,3725.72,11090.0,11083.0,7780.0,3057.0,1.26,54.2,38.0,1.154921952539926,,9.31,128.0
吉林省,2018,41.1,341.95,27034.0,3789.59,13885.0,11437.4,10530.0,2868.0,1.08,51.4,39.0,1.0054732718974593,,9.34,115.0
吉林省,2019,39.18,474.13,31052.0,3933.42,15579.0,11949.4,11269.0,3006.0,1.0,50.2,36.3,1.2419033591644768,,9.39,148.4
吉林省,2020,39.94,462.15,34438.0,4127.17,23951.0,12499.5,11113.0,3969.0,0.97,69.5,32.3,1.2760510420416817,,9.43,159.5
