province,year,rd_expenditure_100m,rd_intensity_pct,estimated_gdp_100m,rd_intensity_2023_pct
全国,2024,36326.8,2.69,1350439.0,2.58
北京,2024,3278.4,6.58,49824.0,6.22
天津,2024,620.6,3.44,18041.0,3.48
河北,2024,967.8,2.04,47441.0,2.0
山西,2024,311.8,1.22,25557.0,1.14
内蒙古,2024,249.6,0.95,26274.0,0.91
辽宁,2024,730.6,2.24,32616.0,2.15
吉林,2024,231.7,1.61,14391.0,1.51
黑龙江,2024,249.6,1.51,16530.0,1.39
上海,2024,2343.7,4.35,53878.0,3.99
江苏,2024,4597.5,3.36,136830.0,3.22
浙江,2024,2901.4,3.22,90106.0,3.08
安徽,2024,1396.2,2.76,50587.0,2.62
福建,2024,1257.2,2.18,57670.0,2.14
江西,2024,666.3,1.95,34169.0,1.85
山东,2024,2597.3,2.64,98383.0,2.53
河南,2024,1275.1,2.01,63438.0,2.0
湖北,2024,1538.1,2.56,60082.0,2.48
湖南,2024,1394.6,2.62,53229.0,2.53
广东,2024,5099.6,3.6,141656.0,3.48
广西,2024,249.3,0.87,28655.0,0.83
海南,2024,109.6,1.38,7942.0,1.18
重庆,2024,797.3,2.48,32149.0,2.44
四川,2024,1498.8,2.32,64603.0,2.21
贵州,2024,231.1,1.02,22657.0,0.98
云南,2024,367.4,1.17,31402.0,1.13
西藏,2024,7.9,0.29,2724.0,0.28
陕西,2024,926.2,2.61,35487.0,2.49
甘肃,2024,164.6,1.27,12961.0,1.27
青海,2024,33.7,0.85,3965.0,0.79
宁夏,2024,95.3,1.73,5509.0,1.59
新疆,2024,138.5,0.67,20672.0,0.59
