数据库：分省年度数据 
时间： 
指标	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地方财政一般公共预算支出 (亿元)	,8396.49	,7971.25	,7469.15	,7205.12	,7116.18	,7408.19	,7471.43	,6824.53	,6406.77	,
地方财政一般公共服务支出 (亿元) 	,	,545.81	,589.25	,532.65	,527.10	,499.43	,512.40	,493.24	,367.20	,
地方财政国防支出 (亿元) 	,	,7.71	,8.20	,8.25	,8.87	,9.74	,9.62	,9.96	,8.51	,
地方财政公共安全支出 (亿元) 	,	,501.66	,518.42	,497.15	,505.98	,540.62	,516.42	,467.99	,358.79	,
地方财政教育支出 (亿元) 	,	,1227.90	,1171.12	,1147.83	,1138.29	,1137.18	,1025.51	,964.62	,887.37	,
地方财政科学技术支出 (亿元) 	,	,521.91	,488.70	,449.45	,410.96	,433.42	,425.87	,361.76	,285.78	,
地方财政文化体育与传媒支出 (亿元) 	,	,215.87	,204.95	,220.06	,225.11	,279.32	,245.43	,208.96	,198.35	,
地方财政社会保障和就业支出 (亿元) 	,	,1145.82	,1067.80	,1054.19	,1055.86	,972.98	,835.65	,795.38	,716.20	,
地方财政医疗卫生支出 (亿元) 	,	,704.86	,775.82	,632.67	,605.64	,534.41	,490.09	,427.87	,397.95	,
地方财政环境保护支出 (亿元) 	,	,220.67	,222.90	,249.24	,236.90	,308.81	,399.45	,458.44	,363.38	,
地方财政城乡社区事务支出 (亿元) 	,	,929.61	,808.60	,860.00	,872.94	,1074.61	,1246.22	,1034.14	,1120.37	,
地方财政农林水事务支出 (亿元) 	,	,515.53	,462.79	,497.87	,497.33	,584.62	,576.04	,518.35	,443.55	,
地方财政交通运输支出 (亿元) 	,	,373.10	,395.25	,362.70	,327.97	,401.59	,462.99	,446.48	,353.48	,
地方财政资源勘探电力信息等事务支出 (亿元) 	,	,272.53	,197.39	,149.24	,167.15	,163.86	,231.69	,155.24	,194.67	,
地方财政商业服务业等事务支出 (亿元) 	,	,26.60	,31.95	,30.86	,37.13	,31.95	,51.75	,53.73	,56.15	,
地方财政金融监管支出 (亿元) 	,	,23.63	,20.67	,24.36	,16.62	,16.33	,15.15	,12.93	,11.30	,
地方财政国土资源气象等事务支出决策数 (亿元) 	,	,34.53	,36.78	,31.74	,30.61	,23.30	,25.05	,24.11	,19.51	,
地方财政住房保障支出支出 (亿元) 	,	,186.01	,152.13	,152.58	,145.55	,96.84	,132.00	,148.00	,322.09	,
地方财政粮油物资储备管理等事务 (亿元) 	,	,10.45	,19.44	,11.91	,13.12	,13.51	,12.69	,12.04	,11.07	,
地方财政国债还本付息支出 (亿元) 	,	,77.86	,82.83	,77.91	,73.12	,68.78	,62.24	,49.73	,36.33	,
地方财政其他支出 (亿元) 	,	,163.41	,103.09	,105.67	,118.20	,109.64	,134.72	,111.89	,212.72	,
注：1. 地方财政支出均为本级支出，2000年以前不包括国内外债务还本付息支出和利用国外借款收入安排的基本建设支出。
数据来源：国家统计局
