数据库：分省年度数据 
时间：2011年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,2015年	,2014年	,2013年	,2012年	,2011年	,
北京市	,	,321445	,318984	,307175	,283134	,254165	,226113	,211212	,185928	,189129	,156312	,138111	,123336	,92305	,77955	,
天津市	,	,93371	,91141	,84335	,90471	,111514	,96045	,99038	,86996	,106514	,79963	,63422	,60915	,41009	,38489	,
河北省	,	,164883	,149855	,137437	,130705	,125608	,101274	,83785	,61288	,54838	,44060	,30000	,27619	,23241	,17595	,
山西省	,	,47740	,45179	,40421	,40460	,40302	,31705	,27106	,20697	,20031	,14948	,15687	,18859	,16786	,12769	,
内蒙古自治区	,	,45934	,39138	,32921	,29462	,26224	,21069	,16426	,11701	,10672	,8876	,6359	,6388	,4732	,3841	,
辽宁省	,	,105838	,105912	,97292	,88504	,86527	,69732	,65686	,49871	,52603	,42153	,37860	,45996	,41152	,37102	,
吉林省	,	,49301	,46407	,42522	,38807	,34438	,31052	,27034	,20450	,18922	,14800	,11933	,10751	,9171	,8196	,
黑龙江省	,	,51211	,47168	,49027	,47577	,43252	,37313	,34582	,30958	,35293	,34611	,31856	,32264	,30610	,23432	,
上海市	,	,243656	,246656	,224409	,232918	,210293	,173586	,150233	,131740	,119937	,100006	,81664	,86450	,82682	,80215	,
江苏省	,	,753311	,684579	,662509	,696693	,719452	,594249	,600306	,514402	,512429	,428337	,421907	,504500	,472656	,348381	,
浙江省	,	,576160	,553317	,513830	,503197	,507050	,435883	,455590	,377115	,393147	,307264	,261435	,294014	,249373	,177066	,
安徽省	,	,262102	,242322	,221063	,196427	,202298	,166871	,207428	,175872	,172552	,127709	,99160	,93353	,74888	,48556	,
福建省	,	,176687	,171901	,163032	,160703	,174867	,153133	,166610	,128079	,130376	,83146	,58075	,53701	,42773	,32325	,
江西省	,	,94267	,92239	,91815	,100930	,109738	,91474	,86001	,70591	,60494	,36936	,25594	,16938	,12458	,9673	,
山东省	,	,442533	,424640	,408136	,369470	,337280	,263211	,231585	,204859	,212911	,193220	,158619	,155170	,128614	,109599	,
河南省	,	,172726	,176579	,169106	,167550	,178585	,144010	,154381	,119240	,94669	,74373	,62434	,55920	,43442	,34076	,
湖北省	,	,217962	,213714	,202118	,175312	,163613	,141321	,124535	,110234	,95157	,74240	,59050	,50816	,51316	,42510	,
湖南省	,	,109502	,109198	,114087	,114167	,128573	,106113	,94503	,77934	,67779	,54501	,44194	,41336	,35709	,29516	,
广东省	,	,1004280	,963732	,993480	,980634	,967204	,807700	,793819	,627834	,505667	,355939	,278358	,264265	,229514	,196272	,
广西壮族自治区	,	,52954	,49188	,56283	,55987	,51712	,41900	,44224	,56988	,59239	,43696	,32298	,23251	,13610	,8106	,
海南省	,	,26922	,21029	,17273	,17679	,14360	,9302	,6451	,4564	,3658	,3127	,2416	,2359	,1824	,1489	,
重庆市	,	,96787	,92060	,86751	,83555	,83826	,67271	,72121	,64648	,59518	,82791	,55298	,49036	,38924	,32039	,
四川省	,	,192379	,180303	,165499	,163664	,160036	,131529	,152987	,167484	,142522	,110746	,91167	,82453	,66312	,49734	,
贵州省	,	,36644	,36997	,40555	,41733	,49200	,44328	,44508	,34610	,25315	,18295	,22467	,17405	,11296	,8351	,
云南省	,	,61964	,54207	,52999	,47997	,45153	,35212	,36515	,28695	,23709	,17603	,13343	,11512	,9260	,7150	,
西藏自治区	,	,4342	,3486	,3135	,2644	,2296	,2304	,1469	,1097	,712	,309	,248	,203	,170	,263	,
陕西省	,	,125012	,117687	,108096	,105652	,99236	,92087	,76512	,98935	,69611	,74904	,56235	,57287	,43608	,32227	,
甘肃省	,	,38232	,32916	,32512	,30165	,30732	,27637	,27882	,24448	,20276	,14584	,12020	,10976	,8261	,5287	,
青海省	,	,10047	,7686	,7590	,7448	,6736	,5017	,4439	,3181	,3284	,2590	,1534	,1099	,844	,732	,
宁夏回族自治区	,	,18479	,16788	,16233	,14579	,12172	,9275	,9860	,8575	,6149	,4394	,3532	,3230	,1985	,1079	,
新疆维吾尔自治区	,	,37660	,30662	,25795	,22221	,18843	,14771	,14647	,14260	,14105	,12250	,10210	,8224	,7044	,4736	,
数据来源：国家统计局
