,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
patent_stock,4033.0,578.0473592858914,2445.516383188842,1.0,9.0,30.0,92.0,191.0,402.0,1570.3999999999887,6614.119999999999,68519.0
ln_patent_stock,4033.0,5.299424703352766,1.2487986540588671,0.6931471805599453,2.302585092994046,3.4339872044851463,4.532599493153256,5.2574953720277815,5.998936561946683,7.35967563952037,8.797113015518004,11.134880952438056
rd_intensity,4033.0,8.509559955368209,9.005924019375431,0.3832,0.385376,1.69,3.76,5.43,9.39,25.83599999999995,57.02295999999963,57.38199999999973
rd_tax_deduction,4033.0,-32676370.41280436,116085328.65288611,-1836624400.0,-543131432.2667999,-99972156.05799997,-22187403.24,-9929253.76,-4763446.55,-1685409.054000003,-599943.0476000004,42682547.51
ln_rd_tax_deduction,4033.0,0.031351188789622085,0.7053442917468632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.569300694658246
rd_expense_est,4033.0,142026769.81770396,521980385.09889287,44569.4,2921885.7557333335,7767062.408,20964315.04,43789345.32,96206328.0,412688413.26399904,2202528426.9087977,9495818666.666666
gov_subsidy_rd,2387.0,6079335.629597821,15112095.159673069,4.86,19046.037399999997,100006.654,828181.245,2491420.02,6206160.07,23544371.10599996,59417299.070399985,521570527.2
ln_assets,4033.0,22.043520952144803,1.1925557791270194,19.29,19.99,20.506,21.24,21.85,22.6,24.24,25.87079999999999,28.7
roa,4033.0,0.03457674777089015,0.06277035945689241,-0.20303252,-0.2026541136,-0.08318619999999999,0.011042,0.038264,0.067627,0.12772639999999996,0.19957159839999877,0.2007718799999991
lev,4033.0,0.369433694222663,0.1820468148981523,0.0522156,0.052303728,0.0935266,0.221711,0.359491,0.501998,0.682323,0.7834995759999995,0.7840141999999997
firm_age,4033.0,6.973964790478552,5.837504170127845,2.0,2.0,2.0,3.0,5.0,10.0,20.0,27.0,31.0
sci_tech_exp_ratio,1347.0,4.57626577579807,1.5347508804755752,0.31,0.87,1.36,3.9,5.0,5.48,6.55,6.76,6.76
ip_protection_score,1933.0,88.8948473874806,4.161290416396808,67.77,76.2728,81.54,87.01,90.09,91.74,93.54,93.54,93.54
tech_market_turnover,1933.0,3421.912146921883,2129.074388942268,6.21,50.382,375.76,1903.89,3267.21,4799.84,8536.94,9153.26,9153.26
