model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M1_DID_2021,ln_patent_stock_w,manufacturing_post2021,-0.0732337592939951,0.04579440525633488,0.10991348246988997,4033,1666,6,0.04738835020198151,linearmodels.PanelOLS
M1_DID_2021,ln_patent_stock_w,rd_intensity_w,-4.53636907540808e-05,0.0029032217507093234,0.9875346507495033,4033,1666,6,0.04738835020198151,linearmodels.PanelOLS
M1_DID_2021,ln_patent_stock_w,ln_assets_w,0.3334611778745391,0.049939924631955894,3.026867645417042e-11,4033,1666,6,0.04738835020198151,linearmodels.PanelOLS
M1_DID_2021,ln_patent_stock_w,roa_w,-0.46670778277720365,0.19240434203370876,0.015355210793883467,4033,1666,6,0.04738835020198151,linearmodels.PanelOLS
M1_DID_2021,ln_patent_stock_w,lev_w,-0.08453606808074274,0.13979378064392614,0.5454234429546279,4033,1666,6,0.04738835020198151,linearmodels.PanelOLS
M1_DID_2021,ln_patent_stock_w,firm_age_w,-0.019170740326107206,0.039913264921479744,0.6310515890194255,4033,1666,6,0.04738835020198151,linearmodels.PanelOLS
M1_DID_2021,ln_patent_stock_w,dual_position,0.0004595551433973609,0.033999588413411004,0.989216873498862,4033,1666,6,0.04738835020198151,linearmodels.PanelOLS
M2_DID_tax_intensity,ln_patent_stock_w,manufacturing_post2021,-0.0732332897739877,0.045849793630845966,0.11034563356117433,4033,1666,6,0.047388767984858915,linearmodels.PanelOLS
M2_DID_tax_intensity,ln_patent_stock_w,ln_rd_tax_deduction_w,3.727005705939657e-06,0.0017743218878664927,0.9983242035479756,4033,1666,6,0.047388767984858915,linearmodels.PanelOLS
M2_DID_tax_intensity,ln_patent_stock_w,rd_intensity_w,-4.531020765866372e-05,0.002910090538526218,0.9875787319035887,4033,1666,6,0.047388767984858915,linearmodels.PanelOLS
M2_DID_tax_intensity,ln_patent_stock_w,ln_assets_w,0.3334599575672054,0.050193916177553186,3.7940539598935175e-11,4033,1666,6,0.047388767984858915,linearmodels.PanelOLS
M2_DID_tax_intensity,ln_patent_stock_w,roa_w,-0.4667046165165414,0.19284436418245474,0.015591068144076292,4033,1666,6,0.047388767984858915,linearmodels.PanelOLS
M2_DID_tax_intensity,ln_patent_stock_w,lev_w,-0.08453460443707911,0.13996608683193032,0.5459251722790341,4033,1666,6,0.047388767984858915,linearmodels.PanelOLS
M2_DID_tax_intensity,ln_patent_stock_w,firm_age_w,-0.019170562610274073,0.039938211810419844,0.6312680566260052,4033,1666,6,0.047388767984858915,linearmodels.PanelOLS
M2_DID_tax_intensity,ln_patent_stock_w,dual_position,0.0004591890192138888,0.034042234776086276,0.9892389612644532,4033,1666,6,0.047388767984858915,linearmodels.PanelOLS
M3_lag_tax,ln_patent_stock_w,manufacturing_post2021,-0.07281199261379862,0.047977447030872665,0.12935000624767823,2367,1050,5,-0.03771963785958832,linearmodels.PanelOLS
M3_lag_tax,ln_patent_stock_w,ln_rd_tax_deduction_l1,0.0010902894967944365,0.0059065730822737954,0.8535799516506097,2367,1050,5,-0.03771963785958832,linearmodels.PanelOLS
M3_lag_tax,ln_patent_stock_w,rd_intensity_w,-0.001715457508292548,0.0035186504704464794,0.6259626941411018,2367,1050,5,-0.03771963785958832,linearmodels.PanelOLS
M3_lag_tax,ln_patent_stock_w,ln_assets_w,0.3801892896080749,0.07179121403521332,1.3895043027289944e-07,2367,1050,5,-0.03771963785958832,linearmodels.PanelOLS
M3_lag_tax,ln_patent_stock_w,roa_w,-0.3818060257325444,0.21754944268371407,0.07948863425738883,2367,1050,5,-0.03771963785958832,linearmodels.PanelOLS
M3_lag_tax,ln_patent_stock_w,lev_w,-0.028638553957818558,0.1835876677760928,0.8760619658506481,2367,1050,5,-0.03771963785958832,linearmodels.PanelOLS
M3_lag_tax,ln_patent_stock_w,firm_age_w,-0.03443732297660576,0.04772278897570048,0.4706625087937151,2367,1050,5,-0.03771963785958832,linearmodels.PanelOLS
M3_lag_tax,ln_patent_stock_w,dual_position,0.01160599376268452,0.045591853421016265,0.7991008348315742,2367,1050,5,-0.03771963785958832,linearmodels.PanelOLS
