stock_code,firm_name,year,industry_code,industry_name,manufacturing,province_std,rd_intensity,rd_tax_deduction,rd_expense_est,patent_stock,gov_subsidy_rd,rd_deduction_rate,ln_assets,roa,lev,firm_age,dual_position,post2021,post2022,post2023,manufacturing_post2021,manufacturing_post2022,province_gdp,ln_gdp_prov,province_budget_exp,province_sci_tech_exp,sci_tech_exp_ratio,ip_protection_score,invention_apply,invention_grant,patent_apply_total,patent_grant_total,tech_market_turnover,ln_patent_stock,asinh_patent_stock,ln_rd_tax_deduction,ln_rd_expense_est,gov_subsidy_rd_missing,gov_subsidy_rd_zero,ln_gov_subsidy_rd,ln_patent_stock_w,asinh_patent_stock_w,rd_intensity_w,ln_rd_expense_est_w,ln_gov_subsidy_rd_w,ln_assets_w,roa_w,lev_w,firm_age_w,sci_tech_exp_ratio_w,province_gdp_w,province_budget_exp_w,province_sci_tech_exp_w,ip_protection_score_w,tech_market_turnover_w,invention_apply_w,invention_grant_w,ln_rd_tax_deduction_w,ln_rd_tax_deduction_l1
000019,深粮控股,2019,F51,批发业,0,,0.3832,-1022164.77,5451545.44,89,425903.22,0.75,22.64,0.056755,0.31758,27,0,0,0,0,0,0,,,,,,,,,,,,4.499809670330265,5.181815110469487,0.0,15.511409876848594,0,425903.22,12.961969764291425,4.499809670330265,5.181815110469487,0.385376,15.511409876848594,12.961969764291425,22.64,0.056755,0.31758,27,,,,,,,,,0.0,
000019,深粮控股,2020,F51,批发业,0,,0.39,-595905.91,3178164.853333334,92,495193.22,0.75,22.71,0.05524,0.34396,28,0,0,0,0,0,0,,,,,,,,,,,,4.532599493153256,5.214965293162436,0.0,14.97181481267594,0,495193.22,13.112705328232709,4.532599493153256,5.214965293162436,0.39,14.97181481267594,13.112705328232709,22.71,0.05524,0.34396,27,,,,,,,,,0.0,0.0
000021,深科技,2024,C39,计算机、通信和其他电子设备制造业,1,,2.85,-62806163.48,251224653.92,538,4782270.0,1.0,24.01,0.040619,0.482392,30,0,1,1,1,1,1,,,,,,,,,,,,6.289715570908998,6.981006604445545,0.0,19.34185813630894,0,4782270.0,15.380426096243692,6.289715570908998,6.981006604445545,2.85,19.34185813630894,15.380426096243692,24.01,0.040619,0.482392,27,,,,,,,,,0.0,
000055,方大集团,2019,C33,金属制品业,0,广东省,4.56,-6852260.04,36545386.88,920,2311141.18,0.75,23.15,0.030498,0.53991,23,1,0,0,0,0,0,110468.1,11.6124820704788,17297.85,1168.79,6.76,90.86,203311.0,59742.0,807700.0,527390.0,2223.08,6.825460036255307,7.5175211459715205,0.0,17.414065549604157,0,2311141.18,14.653252410514199,6.825460036255307,7.5175211459715205,4.56,17.414065549604157,14.653252410514199,23.15,0.030498,0.53991,23,6.76,110468.1,17297.85,1168.79,90.86,2223.08,203311.0,59742.0,0.0,
000062,深圳华强,2024,F51,批发业,0,广东省,0.58,-16079913.07,64319652.28,116,1278742.2,1.0,23.59,0.015536,0.553972,27,0,1,1,1,0,0,141488.9,11.85997654775876,17956.06,,,93.54,259373.0,168813.0,1004280.0,692635.0,2027.67,4.762173934797756,5.446755950221092,0.0,17.979375792273192,0,1278742.2,14.061388278540775,4.762173934797756,5.446755950221092,0.58,17.979375792273192,14.061388278540775,23.59,0.015536,0.553972,27,,141488.9,17956.06,,93.54,2027.67,259373.0,168813.0,0.0,
000158,常山北明,2019,I65,软件和信息技术服务业,0,河北省,2.71,-6171319.13,32913702.02666667,97,1103000.0,0.75,23.37,0.006726,0.581776,19,0,0,0,0,0,0,35623.5,10.48076081142134,8309.04,90.7,1.09,81.77,20536.0,5130.0,101274.0,57809.0,381.19,4.584967478670572,5.267884728309446,0.0,17.309399634391124,0,1103000.0,13.913545204853543,4.584967478670572,5.267884728309446,2.71,17.309399634391124,13.913545204853543,23.37,0.006726,0.581776,19,1.09,35623.5,8309.04,90.7,81.77,381.19,20536.0,5130.0,0.0,
000159,国际实业,2024,F51,批发业,0,新疆维吾尔自治区,1.22,-4700885.01,18803540.04,51,,1.0,21.95,-0.128078,0.409883,24,0,1,1,1,0,0,20492.4,9.927809364681194,7645.96,,,77.48,7312.0,2412.0,37660.0,21642.0,101.08,3.9512437185814275,4.625068916307673,0.0,16.749555763255433,1,0.0,0.0,3.9512437185814275,4.625068916307673,1.22,16.749555763255433,0.0,21.95,-0.128078,0.409883,24,,20492.4,7645.96,,77.48,101.08,7312.0,2412.0,0.0,
000301,东方盛虹,2019,C28,化学纤维制造业,1,,3.01,-30530149.48,162827463.8933333,175,33014682.6,0.75,24.28,0.046006,0.563384,19,1,0,0,0,0,0,,,,,,,,,,,,5.170483995038151,5.857941317648809,0.0,18.90820170057992,0,33014682.6,17.312462978042245,5.170483995038151,5.857941317648809,3.01,18.90820170057992,17.312462978042245,24.28,0.046006,0.563384,19,,,,,,,,,0.0,
000301,东方盛虹,2023,C26,化学原料和化学制品制造业,1,,4.07,-226230904.8,904923619.2,435,,1.0,25.97,0.003739,0.7840141999999997,23,1,1,1,1,1,1,,,,,,,,,,,,6.077642243349034,6.768494532824502,0.0,20.623361100533465,1,0.0,0.0,6.077642243349034,6.768494532824502,4.07,20.623361100533465,0.0,25.87079999999999,0.003739,0.7834995759999995,23,,,,,,,,,0.0,0.0
000301,东方盛虹,2024,C26,化学原料和化学制品制造业,1,,4.62,-250809956.83,1003239827.32,640,,1.0,26.04,-0.011178,0.7840141999999997,24,1,1,1,1,1,1,,,,,,,,,,,,6.46302945692067,7.154615967264666,0.0,20.726500428330773,1,0.0,0.0,6.46302945692067,7.154615967264666,4.62,20.726500428330773,0.0,25.87079999999999,-0.011178,0.7834995759999995,24,,,,,,,,,0.0,0.0
