heterogeneity,dependent,variable,coef,se,p,N,firms,r2_within
high_pre_rd,eff_apply_rd_10k,manufacturing_post2021,0.16782912349153248,0.07480575888714544,0.02487445581658898,22342,,
high_pre_rd,eff_apply_rd_10k,did_x_high_pre_rd,0.20602939278817067,0.05074558684606231,4.926764211488077e-05,22342,,
high_pre_rd,eff_grant_rd_10k,manufacturing_post2021,0.13549772717425124,0.07363678246002499,0.06577239802926393,22342,,
high_pre_rd,eff_grant_rd_10k,did_x_high_pre_rd,0.2523560791560589,0.04800501486494856,1.4817720783710797e-07,22342,,
high_pre_rd,eff_apply_staff,manufacturing_post2021,0.12436032088029254,0.06651007167695712,0.06152802449420958,22342,,
high_pre_rd,eff_apply_staff,did_x_high_pre_rd,0.13026928696894763,0.0539469310741857,0.015755025192551342,22342,,
ownership_SOE,eff_apply_rd_10k,,0.2147976971856666,0.22545349002904438,0.34086784042246165,2131,524.0,0.07090196708807839
ownership_SOE,eff_grant_rd_10k,,0.3571172590493279,0.22285819173880544,0.10925560269220824,2131,524.0,0.04921860968881664
ownership_SOE,eff_apply_staff,,0.2979277777830612,0.19446357776985276,0.12570821779976127,2131,524.0,0.04532850435200764
ownership_Private,eff_apply_rd_10k,,0.26890276774511684,0.06623616634078186,4.933132936213447e-05,23028,5012.0,0.06966050795137402
ownership_Private,eff_grant_rd_10k,,0.26484903348143657,0.06609576421554851,6.172910810686716e-05,23028,5012.0,0.07235329175270966
ownership_Private,eff_apply_staff,,0.2066705216645202,0.051832025479151944,6.708954061918071e-05,23028,5012.0,0.05527594495774513
high_sci_province,eff_apply_rd_10k,manufacturing_post2021,0.18520551613999922,0.06879071453104477,0.007101773130695488,25813,,
high_sci_province,eff_apply_rd_10k,did_x_high_sci,0.13497334394588173,0.049004821293498355,0.005887187956683082,25813,,
high_sci_province,eff_grant_rd_10k,manufacturing_post2021,0.20205946810048245,0.06887711283347717,0.003354012410389906,25813,,
high_sci_province,eff_grant_rd_10k,did_x_high_sci,0.12123534569193935,0.04711357321680518,0.010081575379863539,25813,,
high_sci_province,eff_apply_staff,manufacturing_post2021,0.12905384748374893,0.057403433113520044,0.024574606759039996,25813,,
high_sci_province,eff_apply_staff,did_x_high_sci,0.07139555927366104,0.05018883712534309,0.15488512667023757,25813,,
hightech_mfg,eff_apply_rd_10k,manufacturing_post2021,0.12376615417662792,0.07496799335387717,0.09876962926083888,26770,,
hightech_mfg,eff_apply_rd_10k,hightech_post2021,0.030443238535452385,0.06129842683813211,0.6194481921444794,26770,,
hightech_mfg,eff_grant_rd_10k,manufacturing_post2021,0.15390293349652487,0.07348716970457579,0.03624652946223361,26770,,
hightech_mfg,eff_grant_rd_10k,hightech_post2021,0.008658634217967883,0.05865963468502102,0.8826534960855708,26770,,
hightech_mfg,eff_apply_staff,manufacturing_post2021,0.06541064680438993,0.06511211687663766,0.31510817209826114,26770,,
hightech_mfg,eff_apply_staff,hightech_post2021,0.06829553127269734,0.060501384440849015,0.25898395327354184,26770,,
