dependent,placebo,coef,se,p,N,firms
ln_invention_apply,placebo_did2019,0.02538678887802823,0.025219364948228462,0.3141290075817402,16480,4638
ln_invention_apply,placebo_did2020,0.030436018448264303,0.028028679528571954,0.277550478979961,16480,4638
ln_rd_expense,placebo_did2019,-0.578955761264822,0.13665987682868416,2.2877773460772133e-05,16480,4638
ln_rd_expense,placebo_did2020,-0.6285570067946802,0.12865718610568008,1.0450804650563583e-06,16480,4638
ln_rd_staff,placebo_did2019,-0.060747523866483924,0.03949806469462092,0.12407844111968624,16480,4638
ln_rd_staff,placebo_did2020,-0.09430242912728208,0.04178257307981021,0.024027485604735555,16480,4638
eff_apply_rd_10k,placebo_did2019,0.22979076759587605,0.06705037686652827,0.0006120581606441355,16480,4638
eff_apply_rd_10k,placebo_did2020,0.26452613004612524,0.06558985957983272,5.5406873735064366e-05,16480,4638
eff_apply_staff,placebo_did2019,0.08786289443443468,0.04658175511996059,0.05929134925144974,16480,4638
eff_apply_staff,placebo_did2020,0.12194273910846405,0.05065910245260531,0.016093924546036975,16480,4638
