model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M3a_Invention_Grant,ln_invention_grant,manufacturing_post2021,-0.011304137195530662,0.02295283665352504,0.6223753333466138,25831,5262,6,0.0019943088588351143,PanelOLS
M3a_Invention_Grant,ln_invention_grant,ln_assets,0.06974319812577903,0.01742069672412161,6.263978773457524e-05,25831,5262,6,0.0019943088588351143,PanelOLS
M3a_Invention_Grant,ln_invention_grant,roa,-0.07223207288593668,0.0576384535095147,0.21014994023419908,25831,5262,6,0.0019943088588351143,PanelOLS
M3a_Invention_Grant,ln_invention_grant,cashflow_ratio,0.1157853423307837,0.07359290969535832,0.11565966960266305,25831,5262,6,0.0019943088588351143,PanelOLS
M3b_Patent_Apply_Total,ln_patent_apply_total,manufacturing_post2021,-0.0017358766163683994,0.03388654159841991,0.9591458226478378,25831,5262,6,0.0007568253782941348,PanelOLS
M3b_Patent_Apply_Total,ln_patent_apply_total,ln_assets,0.06528387898624168,0.029213880561129512,0.025448605526251278,25831,5262,6,0.0007568253782941348,PanelOLS
M3b_Patent_Apply_Total,ln_patent_apply_total,roa,0.005099441985028705,0.10000833514034146,0.9593338491047778,25831,5262,6,0.0007568253782941348,PanelOLS
M3b_Patent_Apply_Total,ln_patent_apply_total,cashflow_ratio,0.005451203396688671,0.12714140224163226,0.9658014949695601,25831,5262,6,0.0007568253782941348,PanelOLS
M3c_Patent_Grant_Total,ln_patent_grant_total,manufacturing_post2021,0.03482461048410274,0.035731426977161446,0.32975960120328107,25831,5262,6,0.0037859216265578866,PanelOLS
M3c_Patent_Grant_Total,ln_patent_grant_total,ln_assets,0.09679888332328873,0.028107563569093018,0.0005745875723097704,25831,5262,6,0.0037859216265578866,PanelOLS
M3c_Patent_Grant_Total,ln_patent_grant_total,roa,0.10241700008637339,0.1040887595620513,0.3251570372024881,25831,5262,6,0.0037859216265578866,PanelOLS
M3c_Patent_Grant_Total,ln_patent_grant_total,cashflow_ratio,0.01467597887361797,0.11995969084574108,0.9026302220673905,25831,5262,6,0.0037859216265578866,PanelOLS
M3d_Grant_2017_2024,ln_invention_grant,manufacturing_post2021,0.0012349630868202545,0.02225695674016905,0.9557511548707058,36605,5629,8,0.005217296995611798,PanelOLS
M3d_Grant_2017_2024,ln_invention_grant,ln_assets,0.07387085098306552,0.016530043499537787,7.890713484837164e-06,36605,5629,8,0.005217296995611798,PanelOLS
M3d_Grant_2017_2024,ln_invention_grant,roa,-0.08568089475335432,0.05783232279528962,0.13847293149869166,36605,5629,8,0.005217296995611798,PanelOLS
M3d_Grant_2017_2024,ln_invention_grant,cashflow_ratio,0.06018936554109249,0.0686015600394156,0.38028922617627026,36605,5629,8,0.005217296995611798,PanelOLS
M3e_Patent_Apply_2017_2024,ln_patent_apply_total,manufacturing_post2021,-0.03782893708324206,0.030861212509509628,0.22029226128600277,36605,5629,8,0.0014788214489318552,PanelOLS
M3e_Patent_Apply_2017_2024,ln_patent_apply_total,ln_assets,0.09776157222272266,0.023846356646530616,4.14840917468684e-05,36605,5629,8,0.0014788214489318552,PanelOLS
M3e_Patent_Apply_2017_2024,ln_patent_apply_total,roa,0.008079209513310606,0.08697546446686953,0.9259910157536004,36605,5629,8,0.0014788214489318552,PanelOLS
M3e_Patent_Apply_2017_2024,ln_patent_apply_total,cashflow_ratio,-0.08411437019446637,0.1042228444490858,0.41963655964586044,36605,5629,8,0.0014788214489318552,PanelOLS
M3f_Patent_Grant_2017_2024,ln_patent_grant_total,manufacturing_post2021,-0.01844641589478197,0.03371262574248617,0.5842683643088722,36605,5629,8,0.0036940366117025336,PanelOLS
M3f_Patent_Grant_2017_2024,ln_patent_grant_total,ln_assets,0.11625414472314366,0.0248273650601724,2.8459735594843494e-06,36605,5629,8,0.0036940366117025336,PanelOLS
M3f_Patent_Grant_2017_2024,ln_patent_grant_total,roa,0.08164548888380221,0.09335972907997096,0.3818387756228434,36605,5629,8,0.0036940366117025336,PanelOLS
M3f_Patent_Grant_2017_2024,ln_patent_grant_total,cashflow_ratio,-0.06760283244160493,0.10296513688517804,0.5114684915070071,36605,5629,8,0.0036940366117025336,PanelOLS
M14a_Drop_2024,ln_invention_apply,manufacturing_post2021,-0.031222125073693294,0.02367893934093773,0.18732770158180334,31196,5530,7,0.0006718774585006138,PanelOLS
M14a_Drop_2024,ln_invention_apply,ln_assets,0.05194845194630406,0.018356770013626792,0.0046593728215513774,31196,5530,7,0.0006718774585006138,PanelOLS
M14a_Drop_2024,ln_invention_apply,roa,0.004984750178584494,0.07048596767519322,0.9436213512904796,31196,5530,7,0.0006718774585006138,PanelOLS
M14a_Drop_2024,ln_invention_apply,cashflow_ratio,-0.03375188973365232,0.07879499904763393,0.6683994379202933,31196,5530,7,0.0006718774585006138,PanelOLS
M15a_2016_2022,ln_invention_apply,manufacturing_post2021,-0.024002668159827996,0.024365635013570527,0.3245833174959396,29111,5265,7,0.0001863021693254696,PanelOLS
M15a_2016_2022,ln_invention_apply,ln_assets,0.02427552943783753,0.018609858518463612,0.1920946319687471,29111,5265,7,0.0001863021693254696,PanelOLS
M15a_2016_2022,ln_invention_apply,roa,0.048448976448727636,0.07224335524720701,0.5024591024433382,29111,5265,7,0.0001863021693254696,PanelOLS
M15a_2016_2022,ln_invention_apply,cashflow_ratio,0.05875375302576449,0.08273179939193048,0.4776048373811346,29111,5265,7,0.0001863021693254696,PanelOLS
