model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M11a_Event_Study_2017_2022,ln_invention_apply,event_2017,0.0031272328466816946,0.03330886553015511,0.9252007088851433,25831,5262,6,0.0009259137668424788,PanelOLS
M11a_Event_Study_2017_2022,ln_invention_apply,event_2018,-0.03193543837288624,0.031082763946056226,0.3042289968904228,25831,5262,6,0.0009259137668424788,PanelOLS
M11a_Event_Study_2017_2022,ln_invention_apply,event_2019,-0.014177361155926028,0.030244804057961733,0.6392507315760576,25831,5262,6,0.0009259137668424788,PanelOLS
M11a_Event_Study_2017_2022,ln_invention_apply,event_2021,-0.033435654055582374,0.027779939225803338,0.22876198845902795,25831,5262,6,0.0009259137668424788,PanelOLS
M11a_Event_Study_2017_2022,ln_invention_apply,event_2022,-0.0351633889826216,0.03143836275331215,0.2633722762663919,25831,5262,6,0.0009259137668424788,PanelOLS
M11a_Event_Study_2017_2022,ln_invention_apply,ln_assets,0.04632189168408619,0.020580694395757774,0.024412226337749754,25831,5262,6,0.0009259137668424788,PanelOLS
M11a_Event_Study_2017_2022,ln_invention_apply,roa,-0.0019339522604620177,0.07612173953914005,0.9797313369013878,25831,5262,6,0.0009259137668424788,PanelOLS
M11a_Event_Study_2017_2022,ln_invention_apply,cashflow_ratio,0.02231296600710075,0.09141425082985881,0.8071664208054634,25831,5262,6,0.0009259137668424788,PanelOLS
M11b_Event_Study_2017_2024,ln_invention_apply,event_2017,0.021803971116367917,0.03292174284827973,0.5077858370071255,36605,5629,8,-0.0005205227974787174,PanelOLS
M11b_Event_Study_2017_2024,ln_invention_apply,event_2018,-0.012530126789308172,0.030214962061340653,0.6783648414008363,36605,5629,8,-0.0005205227974787174,PanelOLS
M11b_Event_Study_2017_2024,ln_invention_apply,event_2019,-0.00047590137713488396,0.029961697789519945,0.9873273093028496,36605,5629,8,-0.0005205227974787174,PanelOLS
M11b_Event_Study_2017_2024,ln_invention_apply,event_2021,-0.029179259748133603,0.026912466832151868,0.2782720039984403,36605,5629,8,-0.0005205227974787174,PanelOLS
M11b_Event_Study_2017_2024,ln_invention_apply,event_2022,-0.03431998569546854,0.030050107595132665,0.25342463803215454,36605,5629,8,-0.0005205227974787174,PanelOLS
M11b_Event_Study_2017_2024,ln_invention_apply,event_2023,-0.03244123264357013,0.03076381923853396,0.2916506100678058,36605,5629,8,-0.0005205227974787174,PanelOLS
M11b_Event_Study_2017_2024,ln_invention_apply,event_2024,-0.07824077098845478,0.037049873326485835,0.03471426391025134,36605,5629,8,-0.0005205227974787174,PanelOLS
M11b_Event_Study_2017_2024,ln_invention_apply,ln_assets,0.05496289902751611,0.017703071937462657,0.0019063765753102313,36605,5629,8,-0.0005205227974787174,PanelOLS
M11b_Event_Study_2017_2024,ln_invention_apply,roa,-0.013512398797991215,0.06995564281174214,0.8468375414720586,36605,5629,8,-0.0005205227974787174,PanelOLS
M11b_Event_Study_2017_2024,ln_invention_apply,cashflow_ratio,-0.05413064160579677,0.07599614145345279,0.47629587805189555,36605,5629,8,-0.0005205227974787174,PanelOLS
