model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M7a_High_Pre_RD_2017_2022,ln_invention_apply,manufacturing_post2021,-0.05390715720489104,0.04952642310595759,0.276424138911618,11189,2049,6,0.0002144867432848363,PanelOLS
M7a_High_Pre_RD_2017_2022,ln_invention_apply,ln_assets,0.060224698972855026,0.03473348026329723,0.08296795802302848,11189,2049,6,0.0002144867432848363,PanelOLS
M7a_High_Pre_RD_2017_2022,ln_invention_apply,roa,0.008063079814565438,0.1199498038386571,0.9464076767947627,11189,2049,6,0.0002144867432848363,PanelOLS
M7a_High_Pre_RD_2017_2022,ln_invention_apply,cashflow_ratio,-0.10628099588309588,0.17421568220460507,0.5418411344399003,11189,2049,6,0.0002144867432848363,PanelOLS
M7b_Low_Pre_RD_2017_2022,ln_invention_apply,manufacturing_post2021,-0.007938600084786111,0.03430138081439456,0.8169807151147976,11140,2020,6,0.0005089815324984537,PanelOLS
M7b_Low_Pre_RD_2017_2022,ln_invention_apply,ln_assets,0.032936637527986874,0.02778199737941348,0.23583537795547538,11140,2020,6,0.0005089815324984537,PanelOLS
M7b_Low_Pre_RD_2017_2022,ln_invention_apply,roa,0.0012249266473116618,0.11099850284232805,0.9911953460739049,11140,2020,6,0.0005089815324984537,PanelOLS
M7b_Low_Pre_RD_2017_2022,ln_invention_apply,cashflow_ratio,0.15991565875750124,0.12820709448814913,0.21231114475732027,11140,2020,6,0.0005089815324984537,PanelOLS
M7c_High_Pre_RD_2017_2024,ln_invention_apply,manufacturing_post2021,-0.06223124921578377,0.045925595986773746,0.1754266246931382,15138,2049,8,0.00017244301435936915,PanelOLS
M7c_High_Pre_RD_2017_2024,ln_invention_apply,ln_assets,0.05853672861888257,0.029513494498524376,0.047344918931159885,15138,2049,8,0.00017244301435936915,PanelOLS
M7c_High_Pre_RD_2017_2024,ln_invention_apply,roa,0.014114502836793389,0.1121519737569004,0.8998513477707824,15138,2049,8,0.00017244301435936915,PanelOLS
M7c_High_Pre_RD_2017_2024,ln_invention_apply,cashflow_ratio,-0.17830220202148098,0.13690499144462415,0.19280975217210106,15138,2049,8,0.00017244301435936915,PanelOLS
M7d_Low_Pre_RD_2017_2024,ln_invention_apply,manufacturing_post2021,-0.034072902686748764,0.03377498541187889,0.31307943122027027,15032,2020,8,0.0006216514060481959,PanelOLS
M7d_Low_Pre_RD_2017_2024,ln_invention_apply,ln_assets,0.043080235998759174,0.024611251692773027,0.08006799095438266,15032,2020,8,0.0006216514060481959,PanelOLS
M7d_Low_Pre_RD_2017_2024,ln_invention_apply,roa,-0.05412861313920901,0.10553749376602037,0.6080403769482947,15032,2020,8,0.0006216514060481959,PanelOLS
M7d_Low_Pre_RD_2017_2024,ln_invention_apply,cashflow_ratio,0.03833776908351938,0.12016931009768389,0.7497079168703547,15032,2020,8,0.0006216514060481959,PanelOLS
M8a_Hightech_x_Post2021,ln_invention_apply,hightech_post2021,-0.006702485682694212,0.02715508151523871,0.80504804465541,25831,5262,6,0.0005353817512488979,PanelOLS
M8a_Hightech_x_Post2021,ln_invention_apply,ln_assets,0.04518848826406717,0.020556799202849554,0.027944117135493718,25831,5262,6,0.0005353817512488979,PanelOLS
M8a_Hightech_x_Post2021,ln_invention_apply,roa,0.00022572443841890587,0.0764076052543564,0.9976429101294078,25831,5262,6,0.0005353817512488979,PanelOLS
M8a_Hightech_x_Post2021,ln_invention_apply,cashflow_ratio,0.024336977635982568,0.09125711632078748,0.7897137579437421,25831,5262,6,0.0005353817512488979,PanelOLS
M8a_Hightech_x_Post2021,ln_invention_apply,hightech_manufacturing,-0.0848307356356262,0.09523623287867469,0.37307901755194894,25831,5262,6,0.0005353817512488979,PanelOLS
M8b_HightechNarrow_x_Post2021,ln_invention_apply,hightech_narrow_post2021,0.028314845850129156,0.03270947770325065,0.3866941322396902,25831,5262,6,0.0005616218698788478,PanelOLS
M8b_HightechNarrow_x_Post2021,ln_invention_apply,ln_assets,0.044877262614712594,0.020422199949189045,0.027997692173427735,25831,5262,6,0.0005616218698788478,PanelOLS
M8b_HightechNarrow_x_Post2021,ln_invention_apply,roa,-0.0046305266440372405,0.07621635253502979,0.9515548970024332,25831,5262,6,0.0005616218698788478,PanelOLS
M8b_HightechNarrow_x_Post2021,ln_invention_apply,cashflow_ratio,0.025052886924516845,0.09123240587421022,0.7836223817353831,25831,5262,6,0.0005616218698788478,PanelOLS
M8b_HightechNarrow_x_Post2021,ln_invention_apply,hightech_narrow,-0.13900439445183774,0.10330335957741194,0.17844828461064433,25831,5262,6,0.0005616218698788478,PanelOLS
M8c_MFG_Only_Hightech,ln_invention_apply,hightech_post2021,0.01504395189569548,0.03680172801718741,0.6827049464461252,16740,3567,6,0.00040691628279299064,PanelOLS
M8c_MFG_Only_Hightech,ln_invention_apply,ln_assets,0.06047776249707912,0.032766197028121724,0.06495293100492883,16740,3567,6,0.00040691628279299064,PanelOLS
M8c_MFG_Only_Hightech,ln_invention_apply,roa,0.024515037479654393,0.12179023719996193,0.8404756979356336,16740,3567,6,0.00040691628279299064,PanelOLS
M8c_MFG_Only_Hightech,ln_invention_apply,cashflow_ratio,-0.025495989764513016,0.13842642741791766,0.8538716270660149,16740,3567,6,0.00040691628279299064,PanelOLS
M8c_MFG_Only_Hightech,ln_invention_apply,hightech_manufacturing,-0.22715165679992427,0.20238850671259692,0.26173220238841965,16740,3567,6,0.00040691628279299064,PanelOLS
M8d_Hightech_2017_2024,ln_invention_apply,hightech_post2021,-0.012265747016807294,0.026252409334804352,0.6403431487434113,36605,5629,8,0.000987968107287851,PanelOLS
M8d_Hightech_2017_2024,ln_invention_apply,ln_assets,0.051036649220127135,0.01755920353251134,0.0036570110355329533,36605,5629,8,0.000987968107287851,PanelOLS
M8d_Hightech_2017_2024,ln_invention_apply,roa,-0.014023715316412715,0.06984564435073812,0.8408707247108038,36605,5629,8,0.000987968107287851,PanelOLS
M8d_Hightech_2017_2024,ln_invention_apply,cashflow_ratio,-0.04836016144912245,0.07590993301219996,0.524082067291936,36605,5629,8,0.000987968107287851,PanelOLS
M8d_Hightech_2017_2024,ln_invention_apply,hightech_manufacturing,0.017411673356766234,0.06785422220663609,0.7974860946962083,36605,5629,8,0.000987968107287851,PanelOLS
M16a_SOE,ln_invention_apply,manufacturing_post2021,-0.001051224854551506,0.11007228500621666,0.9923812600433088,2131,524,6,0.0006436475574898015,PanelOLS
M16a_SOE,ln_invention_apply,ln_assets,-0.024221726201061198,0.08964644713086828,0.7870476645562123,2131,524,6,0.0006436475574898015,PanelOLS
M16a_SOE,ln_invention_apply,roa,-0.44880804384379347,0.7521289820740201,0.5507809602487568,2131,524,6,0.0006436475574898015,PanelOLS
M16a_SOE,ln_invention_apply,cashflow_ratio,0.17844529486740693,0.39275662663849126,0.6496453787186127,2131,524,6,0.0006436475574898015,PanelOLS
M16b_NonSOE,ln_invention_apply,manufacturing_post2021,-0.02343984247504241,0.025494013493423326,0.35788544673602884,23028,5012,6,0.0007550428630688222,PanelOLS
M16b_NonSOE,ln_invention_apply,ln_assets,0.058095065048609014,0.022160418617987464,0.008759965026957639,23028,5012,6,0.0007550428630688222,PanelOLS
M16b_NonSOE,ln_invention_apply,roa,-0.007010439571958875,0.07648059061397139,0.9269668232992689,23028,5012,6,0.0007550428630688222,PanelOLS
M16b_NonSOE,ln_invention_apply,cashflow_ratio,0.022666850838493235,0.09937509740747359,0.8195758531420969,23028,5012,6,0.0007550428630688222,PanelOLS
