model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M9a_RD_Intensity_Mechanism,rd_intensity,manufacturing_post2021,-0.2857046665236301,0.12702518912148378,0.02451206372284931,22822,4898,6,0.06003555531560123,PanelOLS
M9a_RD_Intensity_Mechanism,rd_intensity,ln_assets,-0.15457848869522695,0.12088541972366633,0.20101257413042228,22822,4898,6,0.06003555531560123,PanelOLS
M9a_RD_Intensity_Mechanism,rd_intensity,roa,-8.788786637297877,0.7628803477567552,0.0,22822,4898,6,0.06003555531560123,PanelOLS
M9a_RD_Intensity_Mechanism,rd_intensity,cashflow_ratio,-2.2141013788374835,0.5345471951480063,3.458492648067413e-05,22822,4898,6,0.06003555531560123,PanelOLS
M9b_RD_Staff_Mechanism,ln_rd_staff,manufacturing_post2021,-0.19714903224675537,0.04431284690233112,8.671298540763317e-06,25831,5262,6,0.1075495239818588,PanelOLS
M9b_RD_Staff_Mechanism,ln_rd_staff,ln_assets,0.8387699179464169,0.04586704985095428,0.0,25831,5262,6,0.1075495239818588,PanelOLS
M9b_RD_Staff_Mechanism,ln_rd_staff,roa,0.03268607379885028,0.1218631427027225,0.788533040409414,25831,5262,6,0.1075495239818588,PanelOLS
M9b_RD_Staff_Mechanism,ln_rd_staff,cashflow_ratio,-0.1387134199136577,0.15188868869402422,0.3611180600957731,25831,5262,6,0.1075495239818588,PanelOLS
M9c_Subsidy_Interaction,ln_invention_apply,manufacturing_post2021,-0.021404191119700128,0.037789837718848494,0.5711275914961718,25831,5262,6,0.0005456738483510248,PanelOLS
M9c_Subsidy_Interaction,ln_invention_apply,ln_rd_subsidy,-0.0011250217964302095,0.0013352787274143892,0.3994972133292811,25831,5262,6,0.0005456738483510248,PanelOLS
M9c_Subsidy_Interaction,ln_invention_apply,manufacturing_post2021_x_ln_rd_subsidy,-0.0001810310489391573,0.002721499199730937,0.9469653824757269,25831,5262,6,0.0005456738483510248,PanelOLS
M9c_Subsidy_Interaction,ln_invention_apply,ln_assets,0.048404092749018524,0.02058632753451108,0.018718648370988467,25831,5262,6,0.0005456738483510248,PanelOLS
M9c_Subsidy_Interaction,ln_invention_apply,roa,-0.0015611546337444043,0.07627417215912405,0.9836705004020145,25831,5262,6,0.0005456738483510248,PanelOLS
M9c_Subsidy_Interaction,ln_invention_apply,cashflow_ratio,0.022307100921435213,0.09132133470251398,0.8070238276167183,25831,5262,6,0.0005456738483510248,PanelOLS
M9d_RD_Intensity_2017_2024,rd_intensity,manufacturing_post2021,-0.19181151279726794,0.12697023176236089,0.13088121895337101,32886,5317,8,0.09486160328507709,PanelOLS
M9d_RD_Intensity_2017_2024,rd_intensity,ln_assets,-0.056683753695771145,0.1012310340317558,0.5755218930817465,32886,5317,8,0.09486160328507709,PanelOLS
M9d_RD_Intensity_2017_2024,rd_intensity,roa,-11.349318637365899,0.6789078369326524,0.0,32886,5317,8,0.09486160328507709,PanelOLS
M9d_RD_Intensity_2017_2024,rd_intensity,cashflow_ratio,-3.2753678139834754,0.4855957480227068,1.5599743719008075e-11,32886,5317,8,0.09486160328507709,PanelOLS
M9e_RD_Staff_2017_2024,ln_rd_staff,manufacturing_post2021,-0.20361871619704552,0.042839692210889305,2.012811200158282e-06,36605,5629,8,0.12829614158765246,PanelOLS
M9e_RD_Staff_2017_2024,ln_rd_staff,ln_assets,0.8514659301182372,0.036877987286627265,0.0,36605,5629,8,0.12829614158765246,PanelOLS
M9e_RD_Staff_2017_2024,ln_rd_staff,roa,0.001723498239592402,0.1082090806114144,0.9872923475182014,36605,5629,8,0.12829614158765246,PanelOLS
M9e_RD_Staff_2017_2024,ln_rd_staff,cashflow_ratio,-0.16773655434232138,0.12402558078804736,0.17624602898658903,36605,5629,8,0.12829614158765246,PanelOLS
M9f_Subsidy_Interaction_2017_2024,ln_invention_apply,manufacturing_post2021,-0.03221063849748224,0.02822782225520343,0.2538390452308259,36605,5629,8,0.0012808858392348021,PanelOLS
M9f_Subsidy_Interaction_2017_2024,ln_invention_apply,ln_rd_subsidy,-0.00141964119753042,0.0011520835461814188,0.21786952564806739,36605,5629,8,0.0012808858392348021,PanelOLS
M9f_Subsidy_Interaction_2017_2024,ln_invention_apply,manufacturing_post2021_x_ln_rd_subsidy,-0.0012638460636987241,0.001683947441393332,0.4529437717729943,36605,5629,8,0.0012808858392348021,PanelOLS
M9f_Subsidy_Interaction_2017_2024,ln_invention_apply,ln_assets,0.05415942560661505,0.017644173331412567,0.0021457698611215825,36605,5629,8,0.0012808858392348021,PanelOLS
M9f_Subsidy_Interaction_2017_2024,ln_invention_apply,roa,-0.008477613045899113,0.06984141923358445,0.9033878787000869,36605,5629,8,0.0012808858392348021,PanelOLS
M9f_Subsidy_Interaction_2017_2024,ln_invention_apply,cashflow_ratio,-0.05404695926804314,0.07598940345193124,0.47693879620102786,36605,5629,8,0.0012808858392348021,PanelOLS
