model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M6a_Exposure_2017_2022,ln_invention_apply,manufacturing_post2021,-0.02238260492371567,0.027830977943665517,0.4212726081715856,22329,4069,6,0.0008065288922884939,PanelOLS
M6a_Exposure_2017_2022,ln_invention_apply,policy_exposure,1.2128376820212308e-05,4.232250255879302e-06,0.004165583988460231,22329,4069,6,0.0008065288922884939,PanelOLS
M6a_Exposure_2017_2022,ln_invention_apply,ln_assets,0.046492555658079075,0.022117727979866834,0.03556262041687419,22329,4069,6,0.0008065288922884939,PanelOLS
M6a_Exposure_2017_2022,ln_invention_apply,roa,0.004432800840463403,0.08203935736748726,0.9569097722645008,22329,4069,6,0.0008065288922884939,PanelOLS
M6a_Exposure_2017_2022,ln_invention_apply,cashflow_ratio,0.028143077200812164,0.10599419242663752,0.7906155429345474,22329,4069,6,0.0008065288922884939,PanelOLS
M6b_Exposure_2017_2024,ln_invention_apply,manufacturing_post2021,-0.044194872605892,0.026671350075655263,0.09752812218846629,30170,4069,8,0.0006611084617123009,PanelOLS
M6b_Exposure_2017_2024,ln_invention_apply,policy_exposure,1.0162980286323587e-05,4.865983022612035e-06,0.03675548549764929,30170,4069,8,0.0006611084617123009,PanelOLS
M6b_Exposure_2017_2024,ln_invention_apply,ln_assets,0.0503398793642198,0.019131835578592462,0.008513143817055147,30170,4069,8,0.0006611084617123009,PanelOLS
M6b_Exposure_2017_2024,ln_invention_apply,roa,-0.0175163293437883,0.07681582958886779,0.8196245461369562,30170,4069,8,0.0006611084617123009,PanelOLS
M6b_Exposure_2017_2024,ln_invention_apply,cashflow_ratio,-0.07418880809299394,0.09061244941292086,0.41293739101608495,30170,4069,8,0.0006611084617123009,PanelOLS
