model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M10a_DID_x_ProvSciTech,ln_invention_apply,manufacturing_post2021,-0.03100419099480503,0.04742249615613452,0.5132566377323902,25813,5254,6,0.0005672962065899068,PanelOLS
M10a_DID_x_ProvSciTech,ln_invention_apply,did_x_prov_sci_tech,0.0011904320849663423,0.010412628822462983,0.9089806508248457,25813,5254,6,0.0005672962065899068,PanelOLS
M10a_DID_x_ProvSciTech,ln_invention_apply,ln_assets,0.04685472958953685,0.020523258526861505,0.022440158755038464,25813,5254,6,0.0005672962065899068,PanelOLS
M10a_DID_x_ProvSciTech,ln_invention_apply,roa,-0.0027345007988670545,0.07599962697293484,0.9712982967903792,25813,5254,6,0.0005672962065899068,PanelOLS
M10a_DID_x_ProvSciTech,ln_invention_apply,cashflow_ratio,0.020706650852298045,0.0912523426846589,0.8204910257559197,25813,5254,6,0.0005672962065899068,PanelOLS
M10a_DID_x_ProvSciTech,ln_invention_apply,province_sci_tech_ratio,-0.006734030695064467,0.013549492422984035,0.6191978576869763,25813,5254,6,0.0005672962065899068,PanelOLS
M10b_DID_x_ProvRD,ln_invention_apply,manufacturing_post2021,-0.007943822813895648,0.049704713021742425,0.8730241928583007,25813,5254,6,0.0005396639423462801,PanelOLS
M10b_DID_x_ProvRD,ln_invention_apply,did_x_prov_rd_intensity,-0.0065644004613957,0.01587896704730143,0.6793162517591962,25813,5254,6,0.0005396639423462801,PanelOLS
M10b_DID_x_ProvRD,ln_invention_apply,ln_assets,0.04667497600979327,0.020617888971820205,0.023596205517821378,25813,5254,6,0.0005396639423462801,PanelOLS
M10b_DID_x_ProvRD,ln_invention_apply,roa,-0.004554700470241683,0.07603492197847718,0.9522336769319604,25813,5254,6,0.0005396639423462801,PanelOLS
M10b_DID_x_ProvRD,ln_invention_apply,cashflow_ratio,0.019708891335817227,0.09127844798728514,0.8290518331440575,25813,5254,6,0.0005396639423462801,PanelOLS
M10b_DID_x_ProvRD,ln_invention_apply,province_rd_intensity,0.004235878105222267,0.029340970651818545,0.8852118154352655,25813,5254,6,0.0005396639423462801,PanelOLS
M10c_High_SciTech_Prov_2017_2022,ln_invention_apply,manufacturing_post2021,-0.031191992723348976,0.037375952895809944,0.40399256430096653,13483,3406,6,0.001020325310986392,PanelOLS
M10c_High_SciTech_Prov_2017_2022,ln_invention_apply,ln_assets,0.0724907558101748,0.03652471938970299,0.04720451439810036,13483,3406,6,0.001020325310986392,PanelOLS
M10c_High_SciTech_Prov_2017_2022,ln_invention_apply,roa,-0.027561553902493385,0.11424914695324145,0.8093734148519054,13483,3406,6,0.001020325310986392,PanelOLS
M10c_High_SciTech_Prov_2017_2022,ln_invention_apply,cashflow_ratio,0.07567336067173895,0.14164045203598202,0.5931708570784713,13483,3406,6,0.001020325310986392,PanelOLS
M10d_Low_SciTech_Prov_2017_2022,ln_invention_apply,manufacturing_post2021,-0.009405142610038978,0.036607261866130655,0.7972464002604851,12348,3489,6,0.0003277171417913616,PanelOLS
M10d_Low_SciTech_Prov_2017_2022,ln_invention_apply,ln_assets,0.03416795095604357,0.027597210527599787,0.21571391369348492,12348,3489,6,0.0003277171417913616,PanelOLS
M10d_Low_SciTech_Prov_2017_2022,ln_invention_apply,roa,-0.012463007891743132,0.11384029373580351,0.9128258509952976,12348,3489,6,0.0003277171417913616,PanelOLS
