model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M5_Stage_Policy,ln_invention_apply,treat_2021_2022,-0.03351209776232649,0.023426888946204157,0.15258447543013554,36605,5629.0,8.0,0.00021238975886395117,PanelOLS
M5_Stage_Policy,ln_invention_apply,treat_2023_2024,-0.056631231132712796,0.02844260504982588,0.046481912530872194,36605,5629.0,8.0,0.00021238975886395117,PanelOLS
M5_Stage_Policy,ln_invention_apply,ln_assets,0.05451224723561587,0.01768343248372602,0.002053303956229602,36605,5629.0,8.0,0.00021238975886395117,PanelOLS
M5_Stage_Policy,ln_invention_apply,roa,-0.014505720816482227,0.0699309265444158,0.8356759921370653,36605,5629.0,8.0,0.00021238975886395117,PanelOLS
M5_Stage_Policy,ln_invention_apply,cashflow_ratio,-0.05308042374113896,0.07593929755759052,0.48456670585919226,36605,5629.0,8.0,0.00021238975886395117,PanelOLS
M5_Stage_Policy,ln_invention_apply,WALD_STAGE_EQ,1.099501977778578,,0.2943754253360872,36605,,,,"Wald chi2, df=1"
M5b_Stage_2017_2022,ln_invention_apply,treat_2021_2022,-0.02472578642010601,0.024588904368580515,0.31463582470885054,25831,5262.0,6.0,0.0004964424745035334,PanelOLS
M5b_Stage_2017_2022,ln_invention_apply,ln_assets,0.04654861735403343,0.02056786978334987,0.023635499280025396,25831,5262.0,6.0,0.0004964424745035334,PanelOLS
M5b_Stage_2017_2022,ln_invention_apply,roa,-0.001965705211846643,0.07611124895211033,0.9793957865418643,25831,5262.0,6.0,0.0004964424745035334,PanelOLS
M5b_Stage_2017_2022,ln_invention_apply,cashflow_ratio,0.02247185363754961,0.09131230566655432,0.8056081680768084,25831,5262.0,6.0,0.0004964424745035334,PanelOLS
