model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M2a_invention_grant,ln_invention_grant,manufacturing_post2021,-0.018953644513582592,0.02233881689559125,0.3961822515430633,124337,5262,6,-0.002528345081572958,PanelOLS
M2a_invention_grant,ln_invention_grant,ln_assets,0.0677491342183818,0.016225953466993855,2.977315193075647e-05,124337,5262,6,-0.002528345081572958,PanelOLS
M2a_invention_grant,ln_invention_grant,roa,-0.020119429873039142,0.05219720872249653,0.6999045089359961,124337,5262,6,-0.002528345081572958,PanelOLS
M2a_invention_grant,ln_invention_grant,firm_age,0.036155155764305724,0.03574383699924067,0.31177569482769885,124337,5262,6,-0.002528345081572958,PanelOLS
M2b_patent_apply,ln_patent_apply,manufacturing_post2021,-0.0028785089750050777,0.03214464071808685,0.9286460474535387,124337,5262,6,-0.0015794487878519892,PanelOLS
M2b_patent_apply,ln_patent_apply,ln_assets,0.06059988505209434,0.02673952977675321,0.023434604967921713,124337,5262,6,-0.0015794487878519892,PanelOLS
M2b_patent_apply,ln_patent_apply,roa,0.07844730218248151,0.08725496127288021,0.36862339542930944,124337,5262,6,-0.0015794487878519892,PanelOLS
M2b_patent_apply,ln_patent_apply,firm_age,0.0334113598098973,0.046457121410086046,0.47202709267397935,124337,5262,6,-0.0015794487878519892,PanelOLS
M2c_patent_grant,ln_patent_grant,manufacturing_post2021,0.026867596650507572,0.033749091517663525,0.4259764503455876,124337,5262,6,-0.018935109336057243,PanelOLS
M2c_patent_grant,ln_patent_grant,ln_assets,0.09286390265820325,0.026000267876948778,0.0003548766702783368,124337,5262,6,-0.018935109336057243,PanelOLS
M2c_patent_grant,ln_patent_grant,roa,0.26224041667195963,0.0828153848500014,0.0015428900335956452,124337,5262,6,-0.018935109336057243,PanelOLS
M2c_patent_grant,ln_patent_grant,firm_age,0.11765434536895343,0.05392157903665681,0.029114957668209263,124337,5262,6,-0.018935109336057243,PanelOLS
M2a_invention_grant,ln_invention_grant,manufacturing_post2021,-0.018893170689507365,0.022316735287295882,0.3972242022779857,127617,5265,7,-0.004338514280015637,PanelOLS
M2a_invention_grant,ln_invention_grant,ln_assets,0.06614814741797553,0.016135952325637106,4.14442488143596e-05,127617,5265,7,-0.004338514280015637,PanelOLS
M2a_invention_grant,ln_invention_grant,roa,-0.01775183663676657,0.051630327064926776,0.730977914351153,127617,5265,7,-0.004338514280015637,PanelOLS
M2a_invention_grant,ln_invention_grant,firm_age,0.039575794849392845,0.03556721727017073,0.2658376434908607,127617,5265,7,-0.004338514280015637,PanelOLS
M2b_patent_apply,ln_patent_apply,manufacturing_post2021,-0.005654594404680629,0.03213021431622817,0.8603021391729544,127617,5265,7,-0.0023522531123518764,PanelOLS
M2b_patent_apply,ln_patent_apply,ln_assets,0.05821749720079753,0.026332454756409673,0.027047043794810044,127617,5265,7,-0.0023522531123518764,PanelOLS
M2b_patent_apply,ln_patent_apply,roa,0.10384850312703374,0.08688360617100815,0.23198776156659817,127617,5265,7,-0.0023522531123518764,PanelOLS
M2b_patent_apply,ln_patent_apply,firm_age,0.03363956885660809,0.04455606651387317,0.4502539552062179,127617,5265,7,-0.0023522531123518764,PanelOLS
M2c_patent_grant,ln_patent_grant,manufacturing_post2021,0.025933821508224795,0.033748824045901495,0.44222950414472795,127617,5265,7,-0.01749425904575408,PanelOLS
M2c_patent_grant,ln_patent_grant,ln_assets,0.09290124466965385,0.025766960445081706,0.0003117475858620544,127617,5265,7,-0.01749425904575408,PanelOLS
M2c_patent_grant,ln_patent_grant,roa,0.25841176640660274,0.08228965499258953,0.0016883213233702676,127617,5265,7,-0.01749425904575408,PanelOLS
M2c_patent_grant,ln_patent_grant,firm_age,0.11089624087917788,0.052215975538286,0.033688948489973614,127617,5265,7,-0.01749425904575408,PanelOLS
M2a_invention_grant,ln_invention_grant,manufacturing_post2021,-0.0019327925657959752,0.02203063048331057,0.9300897408637678,177645,5629,8,0.0004875899524462435,PanelOLS
M2a_invention_grant,ln_invention_grant,ln_assets,0.07318451348632136,0.014805022921639,7.691402508225309e-07,177645,5629,8,0.0004875899524462435,PanelOLS
M2a_invention_grant,ln_invention_grant,roa,0.05212386832615115,0.057365420885552104,0.36354742006765783,177645,5629,8,0.0004875899524462435,PanelOLS
M2a_invention_grant,ln_invention_grant,firm_age,-0.007602762616444896,0.026699879511352404,0.7758368295994496,177645,5629,8,0.0004875899524462435,PanelOLS
M2b_patent_apply,ln_patent_apply,manufacturing_post2021,-0.036707038942550924,0.029954704995944912,0.22041939277812372,177645,5629,8,-0.009213952888219135,PanelOLS
M2b_patent_apply,ln_patent_apply,ln_assets,0.08445410129776044,0.02129709032308316,7.326479715730194e-05,177645,5629,8,-0.009213952888219135,PanelOLS
M2b_patent_apply,ln_patent_apply,roa,0.10759055790983749,0.08515829252546105,0.2064405496103756,177645,5629,8,-0.009213952888219135,PanelOLS
M2b_patent_apply,ln_patent_apply,firm_age,-0.03866975282681134,0.036927767103899126,0.2950213649078206,177645,5629,8,-0.009213952888219135,PanelOLS
M2c_patent_grant,ln_patent_grant,manufacturing_post2021,-0.019745476455802727,0.03241526117180669,0.5424315456492907,177645,5629,8,0.0056813659780393655,PanelOLS
M2c_patent_grant,ln_patent_grant,ln_assets,0.10122860802085545,0.021975902627630647,4.100996760625364e-06,177645,5629,8,0.0056813659780393655,PanelOLS
M2c_patent_grant,ln_patent_grant,roa,0.35598086358415504,0.08687199280750538,4.1735248407892556e-05,177645,5629,8,0.0056813659780393655,PanelOLS
M2c_patent_grant,ln_patent_grant,firm_age,0.007384960331746964,0.03797017356470684,0.8457895417164498,177645,5629,8,0.0056813659780393655,PanelOLS
M2a_invention_grant,ln_invention_grant,manufacturing_post2021,0.021853457200796202,0.02310953373280485,0.3443304306290398,141790,5606,6,-0.017209985755532786,PanelOLS
M2a_invention_grant,ln_invention_grant,ln_assets,0.04905404348963744,0.018810540724952085,0.009113731916913892,141790,5606,6,-0.017209985755532786,PanelOLS
M2a_invention_grant,ln_invention_grant,roa,0.003915644973620351,0.06286047549670659,0.950331147739055,141790,5606,6,-0.017209985755532786,PanelOLS
M2a_invention_grant,ln_invention_grant,firm_age,-0.03218087378101433,0.032492795939937744,0.32198027466976953,141790,5606,6,-0.017209985755532786,PanelOLS
M2b_patent_apply,ln_patent_apply,manufacturing_post2021,-0.056015416456382305,0.03102980665996843,0.07104353454534329,141790,5606,6,-0.01783791230547349,PanelOLS
M2b_patent_apply,ln_patent_apply,ln_assets,0.1473732364436321,0.02590282071840701,1.2769705071136173e-08,141790,5606,6,-0.01783791230547349,PanelOLS
M2b_patent_apply,ln_patent_apply,roa,0.012708285357224099,0.08830663050073372,0.8855710530359997,141790,5606,6,-0.01783791230547349,PanelOLS
M2b_patent_apply,ln_patent_apply,firm_age,-0.08178378257891682,0.046146124363759776,0.07635057916176757,141790,5606,6,-0.01783791230547349,PanelOLS
M2c_patent_grant,ln_patent_grant,manufacturing_post2021,-0.014709458619886413,0.033803769193759485,0.6634596432136108,141790,5606,6,-0.007425394908467053,PanelOLS
M2c_patent_grant,ln_patent_grant,ln_assets,0.07275207900283455,0.026751039753660034,0.006536957384955189,141790,5606,6,-0.007425394908467053,PanelOLS
M2c_patent_grant,ln_patent_grant,roa,0.2589510634458588,0.09316584978127682,0.0054456264385407405,141790,5606,6,-0.007425394908467053,PanelOLS
M2c_patent_grant,ln_patent_grant,firm_age,-0.028192775724643227,0.05008471004518343,0.5735026500621707,141790,5606,6,-0.007425394908467053,PanelOLS
