model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M1_Baseline_DID,ln_invention_apply,manufacturing_post2021,-0.03033618994081793,0.023269553322975763,0.19234319928641463,124337,5262,6,-0.006317652138838836,PanelOLS
M1_Baseline_DID,ln_invention_apply,ln_assets,0.03439303489990095,0.01972910691363472,0.0812901532336543,124337,5262,6,-0.006317652138838836,PanelOLS
M1_Baseline_DID,ln_invention_apply,roa,0.006657569694284146,0.06430497155097226,0.9175415774015403,124337,5262,6,-0.006317652138838836,PanelOLS
M1_Baseline_DID,ln_invention_apply,firm_age,0.034890605129286066,0.05708383857795478,0.5410571834756968,124337,5262,6,-0.006317652138838836,PanelOLS
M1_Baseline_DID,ln_invention_apply,manufacturing_post2021,-0.03010918634650931,0.023221062604717145,0.19476008203207384,127617,5265,7,-0.007016626114954905,PanelOLS
M1_Baseline_DID,ln_invention_apply,ln_assets,0.030526607545227215,0.01921783939041971,0.1121868435421256,127617,5265,7,-0.007016626114954905,PanelOLS
M1_Baseline_DID,ln_invention_apply,roa,0.020792100994231632,0.06353598994419346,0.743479981830834,127617,5265,7,-0.007016626114954905,PanelOLS
M1_Baseline_DID,ln_invention_apply,firm_age,0.03521190936834672,0.05524198290650071,0.523857629441238,127617,5265,7,-0.007016626114954905,PanelOLS
M1_Baseline_DID,ln_invention_apply,manufacturing_post2021,-0.05092247717160654,0.022800421248141897,0.02552381163006401,177645,5629,8,0.0016453781311833726,PanelOLS
M1_Baseline_DID,ln_invention_apply,ln_assets,0.04760578945624332,0.01599273005522678,0.0029139584978314925,177645,5629,8,0.0016453781311833726,PanelOLS
M1_Baseline_DID,ln_invention_apply,roa,0.03924816013262652,0.06204377538044723,0.5270034362988971,177645,5629,8,0.0016453781311833726,PanelOLS
M1_Baseline_DID,ln_invention_apply,firm_age,0.01023346932782085,0.03779234718739162,0.786559396600623,177645,5629,8,0.0016453781311833726,PanelOLS
M1_Baseline_DID,ln_invention_apply,manufacturing_post2021,-0.05729630959873528,0.02359976951179795,0.015190604103468175,141790,5606,6,-0.008418313689361412,PanelOLS
M1_Baseline_DID,ln_invention_apply,ln_assets,0.09340752724911591,0.019341418661091417,1.3709058677147112e-06,141790,5606,6,-0.008418313689361412,PanelOLS
M1_Baseline_DID,ln_invention_apply,roa,0.004515271401143648,0.06420166301624994,0.9439314995829615,141790,5606,6,-0.008418313689361412,PanelOLS
M1_Baseline_DID,ln_invention_apply,firm_age,-0.03414002453491258,0.0392729283641755,0.38468364952333234,141790,5606,6,-0.008418313689361412,PanelOLS
