model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M3a_RD_intensity,rd_intensity,manufacturing_post2021,-0.06309126697348133,0.24047259887227185,0.7930416354344232,105787,4811,6,0.09910844184396106,PanelOLS
M3a_RD_intensity,rd_intensity,ln_assets,-0.5973849406603153,0.26078875921086825,0.021983680409729756,105787,4811,6,0.09910844184396106,PanelOLS
M3a_RD_intensity,rd_intensity,roa,-85.25761974612196,2.338528880046654,0.0,105787,4811,6,0.09910844184396106,PanelOLS
M3a_RD_intensity,rd_intensity,firm_age,0.2898689975083907,0.19852968850274,0.1442715184544976,105787,4811,6,0.09910844184396106,PanelOLS
M3a_RD_intensity,rd_intensity,rd_staff_ratio,0.20777894746969527,0.01987589901288495,0.0,105787,4811,6,0.09910844184396106,PanelOLS
M3b_RD_staff,ln_rd_staff,manufacturing_post2021,-0.18710265268533424,0.04001970199762115,2.9389754641062638e-06,124337,5262,6,0.014512354180606146,PanelOLS
M3b_RD_staff,ln_rd_staff,ln_assets,0.6348547534502929,0.0362643727695325,0.0,124337,5262,6,0.014512354180606146,PanelOLS
M3b_RD_staff,ln_rd_staff,roa,0.9387231765747197,0.10365062221209487,0.0,124337,5262,6,0.014512354180606146,PanelOLS
M3b_RD_staff,ln_rd_staff,firm_age,-0.068896535039337,0.05696330266124396,0.2264771188074175,124337,5262,6,0.014512354180606146,PanelOLS
M3c_rd_subsidy_channel,ln_invention_apply,manufacturing_post2021,-0.028902631615647417,0.02331626648710988,0.21512919368798578,124337,5262,6,-0.006169852668117537,PanelOLS
M3c_rd_subsidy_channel,ln_invention_apply,ln_assets,0.036619684705650836,0.019701652262578858,0.06307052924828693,124337,5262,6,-0.006169852668117537,PanelOLS
M3c_rd_subsidy_channel,ln_invention_apply,roa,0.008801113514650776,0.06431915114838244,0.8911614188742898,124337,5262,6,-0.006169852668117537,PanelOLS
M3c_rd_subsidy_channel,ln_invention_apply,firm_age,0.03520318476812105,0.05697371605658392,0.5366525580390828,124337,5262,6,-0.006169852668117537,PanelOLS
M3c_rd_subsidy_channel,ln_invention_apply,ln_rd_subsidy,-0.001491118258381759,0.0012477536226663728,0.23207291558235799,124337,5262,6,-0.006169852668117537,PanelOLS
M3a_RD_intensity,rd_intensity,manufacturing_post2021,-0.10696806925110128,0.23946858124526624,0.6551002945780717,108260,4819,7,0.10223548964654827,PanelOLS
M3a_RD_intensity,rd_intensity,ln_assets,-0.5147055511369534,0.2500892752658906,0.03958425758085249,108260,4819,7,0.10223548964654827,PanelOLS
M3a_RD_intensity,rd_intensity,roa,-84.03429994867349,2.2883155381383435,0.0,108260,4819,7,0.10223548964654827,PanelOLS
M3a_RD_intensity,rd_intensity,firm_age,0.33855209858824664,0.1929718775611839,0.07936296776568597,108260,4819,7,0.10223548964654827,PanelOLS
