model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M1_Baseline_DID,ln_invention_apply,manufacturing_post2021,-0.040945604030417936,0.022134829120041288,0.06434771346054124,37694,5713,8,0.0007488594083675526,PanelOLS
M1_Baseline_DID,ln_invention_apply,ln_assets,0.053181515924711195,0.01704540023034707,0.0018101666069698652,37694,5713,8,0.0007488594083675526,PanelOLS
M1_Baseline_DID,ln_invention_apply,roa,-0.016113646944353435,0.06824674938476451,0.8133498849220144,37694,5713,8,0.0007488594083675526,PanelOLS
M1_Baseline_DID,ln_invention_apply,cashflow_ratio,-0.051364327532011624,0.07286726388110512,0.48087595503025393,37694,5713,8,0.0007488594083675526,PanelOLS
M1b_DID_ctrl_post2023,ln_invention_apply,manufacturing_post2021,-0.040945604030417936,0.022134829120041288,0.06434771346054124,37694,5713,8,0.0007488594083675526,PanelOLS
M1b_DID_ctrl_post2023,ln_invention_apply,ln_assets,0.0531815159247112,0.01704540023034707,0.0018101666069698652,37694,5713,8,0.0007488594083675526,PanelOLS
M1b_DID_ctrl_post2023,ln_invention_apply,roa,-0.0161136469443534,0.06824674938476451,0.8133498849220149,37694,5713,8,0.0007488594083675526,PanelOLS
M1b_DID_ctrl_post2023,ln_invention_apply,cashflow_ratio,-0.05136432753201166,0.07286726388110512,0.4808759550302537,37694,5713,8,0.0007488594083675526,PanelOLS
M1_Baseline_DID,ln_invention_apply,manufacturing_post2021,-0.02376343150896409,0.02338411927784808,0.309535701684172,26770,5403,6,0.0004956883882274443,PanelOLS
M1_Baseline_DID,ln_invention_apply,ln_assets,0.045557942155857734,0.019895422487276875,0.02203852606339396,26770,5403,6,0.0004956883882274443,PanelOLS
M1_Baseline_DID,ln_invention_apply,roa,-0.002519855143113985,0.074203779112787,0.9729104954738044,26770,5403,6,0.0004956883882274443,PanelOLS
M1_Baseline_DID,ln_invention_apply,cashflow_ratio,0.022364676636222897,0.08688180789361108,0.7968609395030375,26770,5403,6,0.0004956883882274443,PanelOLS
M1b_DID_ctrl_post2023,ln_invention_apply,manufacturing_post2021,-0.02376343150896409,0.02338411927784808,0.309535701684172,26770,5403,6,0.0004956883882274443,PanelOLS
M1b_DID_ctrl_post2023,ln_invention_apply,ln_assets,0.045557942155857734,0.019895422487276875,0.02203852606339396,26770,5403,6,0.0004956883882274443,PanelOLS
M1b_DID_ctrl_post2023,ln_invention_apply,roa,-0.002519855143113985,0.074203779112787,0.9729104954738044,26770,5403,6,0.0004956883882274443,PanelOLS
M1b_DID_ctrl_post2023,ln_invention_apply,cashflow_ratio,0.022364676636222897,0.08688180789361108,0.7968609395030375,26770,5403,6,0.0004956883882274443,PanelOLS
M1_Baseline_DID,ln_invention_apply,manufacturing_post2021,-0.023233556745355873,0.02318883537426328,0.31638787116298817,30205,5406,7,0.00018957555785614755,PanelOLS
M1_Baseline_DID,ln_invention_apply,ln_assets,0.023862519073501523,0.017944156602193794,0.1835894396225084,30205,5406,7,0.00018957555785614755,PanelOLS
M1_Baseline_DID,ln_invention_apply,roa,0.04677011611480381,0.0702762115758763,0.5057251324637488,30205,5406,7,0.00018957555785614755,PanelOLS
M1_Baseline_DID,ln_invention_apply,cashflow_ratio,0.05599967723348795,0.07851508409159708,0.4757072925472443,30205,5406,7,0.00018957555785614755,PanelOLS
M1b_DID_ctrl_post2023,ln_invention_apply,manufacturing_post2021,-0.023233556745355873,0.02318883537426328,0.31638787116298817,30205,5406,7,0.00018957555785614755,PanelOLS
M1b_DID_ctrl_post2023,ln_invention_apply,ln_assets,0.023862519073501523,0.017944156602193794,0.1835894396225084,30205,5406,7,0.00018957555785614755,PanelOLS
M1b_DID_ctrl_post2023,ln_invention_apply,roa,0.04677011611480381,0.0702762115758763,0.5057251324637488,30205,5406,7,0.00018957555785614755,PanelOLS
M1b_DID_ctrl_post2023,ln_invention_apply,cashflow_ratio,0.05599967723348795,0.07851508409159708,0.4757072925472443,30205,5406,7,0.00018957555785614755,PanelOLS
