model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M5_event_study,ln_invention_apply,event_m4,0.023675832343530465,0.030911953430260878,0.44373439276052085,37694,5713,8,-0.00023177792360851157,PanelOLS
M5_event_study,ln_invention_apply,event_m3,-0.013441679131937214,0.02833846211354426,0.6352704484397669,37694,5713,8,-0.00023177792360851157,PanelOLS
M5_event_study,ln_invention_apply,event_m2,0.0004318982365481271,0.028290156252613,0.9878194786111538,37694,5713,8,-0.00023177792360851157,PanelOLS
M5_event_study,ln_invention_apply,event_p0,-0.0265279889031501,0.024800523727467765,0.2847829838801781,37694,5713,8,-0.00023177792360851157,PanelOLS
M5_event_study,ln_invention_apply,event_p1,-0.031966056087181755,0.027692714199849196,0.24838055673177362,37694,5713,8,-0.00023177792360851157,PanelOLS
M5_event_study,ln_invention_apply,event_p2,-0.02979857177974193,0.02856216701523614,0.2968227253131661,37694,5713,8,-0.00023177792360851157,PanelOLS
M5_event_study,ln_invention_apply,event_p3,-0.06951907319112223,0.034782643415055554,0.04565237740528261,37694,5713,8,-0.00023177792360851157,PanelOLS
M5_event_study,ln_invention_apply,ln_assets,0.05424616574198728,0.01713939996327041,0.0015522944591759291,37694,5713,8,-0.00023177792360851157,PanelOLS
M5_event_study,ln_invention_apply,roa,-0.01733481788211943,0.06835722697095085,0.7998127254336316,37694,5713,8,-0.00023177792360851157,PanelOLS
M5_event_study,ln_invention_apply,cashflow_ratio,-0.05230906917176504,0.07292439295105098,0.4731908473112032,37694,5713,8,-0.00023177792360851157,PanelOLS
M5_event_study,ln_invention_apply,event_m4,0.0029485616017878268,0.0318199473039217,0.9261714168438102,26770,5403,6,0.0009390975368196441,PanelOLS
M5_event_study,ln_invention_apply,event_m3,-0.034484754563399375,0.02968035872491649,0.24530076557839564,26770,5403,6,0.0009390975368196441,PanelOLS
M5_event_study,ln_invention_apply,event_m2,-0.015041143721125399,0.02897633435289762,0.6037077330311025,26770,5403,6,0.0009390975368196441,PanelOLS
M5_event_study,ln_invention_apply,event_p0,-0.03303609366726722,0.026258007738527895,0.20835703675737216,26770,5403,6,0.0009390975368196441,PanelOLS
M5_event_study,ln_invention_apply,event_p1,-0.035146724932647096,0.029752879182914065,0.2375014113829561,26770,5403,6,0.0009390975368196441,PanelOLS
M5_event_study,ln_invention_apply,ln_assets,0.04535210933166664,0.01990444673749087,0.02270715032758508,26770,5403,6,0.0009390975368196441,PanelOLS
M5_event_study,ln_invention_apply,roa,-0.002480929421870616,0.07420315233475548,0.9733285811021628,26770,5403,6,0.0009390975368196441,PanelOLS
M5_event_study,ln_invention_apply,cashflow_ratio,0.022186365848451226,0.08698769331396794,0.798685564414896,26770,5403,6,0.0009390975368196441,PanelOLS
