model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M2a_RD_intensity,rd_intensity,manufacturing_post2021,-0.192415184290058,0.12684496869234405,0.1292953362612066,32893,5317,8,0.09483782829168141,PanelOLS
M2a_RD_intensity,rd_intensity,ln_assets,-0.05679651257013555,0.10122508435855712,0.5747398704946995,32893,5317,8,0.09483782829168141,PanelOLS
M2a_RD_intensity,rd_intensity,roa,-11.34945382798872,0.6788942764256124,0.0,32893,5317,8,0.09483782829168141,PanelOLS
M2a_RD_intensity,rd_intensity,cashflow_ratio,-3.275314632856135,0.48553820394144387,1.552580286556804e-11,32893,5317,8,0.09483782829168141,PanelOLS
M2b_RD_staff,ln_rd_staff,manufacturing_post2021,-0.07326826445226445,0.04269983518319266,0.08619167598856503,37694,5713,8,0.14412574215583362,PanelOLS
M2b_RD_staff,ln_rd_staff,ln_assets,0.8715003825440181,0.03662478812435451,0.0,37694,5713,8,0.14412574215583362,PanelOLS
M2b_RD_staff,ln_rd_staff,roa,-0.024993276236632053,0.10811350910310911,0.8171793549421125,37694,5713,8,0.14412574215583362,PanelOLS
M2b_RD_staff,ln_rd_staff,cashflow_ratio,-0.28005964682903806,0.12258790451057128,0.02234505515186136,37694,5713,8,0.14412574215583362,PanelOLS
M2c_subsidy_channel,ln_invention_apply,manufacturing_post2021,-0.04041518944465954,0.022149312385720717,0.06806014647968084,37694,5713,8,0.0012746406754702289,PanelOLS
M2c_subsidy_channel,ln_invention_apply,ln_assets,0.054281050083492564,0.017056857922653275,0.001462202087590736,37694,5713,8,0.0012746406754702289,PanelOLS
M2c_subsidy_channel,ln_invention_apply,roa,-0.013230784616171366,0.06830773015326935,0.8464168682879532,37694,5713,8,0.0012746406754702289,PanelOLS
M2c_subsidy_channel,ln_invention_apply,cashflow_ratio,-0.05306874448323273,0.0729260155234351,0.46679852464663507,37694,5713,8,0.0012746406754702289,PanelOLS
M2c_subsidy_channel,ln_invention_apply,ln_rd_subsidy,-0.0018867463048154883,0.0009366278231184782,0.04397555235126194,37694,5713,8,0.0012746406754702289,PanelOLS
M2d_policy_exposure,ln_invention_apply,manufacturing_post2021,-0.04428721651188963,0.02663020141727147,0.09631548448399596,30184,4069,8,0.0006744517042249765,PanelOLS
M2d_policy_exposure,ln_invention_apply,policy_exposure,1.0163253755758687e-05,4.865899736599545e-06,0.03674719596361187,30184,4069,8,0.0006744517042249765,PanelOLS
M2d_policy_exposure,ln_invention_apply,ln_assets,0.050729223664467395,0.01908409509102155,0.007860857514954578,30184,4069,8,0.0006744517042249765,PanelOLS
M2d_policy_exposure,ln_invention_apply,roa,-0.017655771159047488,0.07677854784351204,0.8181269181110458,30184,4069,8,0.0006744517042249765,PanelOLS
M2d_policy_exposure,ln_invention_apply,cashflow_ratio,-0.07449408918741383,0.09048777938133744,0.41037320573909675,30184,4069,8,0.0006744517042249765,PanelOLS
M2a_RD_intensity,rd_intensity,manufacturing_post2021,-0.2852076560448927,0.12687753156018466,0.024594848219578358,22829,4898,6,0.060066566451423276,PanelOLS
M2a_RD_intensity,rd_intensity,ln_assets,-0.15461540069348734,0.12087525324806245,0.2008671485294653,22829,4898,6,0.060066566451423276,PanelOLS
M2a_RD_intensity,rd_intensity,roa,-8.788973277467036,0.7628487968923618,0.0,22829,4898,6,0.060066566451423276,PanelOLS
M2a_RD_intensity,rd_intensity,cashflow_ratio,-2.215742912952433,0.5344358495111002,3.3996797212720864e-05,22829,4898,6,0.060066566451423276,PanelOLS
M2b_RD_staff,ln_rd_staff,manufacturing_post2021,-0.13813336444921026,0.041729306196497014,0.0009337562106519481,26770,5403,6,0.1106579946888111,PanelOLS
M2b_RD_staff,ln_rd_staff,ln_assets,0.8229255674949514,0.04498542535560342,0.0,26770,5403,6,0.1106579946888111,PanelOLS
M2b_RD_staff,ln_rd_staff,roa,0.023351632141478545,0.11975087365581748,0.8453934179820137,26770,5403,6,0.1106579946888111,PanelOLS
M2b_RD_staff,ln_rd_staff,cashflow_ratio,-0.16228033557255275,0.14612708107178016,0.26677782218676604,26770,5403,6,0.1106579946888111,PanelOLS
M2c_subsidy_channel,ln_invention_apply,manufacturing_post2021,-0.022550728811284938,0.02347035653084333,0.33665482557476234,26770,5403,6,0.000543735049914007,PanelOLS
M2c_subsidy_channel,ln_invention_apply,ln_assets,0.04729529280092477,0.019917896402457776,0.017580927478583197,26770,5403,6,0.000543735049914007,PanelOLS
M2c_subsidy_channel,ln_invention_apply,roa,-0.002002796966555199,0.07429946930598441,0.9784952896632819,26770,5403,6,0.000543735049914007,PanelOLS
M2c_subsidy_channel,ln_invention_apply,cashflow_ratio,0.02208100408901259,0.08691145378594245,0.7994491607344933,26770,5403,6,0.000543735049914007,PanelOLS
M2c_subsidy_channel,ln_invention_apply,ln_rd_subsidy,-0.0011316191469412198,0.0012637422277236333,0.37055618024887815,26770,5403,6,0.000543735049914007,PanelOLS
M2d_policy_exposure,ln_invention_apply,manufacturing_post2021,-0.022336571423505234,0.027793627746459902,0.42160497344904546,22342,4069,6,0.000804868792083302,PanelOLS
M2d_policy_exposure,ln_invention_apply,policy_exposure,1.212814021658775e-05,4.2319209543876375e-06,0.004163383790995789,22342,4069,6,0.000804868792083302,PanelOLS
M2d_policy_exposure,ln_invention_apply,ln_assets,0.04633812172372955,0.022026575145393055,0.0354150303820453,22342,4069,6,0.000804868792083302,PanelOLS
M2d_policy_exposure,ln_invention_apply,roa,0.004595290329967444,0.08198217565184962,0.9553007483852005,22342,4069,6,0.000804868792083302,PanelOLS
M2d_policy_exposure,ln_invention_apply,cashflow_ratio,0.028209470759293823,0.10585197331487456,0.7898577510110671,22342,4069,6,0.000804868792083302,PanelOLS
M2a_RD_intensity,rd_intensity,manufacturing_post2021,-0.2878608592177458,0.12894527848086756,0.025597572811038694,25364,4909,7,0.057967720781403664,PanelOLS
M2a_RD_intensity,rd_intensity,ln_assets,-0.17623557040087798,0.11412826976593542,0.12255813278907812,25364,4909,7,0.057967720781403664,PanelOLS
M2a_RD_intensity,rd_intensity,roa,-8.828666066583471,0.7365960736349147,0.0,25364,4909,7,0.057967720781403664,PanelOLS
M2a_RD_intensity,rd_intensity,cashflow_ratio,-2.0406665521352663,0.5488773230523294,0.00020142841336401318,25364,4909,7,0.057967720781403664,PanelOLS
M2b_RD_staff,ln_rd_staff,manufacturing_post2021,-0.1596201733568957,0.043018990750713984,0.00020733629333347103,30205,5406,7,0.1182881502507871,PanelOLS
M2b_RD_staff,ln_rd_staff,ln_assets,0.8032746958327884,0.04273748972284988,0.0,30205,5406,7,0.1182881502507871,PanelOLS
M2b_RD_staff,ln_rd_staff,roa,0.18134958717611563,0.12342164727706817,0.1417505944049311,30205,5406,7,0.1182881502507871,PanelOLS
M2b_RD_staff,ln_rd_staff,cashflow_ratio,-0.17592149663723605,0.14249163154580632,0.21698764072353205,30205,5406,7,0.1182881502507871,PanelOLS
M2c_subsidy_channel,ln_invention_apply,manufacturing_post2021,-0.023157632997511102,0.023264046321353288,0.3195389099029444,30205,5406,7,0.00018782409991313642,PanelOLS
M2c_subsidy_channel,ln_invention_apply,ln_assets,0.02396550071012237,0.017930586338890508,0.18137499620025288,30205,5406,7,0.00018782409991313642,PanelOLS
M2c_subsidy_channel,ln_invention_apply,roa,0.04680825730094727,0.07031282070606187,0.5055998615885233,30205,5406,7,0.00018782409991313642,PanelOLS
M2c_subsidy_channel,ln_invention_apply,cashflow_ratio,0.05596103943190135,0.0785268522895982,0.47607791395772514,30205,5406,7,0.00018782409991313642,PanelOLS
M2c_subsidy_channel,ln_invention_apply,ln_rd_subsidy,-7.791175608204964e-05,0.0011637013905121138,0.946620715385714,30205,5406,7,0.00018782409991313642,PanelOLS
M2d_policy_exposure,ln_invention_apply,manufacturing_post2021,-0.021323069723707105,0.02758082201344921,0.4394646087910523,25275,4069,7,0.000489121193907871,PanelOLS
M2d_policy_exposure,ln_invention_apply,policy_exposure,1.2081822408759539e-05,4.160207456370916e-06,0.0036864437820465223,25275,4069,7,0.000489121193907871,PanelOLS
M2d_policy_exposure,ln_invention_apply,ln_assets,0.023477390199102516,0.019983688388406924,0.240076863428347,25275,4069,7,0.000489121193907871,PanelOLS
M2d_policy_exposure,ln_invention_apply,roa,0.05661670237495879,0.07857869556599864,0.4712192538774005,25275,4069,7,0.000489121193907871,PanelOLS
M2d_policy_exposure,ln_invention_apply,cashflow_ratio,0.07163679171923193,0.09666886767861885,0.45866928135773843,25275,4069,7,0.000489121193907871,PanelOLS
