,0
policy_exposure,0.19929967901955062
pre_rd_intensity,0.19929967901955062
rd_staff_ratio,0.15417672493832402
rd_intensity_raw,0.13682786428628274
rd_intensity,0.1274371965938934
province_rd_intensity,0.05467278563280897
province_rd_expenditure,0.05467278563280897
ln_province_rd_expenditure,0.05467278563280897
did_x_prov_rd_intensity,0.05467278563280897
soe,0.046794174602753535
did_x_ln_prov_sci,0.029922805528291376
province_gdp,0.029922805528291376
province_sci_tech_ratio,0.029922805528291376
province_tech_market,0.029922805528291376
province_sci_tech_exp,0.029922805528291376
province_fiscal_exp,0.029922805528291376
ln_province_fiscal_exp,0.029922805528291376
ln_province_gdp,0.029922805528291376
ln_province_tech_market,0.029922805528291376
ln_province_sci_tech_exp,0.029922805528291376
did_x_prov_sci_tech,0.029922805528291376
firm_age,0.02896782237313314
revenue,0.01925882696235775
income_tax_expense,0.007480701382072844
cashflow_ratio,7.958192959651962e-05
cashflow,7.958192959651962e-05
roa,5.305461973101308e-05
total_assets,5.305461973101308e-05
invention_grant,0.0
invention_apply,0.0
profit_before_tax,0.0
patent_grant_total,0.0
manufacturing_post2020,0.0
manufacturing_post2019,0.0
post2023,0.0
post2022,0.0
post2021,0.0
post2020,0.0
post2019,0.0
ln_assets,0.0
rd_subsidy_count,0.0
subsidy_count,0.0
manufacturing,0.0
patent_apply_total,0.0
rd_staff,0.0
rd_expense,0.0
total_subsidy,0.0
rd_subsidy,0.0
year,0.0
ln_tax_saving_est,0.0
ln_rd_subsidy,0.0
ln_total_subsidy,0.0
ln_rd_expense,0.0
ln_rd_staff,0.0
ln_patent_apply_total,0.0
ln_patent_grant_total,0.0
tax_saving_est,0.0
rd_deduction_rate,0.0
manufacturing_post2022,0.0
ln_invention_apply,0.0
manufacturing_post2021,0.0
ln_invention_grant,0.0
high_sci_tech_province,0.0
did_x_high_sci_prov,0.0
