model,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
M4a_placebo_2019,ln_invention_apply,manufacturing_post2019,0.025386788878028217,0.02521936494822863,0.31412900758174356,16480,4638,4,0.0007074272530740444,PanelOLS
M4a_placebo_2019,ln_invention_apply,ln_assets,0.024707279565698948,0.03047288017032537,0.4174993202242454,16480,4638,4,0.0007074272530740444,PanelOLS
M4a_placebo_2019,ln_invention_apply,roa,0.014746901559506297,0.08858730883820208,0.8677919570088719,16480,4638,4,0.0007074272530740444,PanelOLS
M4a_placebo_2019,ln_invention_apply,cashflow_ratio,0.03874369718546694,0.11966490233367325,0.7461192089332207,16480,4638,4,0.0007074272530740444,PanelOLS
M4b_placebo_2020,ln_invention_apply,manufacturing_post2020,0.030436018448264306,0.02802867952857208,0.2775504789799632,16480,4638,4,0.0008049839925245994,PanelOLS
M4b_placebo_2020,ln_invention_apply,ln_assets,0.02421049967188033,0.030455304005689354,0.4266574640767813,16480,4638,4,0.0008049839925245994,PanelOLS
M4b_placebo_2020,ln_invention_apply,roa,0.011307087185008311,0.08872039590176581,0.8985893292567608,16480,4638,4,0.0008049839925245994,PanelOLS
M4b_placebo_2020,ln_invention_apply,cashflow_ratio,0.040657054669499385,0.11975562898236852,0.7342390040414657,16480,4638,4,0.0008049839925245994,PanelOLS
M4a_placebo_2019,ln_invention_apply,manufacturing_post2019,0.025386788878028217,0.02521936494822863,0.31412900758174356,16480,4638,4,0.0007074272530740444,PanelOLS
M4a_placebo_2019,ln_invention_apply,ln_assets,0.024707279565698948,0.03047288017032537,0.4174993202242454,16480,4638,4,0.0007074272530740444,PanelOLS
M4a_placebo_2019,ln_invention_apply,roa,0.014746901559506297,0.08858730883820208,0.8677919570088719,16480,4638,4,0.0007074272530740444,PanelOLS
M4a_placebo_2019,ln_invention_apply,cashflow_ratio,0.03874369718546694,0.11966490233367325,0.7461192089332207,16480,4638,4,0.0007074272530740444,PanelOLS
M4b_placebo_2020,ln_invention_apply,manufacturing_post2020,0.030436018448264306,0.02802867952857208,0.2775504789799632,16480,4638,4,0.0008049839925245994,PanelOLS
M4b_placebo_2020,ln_invention_apply,ln_assets,0.02421049967188033,0.030455304005689354,0.4266574640767813,16480,4638,4,0.0008049839925245994,PanelOLS
M4b_placebo_2020,ln_invention_apply,roa,0.011307087185008311,0.08872039590176581,0.8985893292567608,16480,4638,4,0.0008049839925245994,PanelOLS
M4b_placebo_2020,ln_invention_apply,cashflow_ratio,0.040657054669499385,0.11975562898236852,0.7342390040414657,16480,4638,4,0.0008049839925245994,PanelOLS
