model,sample,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine,raw_p_value,adjusted_p_value_BH,significance_raw,significance_adjusted,theory_score,robustness_score,recommendation
D1_invention_apply,,ln_invention_apply,manufacturing_post2021,-0.024628023266596997,0.025446508611157215,0.3331381344956288,25831.0,5262.0,6.0,-0.024450710073441462,PanelOLS,0.3331381344956288,0.7955882153895966,0,0,3,1,not_recommended
D1_invention_apply,,ln_invention_apply,ln_assets,0.04706126589119381,0.021002274797619493,0.025051614745860373,25831.0,5262.0,6.0,-0.024450710073441462,PanelOLS,0.025051614745860373,,1,0,1,1,control_variable
D1_invention_apply,,ln_invention_apply,roa,0.00811047743696764,0.07826977233795825,0.9174702670347012,25831.0,5262.0,6.0,-0.024450710073441462,PanelOLS,0.9174702670347012,,0,0,1,1,control_variable
D1_invention_apply,,ln_invention_apply,cashflow_ratio,0.02414360600363212,0.09466285814513231,0.798688305162325,25831.0,5262.0,6.0,-0.024450710073441462,PanelOLS,0.798688305162325,,0,0,1,1,control_variable
D1_invention_apply,,ln_invention_apply,firm_age,-0.06164200293067933,0.08187031844527988,0.45150512170959733,25831.0,5262.0,6.0,-0.024450710073441462,PanelOLS,0.45150512170959733,,0,0,1,1,control_variable
D1_invention_grant,,ln_invention_grant,manufacturing_post2021,-0.016241104757627883,0.024355751370431007,0.5048892846492352,25831.0,5262.0,6.0,-0.00016788184129534756,PanelOLS,0.5048892846492352,0.8620067576198175,0,0,3,1,not_recommended
D1_invention_grant,,ln_invention_grant,ln_assets,0.07268059916739157,0.017850851189945217,4.6876467599821225e-05,25831.0,5262.0,6.0,-0.00016788184129534756,PanelOLS,4.6876467599821225e-05,,1,0,1,2,control_variable
D1_invention_grant,,ln_invention_grant,roa,-0.07338236903932503,0.05929101682434886,0.21585473232356778,25831.0,5262.0,6.0,-0.00016788184129534756,PanelOLS,0.21585473232356778,,0,0,1,1,control_variable
D1_invention_grant,,ln_invention_grant,cashflow_ratio,0.10745333221857489,0.07618916511002465,0.15845171057574325,25831.0,5262.0,6.0,-0.00016788184129534756,PanelOLS,0.15845171057574325,,0,0,1,1,control_variable
D1_invention_grant,,ln_invention_grant,firm_age,-0.008980647380018445,0.07133765953752141,0.8998207907668039,25831.0,5262.0,6.0,-0.00016788184129534756,PanelOLS,0.8998207907668039,,0,0,1,1,control_variable
