model,sample,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine,raw_p_value,adjusted_p_value_BH,significance_raw,significance_adjusted,theory_score,robustness_score,recommendation
D4A_HighExp_Full,,ln_invention_apply,high_exposure_post,0.010880372772334033,0.040481608776388144,0.7881068913316396,25831.0,5262.0,6.0,-0.021691189998156224,PanelOLS,0.7881068913316396,0.9305653205016744,0,0,2,1,not_recommended
D4A_HighExp_Full,,ln_invention_apply,ln_assets,0.0452211124293058,0.020938088254991924,0.030803269146129963,25831.0,5262.0,6.0,-0.021691189998156224,PanelOLS,0.030803269146129963,,1,0,1,1,control_variable
D4A_HighExp_Full,,ln_invention_apply,roa,0.004753596594997302,0.07846515366628624,0.9516924883184821,25831.0,5262.0,6.0,-0.021691189998156224,PanelOLS,0.9516924883184821,,0,0,1,1,control_variable
D4A_HighExp_Full,,ln_invention_apply,cashflow_ratio,0.026163478513855084,0.09451516274232823,0.7819228028713496,25831.0,5262.0,6.0,-0.021691189998156224,PanelOLS,0.7819228028713496,,0,0,1,1,control_variable
D4A_HighExp_Full,,ln_invention_apply,firm_age,-0.06186449669371916,0.0817289437368055,0.4490901588118059,25831.0,5262.0,6.0,-0.021691189998156224,PanelOLS,0.4490901588118059,,0,0,1,1,control_variable
D4B_HighExp_vs_NonMfg,,ln_invention_apply,high_exposure_post,-0.005785560587108141,0.04143187223258042,0.8889468583000308,13025.0,2559.0,6.0,-0.030402050144454407,PanelOLS,0.8889468583000308,0.9859228792054887,0,0,2,1,not_recommended
D4B_HighExp_vs_NonMfg,,ln_invention_apply,ln_assets,0.0462286360090859,0.02414854698219384,0.05560342700272547,13025.0,2559.0,6.0,-0.030402050144454407,PanelOLS,0.05560342700272547,,0,0,1,1,control_variable
D4B_HighExp_vs_NonMfg,,ln_invention_apply,roa,-0.0004417542107437449,0.08710826845203903,0.995953783349905,13025.0,2559.0,6.0,-0.030402050144454407,PanelOLS,0.995953783349905,,0,0,1,1,control_variable
D4B_HighExp_vs_NonMfg,,ln_invention_apply,cashflow_ratio,0.10167663675762359,0.12046692601486265,0.39867688094302456,13025.0,2559.0,6.0,-0.030402050144454407,PanelOLS,0.39867688094302456,,0,0,1,1,control_variable
D4B_HighExp_vs_NonMfg,,ln_invention_apply,firm_age,0.06186804586531107,0.10088359006612815,0.5397166271908305,13025.0,2559.0,6.0,-0.030402050144454407,PanelOLS,0.5397166271908305,,0,0,1,1,control_variable
D4C_HighPreRD_WithinMfg,,ln_invention_apply,high_pre_rd_post,0.018751850128909682,0.03675916259577728,0.6099711924392199,15652.0,2948.0,6.0,-0.10825100156102496,PanelOLS,0.6099711924392199,0.9302060684698105,0,0,2,1,not_recommended
D4C_HighPreRD_WithinMfg,,ln_invention_apply,ln_assets,0.057233091107397265,0.03437312156799619,0.09592673292650988,15652.0,2948.0,6.0,-0.10825100156102496,PanelOLS,0.09592673292650988,,0,0,1,1,control_variable
D4C_HighPreRD_WithinMfg,,ln_invention_apply,roa,0.035076117282134535,0.12930545849371222,0.7861912057024161,15652.0,2948.0,6.0,-0.10825100156102496,PanelOLS,0.7861912057024161,,0,0,1,1,control_variable
D4C_HighPreRD_WithinMfg,,ln_invention_apply,cashflow_ratio,-0.01697116658063764,0.14866471479745333,0.9091148835839045,15652.0,2948.0,6.0,-0.10825100156102496,PanelOLS,0.9091148835839045,,0,0,1,1,control_variable
D4C_HighPreRD_WithinMfg,,ln_invention_apply,firm_age,-0.1597263002182942,0.11917980820640195,0.18020016997363864,15652.0,2948.0,6.0,-0.10825100156102496,PanelOLS,0.18020016997363864,,0,0,1,1,control_variable
