model,sample,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine,raw_p_value,adjusted_p_value_BH,significance_raw,significance_adjusted,theory_score,robustness_score,recommendation
D8A_Hightech_Full,,ln_invention_apply,hightech_post2021,-0.008181621122570567,0.02809651557597104,0.770903592553349,25831.0,5262.0,6.0,-0.022885174921522644,PanelOLS,0.770903592553349,0.9305653205016744,0,0,2,1,not_recommended
D8A_Hightech_Full,,ln_invention_apply,ln_assets,0.0458087654877757,0.02100920769830897,0.029238105402938475,25831.0,5262.0,6.0,-0.022885174921522644,PanelOLS,0.029238105402938475,,1,0,1,1,control_variable
D8A_Hightech_Full,,ln_invention_apply,roa,0.01067549262016183,0.07855827315014463,0.8919074695014166,25831.0,5262.0,6.0,-0.022885174921522644,PanelOLS,0.8919074695014166,,0,0,1,1,control_variable
D8A_Hightech_Full,,ln_invention_apply,cashflow_ratio,0.02606809918810559,0.09463037658105206,0.7829557531865794,25831.0,5262.0,6.0,-0.022885174921522644,PanelOLS,0.7829557531865794,,0,0,1,1,control_variable
D8A_Hightech_Full,,ln_invention_apply,firm_age,-0.06259538531313265,0.08176071843770068,0.4439276525076896,25831.0,5262.0,6.0,-0.022885174921522644,PanelOLS,0.4439276525076896,,0,0,1,1,control_variable
D8A_Hightech_Full,,ln_invention_apply,hightech_mfg,-0.09036952846705856,0.09802631562137555,0.3565965169486196,25831.0,5262.0,6.0,-0.022885174921522644,PanelOLS,0.3565965169486196,,0,0,2,1,control_variable
D8B_Hightech_WithinMfg,,ln_invention_apply,hightech_post2021,0.011386868017795093,0.03828367332622287,0.7661398449636629,16740.0,3567.0,6.0,-0.09464144694927201,PanelOLS,0.7661398449636629,0.9305653205016744,0,0,2,1,not_recommended
D8B_Hightech_WithinMfg,,ln_invention_apply,ln_assets,0.06043111268172089,0.03345852917634156,0.07091779181136193,16740.0,3567.0,6.0,-0.09464144694927201,PanelOLS,0.07091779181136193,,0,0,1,1,control_variable
D8B_Hightech_WithinMfg,,ln_invention_apply,roa,0.025942106167228012,0.12597802691295087,0.8368521795411721,16740.0,3567.0,6.0,-0.09464144694927201,PanelOLS,0.8368521795411721,,0,0,1,1,control_variable
D8B_Hightech_WithinMfg,,ln_invention_apply,cashflow_ratio,-0.019360993153990293,0.14414714516098298,0.8931562627402281,16740.0,3567.0,6.0,-0.09464144694927201,PanelOLS,0.8931562627402281,,0,0,1,1,control_variable
D8B_Hightech_WithinMfg,,ln_invention_apply,firm_age,-0.14876031055511144,0.10522198802623689,0.15745136342462196,16740.0,3567.0,6.0,-0.09464144694927201,PanelOLS,0.15745136342462196,,0,0,1,1,control_variable
D8B_Hightech_WithinMfg,,ln_invention_apply,hightech_mfg,-0.24934532745393526,0.21732798780238974,0.25126914195517824,16740.0,3567.0,6.0,-0.09464144694927201,PanelOLS,0.25126914195517824,,0,0,2,1,control_variable
