model,sample,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine,raw_p_value,adjusted_p_value_BH,significance_raw,significance_adjusted,theory_score,robustness_score,recommendation
D5_eff_invention_apply_rd,,eff_invention_apply_rd,manufacturing_post2021,0.7511173537367861,0.12477892786812086,1.7783066130760972e-09,25831.0,5262.0,6.0,-0.18759284127310827,PanelOLS,1.7783066130760972e-09,3.615890113254731e-08,1,1,2,3,recommend_main_line
D5_eff_invention_apply_rd,,eff_invention_apply_rd,ln_assets,-1.4537711604163048,0.13501713267349827,0.0,25831.0,5262.0,6.0,-0.18759284127310827,PanelOLS,0.0,,1,0,2,2,control_variable
D5_eff_invention_apply_rd,,eff_invention_apply_rd,roa,-0.8633269239502019,0.38770074303729074,0.02597231036905856,25831.0,5262.0,6.0,-0.18759284127310827,PanelOLS,0.02597231036905856,,1,0,2,1,control_variable
D5_eff_invention_apply_rd,,eff_invention_apply_rd,cashflow_ratio,0.19681050612360568,0.4866737829456525,0.6859233685643893,25831.0,5262.0,6.0,-0.18759284127310827,PanelOLS,0.6859233685643893,,0,0,2,1,control_variable
D5_eff_invention_apply_rd,,eff_invention_apply_rd,firm_age,0.4852394282174481,0.25838559649053394,0.06039992571776809,25831.0,5262.0,6.0,-0.18759284127310827,PanelOLS,0.06039992571776809,,0,0,2,1,control_variable
D5_eff_invention_grant_rd,,eff_invention_grant_rd,manufacturing_post2021,0.7623257554181965,0.12491615870575065,1.0615870404961925e-09,25831.0,5262.0,6.0,-0.21838603849059135,PanelOLS,1.0615870404961925e-09,3.237840473513387e-08,1,1,2,3,recommend_main_line
D5_eff_invention_grant_rd,,eff_invention_grant_rd,ln_assets,-1.43148387782918,0.13511055656058593,0.0,25831.0,5262.0,6.0,-0.21838603849059135,PanelOLS,0.0,,1,0,2,2,control_variable
D5_eff_invention_grant_rd,,eff_invention_grant_rd,roa,-0.9411164071021925,0.38508038713000703,0.01453586903620363,25831.0,5262.0,6.0,-0.21838603849059135,PanelOLS,0.01453586903620363,,1,0,2,1,control_variable
D5_eff_invention_grant_rd,,eff_invention_grant_rd,cashflow_ratio,0.295075637701929,0.48600908681449617,0.5437646013355732,25831.0,5262.0,6.0,-0.21838603849059135,PanelOLS,0.5437646013355732,,0,0,2,1,control_variable
D5_eff_invention_grant_rd,,eff_invention_grant_rd,firm_age,0.5285931414399199,0.25713489814818796,0.03982369252706719,25831.0,5262.0,6.0,-0.21838603849059135,PanelOLS,0.03982369252706719,,1,0,2,1,control_variable
D5_eff_invention_apply_staff,,eff_invention_apply_staff,manufacturing_post2021,0.17305920580081688,0.04979202821063355,0.0005106854639032044,25831.0,5262.0,6.0,-0.024313308737750727,PanelOLS,0.0005106854639032044,0.005191968883015911,1,1,2,3,recommend_main_line
D5_eff_invention_apply_staff,,eff_invention_apply_staff,ln_assets,-0.79299482165677,0.04789890385194065,0.0,25831.0,5262.0,6.0,-0.024313308737750727,PanelOLS,0.0,,1,0,2,2,control_variable
D5_eff_invention_apply_staff,,eff_invention_apply_staff,roa,-0.029660500256374667,0.13915969154868768,0.8312198590613988,25831.0,5262.0,6.0,-0.024313308737750727,PanelOLS,0.8312198590613988,,0,0,2,1,control_variable
D5_eff_invention_apply_staff,,eff_invention_apply_staff,cashflow_ratio,0.1469819844081984,0.17308312706744758,0.39578056688548524,25831.0,5262.0,6.0,-0.024313308737750727,PanelOLS,0.39578056688548524,,0,0,2,1,control_variable
D5_eff_invention_apply_staff,,eff_invention_apply_staff,firm_age,0.12992305732273823,0.11897175355414212,0.27482409209442515,25831.0,5262.0,6.0,-0.024313308737750727,PanelOLS,0.27482409209442515,,0,0,2,1,control_variable
D5_eff_invention_grant_staff,,eff_invention_grant_staff,manufacturing_post2021,0.18426760748222748,0.049039228989564906,0.00017205554848453986,25831.0,5262.0,6.0,-0.07789771456497663,PanelOLS,0.00017205554848453986,0.0020990776915113863,1,1,2,3,recommend_main_line
D5_eff_invention_grant_staff,,eff_invention_grant_staff,ln_assets,-0.770707539069645,0.04752734813497038,0.0,25831.0,5262.0,6.0,-0.07789771456497663,PanelOLS,0.0,,1,0,2,2,control_variable
D5_eff_invention_grant_staff,,eff_invention_grant_staff,roa,-0.10744998340836558,0.13327513070896932,0.420121408544853,25831.0,5262.0,6.0,-0.07789771456497663,PanelOLS,0.420121408544853,,0,0,2,1,control_variable
D5_eff_invention_grant_staff,,eff_invention_grant_staff,cashflow_ratio,0.24524711598652166,0.17020383935209055,0.149627494993835,25831.0,5262.0,6.0,-0.07789771456497663,PanelOLS,0.149627494993835,,0,0,2,1,control_variable
D5_eff_invention_grant_staff,,eff_invention_grant_staff,firm_age,0.17327677054520949,0.1149568871068846,0.131744117787282,25831.0,5262.0,6.0,-0.07789771456497663,PanelOLS,0.131744117787282,,0,0,2,1,control_variable
