model,sample,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine,raw_p_value,adjusted_p_value_BH,significance_raw,significance_adjusted,theory_score,robustness_score,recommendation
D6_ln_invention_apply_lead1,,ln_invention_apply_lead1,manufacturing_post2021,-0.03499783374126929,0.023650325783776203,0.13894114605123375,25666.0,5252.0,6.0,-0.025180040872911702,PanelOLS,0.13894114605123375,0.5650273272750173,0,0,2,1,not_recommended
D6_ln_invention_apply_lead1,,ln_invention_apply_lead1,ln_assets,0.0164961732760267,0.019483583754021275,0.3971888023927259,25666.0,5252.0,6.0,-0.025180040872911702,PanelOLS,0.3971888023927259,,0,0,2,1,control_variable
D6_ln_invention_apply_lead1,,ln_invention_apply_lead1,roa,0.10409517563625809,0.07210007385982387,0.14882195593314584,25666.0,5252.0,6.0,-0.025180040872911702,PanelOLS,0.14882195593314584,,0,0,2,1,control_variable
D6_ln_invention_apply_lead1,,ln_invention_apply_lead1,cashflow_ratio,0.11126427290209204,0.0912866123625116,0.22291694518089455,25666.0,5252.0,6.0,-0.025180040872911702,PanelOLS,0.22291694518089455,,0,0,2,1,control_variable
D6_ln_invention_apply_lead1,,ln_invention_apply_lead1,firm_age,0.06248566051563418,0.05484571974236965,0.2545919401190311,25666.0,5252.0,6.0,-0.025180040872911702,PanelOLS,0.2545919401190311,,0,0,2,1,control_variable
D6_ln_invention_apply_lead2,,ln_invention_apply_lead2,manufacturing_post2021,-0.05434723137977468,0.026101528152772665,0.037341548918681244,25457.0,5238.0,6.0,-0.009155716151953985,PanelOLS,0.037341548918681244,0.2847293105049445,1,0,2,3,recommend_main_line
D6_ln_invention_apply_lead2,,ln_invention_apply_lead2,ln_assets,0.01600094706799044,0.021371092567454744,0.454035190005309,25457.0,5238.0,6.0,-0.009155716151953985,PanelOLS,0.454035190005309,,0,0,2,1,control_variable
D6_ln_invention_apply_lead2,,ln_invention_apply_lead2,roa,0.1732337987498597,0.07568154194461013,0.02209057915044954,25457.0,5238.0,6.0,-0.009155716151953985,PanelOLS,0.02209057915044954,,1,0,2,1,control_variable
D6_ln_invention_apply_lead2,,ln_invention_apply_lead2,cashflow_ratio,0.13720853306073058,0.1018516714033099,0.17795002322378828,25457.0,5238.0,6.0,-0.009155716151953985,PanelOLS,0.17795002322378828,,0,0,2,1,control_variable
D6_ln_invention_apply_lead2,,ln_invention_apply_lead2,firm_age,-0.024716760694555074,0.07175951918683617,0.7305199185481435,25457.0,5238.0,6.0,-0.009155716151953985,PanelOLS,0.7305199185481435,,0,0,2,1,control_variable
D6_ln_invention_grant_lead1,,ln_invention_grant_lead1,manufacturing_post2021,0.007739987409865241,0.023208381307834102,0.7387605686201899,25666.0,5252.0,6.0,0.004568550988120368,PanelOLS,0.7387605686201899,0.9305653205016744,0,0,2,1,not_recommended
D6_ln_invention_grant_lead1,,ln_invention_grant_lead1,ln_assets,0.07708796363259246,0.020096766055865835,0.0001255127115540322,25666.0,5252.0,6.0,0.004568550988120368,PanelOLS,0.0001255127115540322,,1,0,2,2,control_variable
D6_ln_invention_grant_lead1,,ln_invention_grant_lead1,roa,-0.11866610356148498,0.06828325842828466,0.08225222414890698,25666.0,5252.0,6.0,0.004568550988120368,PanelOLS,0.08225222414890698,,0,0,2,1,control_variable
D6_ln_invention_grant_lead1,,ln_invention_grant_lead1,cashflow_ratio,0.05552281297701185,0.07822502071616882,0.47784664062634796,25666.0,5252.0,6.0,0.004568550988120368,PanelOLS,0.47784664062634796,,0,0,2,1,control_variable
D6_ln_invention_grant_lead1,,ln_invention_grant_lead1,firm_age,0.0006947839335462452,0.06396333390625647,0.9913334773823295,25666.0,5252.0,6.0,0.004568550988120368,PanelOLS,0.9913334773823295,,0,0,2,1,control_variable
D6_ln_invention_grant_lead2,,ln_invention_grant_lead2,manufacturing_post2021,0.007673358529615411,0.027071871467469578,0.7768394355107984,25457.0,5238.0,6.0,-0.015828898596188745,PanelOLS,0.7768394355107984,0.9305653205016744,0,0,2,1,not_recommended
D6_ln_invention_grant_lead2,,ln_invention_grant_lead2,ln_assets,0.07297084309097354,0.02096917694462427,0.0005026400003746989,25457.0,5238.0,6.0,-0.015828898596188745,PanelOLS,0.0005026400003746989,,1,0,2,2,control_variable
D6_ln_invention_grant_lead2,,ln_invention_grant_lead2,roa,0.07045195803747312,0.06686710074014675,0.2920733383479952,25457.0,5238.0,6.0,-0.015828898596188745,PanelOLS,0.2920733383479952,,0,0,2,1,control_variable
D6_ln_invention_grant_lead2,,ln_invention_grant_lead2,cashflow_ratio,0.19257562794771785,0.0899940009936414,0.032377065073201816,25457.0,5238.0,6.0,-0.015828898596188745,PanelOLS,0.032377065073201816,,1,0,2,1,control_variable
D6_ln_invention_grant_lead2,,ln_invention_grant_lead2,firm_age,-0.03012365165123973,0.06402055611479517,0.6379808214738372,25457.0,5238.0,6.0,-0.015828898596188745,PanelOLS,0.6379808214738372,,0,0,2,1,control_variable
