model,sample,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine,raw_p_value,adjusted_p_value_BH,significance_raw,significance_adjusted,theory_score,robustness_score,recommendation
D9A_SOE_Interaction,,ln_invention_apply,manufacturing_post2021,-0.02422101525681134,0.0257002333228417,0.34597675112686654,25831.0,5262.0,6.0,-0.024456701974860717,PanelOLS,0.34597675112686654,0.7955882153895966,0,0,3,1,not_recommended
D9A_SOE_Interaction,,ln_invention_apply,mfg_post_x_soe,-0.0051561522416724735,0.08241889595106539,0.9501172382800864,25831.0,5262.0,6.0,-0.024456701974860717,PanelOLS,0.9501172382800864,0.9936552745056586,0,0,2,1,not_recommended
D9A_SOE_Interaction,,ln_invention_apply,ln_assets,0.0470228273526844,0.021008276893719122,0.025212155793304047,25831.0,5262.0,6.0,-0.024456701974860717,PanelOLS,0.025212155793304047,,1,0,1,1,control_variable
D9A_SOE_Interaction,,ln_invention_apply,roa,0.008269523883474563,0.07803248810005449,0.9156029067967042,25831.0,5262.0,6.0,-0.024456701974860717,PanelOLS,0.9156029067967042,,0,0,1,1,control_variable
D9A_SOE_Interaction,,ln_invention_apply,cashflow_ratio,0.024247475264429694,0.09467584405971467,0.7978680973879413,25831.0,5262.0,6.0,-0.024456701974860717,PanelOLS,0.7978680973879413,,0,0,1,1,control_variable
D9A_SOE_Interaction,,ln_invention_apply,firm_age,-0.06164383751513822,0.08186763844376149,0.4514768443803667,25831.0,5262.0,6.0,-0.024456701974860717,PanelOLS,0.4514768443803667,,0,0,1,1,control_variable
D9B_SOE,,ln_invention_apply,manufacturing_post2021,0.0033097626386396285,0.11496840343029939,0.9770369061159876,2131.0,524.0,6.0,-0.022168810274256767,PanelOLS,0.9770369061159876,0.9936552745056586,0,0,3,1,not_recommended
D9B_SOE,,ln_invention_apply,ln_assets,-0.02852191727754109,0.0924171772543505,0.757649803905438,2131.0,524.0,6.0,-0.022168810274256767,PanelOLS,0.757649803905438,,0,0,1,1,control_variable
D9B_SOE,,ln_invention_apply,roa,-0.4602128626620809,0.7650587152974768,0.5475662410843833,2131.0,524.0,6.0,-0.022168810274256767,PanelOLS,0.5475662410843833,,0,0,1,1,control_variable
D9B_SOE,,ln_invention_apply,cashflow_ratio,0.12591143692024598,0.41147644775041825,0.7596451886819402,2131.0,524.0,6.0,-0.022168810274256767,PanelOLS,0.7596451886819402,,0,0,1,1,control_variable
D9B_SOE,,ln_invention_apply,firm_age,0.0875264682001347,0.13620071422451277,0.5205573950820552,2131.0,524.0,6.0,-0.022168810274256767,PanelOLS,0.5205573950820552,,0,0,1,1,control_variable
D9B_NonSOE,,ln_invention_apply,manufacturing_post2021,-0.023825846503591333,0.026482910718639664,0.36830860347996985,23028.0,5012.0,6.0,-0.04537103323888658,PanelOLS,0.36830860347996985,0.8023866004385057,0,0,3,1,not_recommended
D9B_NonSOE,,ln_invention_apply,ln_assets,0.05849293548162401,0.022577422791523322,0.00958383516806971,23028.0,5012.0,6.0,-0.04537103323888658,PanelOLS,0.00958383516806971,,1,0,1,2,control_variable
D9B_NonSOE,,ln_invention_apply,roa,0.009458032897709825,0.07824911612540073,0.9037947231871903,23028.0,5012.0,6.0,-0.04537103323888658,PanelOLS,0.9037947231871903,,0,0,1,1,control_variable
D9B_NonSOE,,ln_invention_apply,cashflow_ratio,0.026702244351436345,0.10285275166697448,0.7951627785135926,23028.0,5012.0,6.0,-0.04537103323888658,PanelOLS,0.7951627785135926,,0,0,1,1,control_variable
D9B_NonSOE,,ln_invention_apply,firm_age,-0.08450197811468531,0.11222950885938524,0.4514963935003853,23028.0,5012.0,6.0,-0.04537103323888658,PanelOLS,0.4514963935003853,,0,0,1,1,control_variable
