model,sample,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine,raw_p_value,adjusted_p_value_BH,significance_raw,significance_adjusted,theory_score,robustness_score,recommendation
D2_policy_exposure,,ln_invention_apply,manufacturing_post2021,-0.041565063241445085,0.03759735441015389,0.2689438856335511,22329.0,4069.0,6.0,-0.02505130990241633,PanelOLS,0.2689438856335511,0.7741835873750684,0,0,3,1,not_recommended
D2_policy_exposure,,ln_invention_apply,policy_exposure,0.38650176902796085,0.530351142517526,0.466154293478412,22329.0,4069.0,6.0,-0.02505130990241633,PanelOLS,0.466154293478412,0.8363356441818568,0,0,3,1,not_recommended
D2_policy_exposure,,ln_invention_apply,ln_assets,0.04617936267530806,0.022503892557718688,0.04017795939675839,22329.0,4069.0,6.0,-0.02505130990241633,PanelOLS,0.04017795939675839,,1,0,1,1,control_variable
D2_policy_exposure,,ln_invention_apply,roa,0.017216559116215748,0.08437940229633965,0.8383264991679402,22329.0,4069.0,6.0,-0.02505130990241633,PanelOLS,0.8383264991679402,,0,0,1,1,control_variable
D2_policy_exposure,,ln_invention_apply,cashflow_ratio,0.03129335796612387,0.10977439423346172,0.7755939479711242,22329.0,4069.0,6.0,-0.02505130990241633,PanelOLS,0.7755939479711242,,0,0,1,1,control_variable
D2_policy_exposure,,ln_invention_apply,firm_age,-0.0659698893393997,0.09679693660064442,0.49554566831686486,22329.0,4069.0,6.0,-0.02505130990241633,PanelOLS,0.49554566831686486,,0,0,1,1,control_variable
D2_z_policy_exposure,,ln_invention_apply,manufacturing_post2021,-0.04156506324144501,0.03759735441015376,0.26894388563355043,22329.0,4069.0,6.0,-0.02505130990241633,PanelOLS,0.26894388563355043,0.7741835873750684,0,0,3,1,not_recommended
D2_z_policy_exposure,,ln_invention_apply,z_policy_exposure,0.013132151824125977,0.018019714996789345,0.46615429347840776,22329.0,4069.0,6.0,-0.02505130990241633,PanelOLS,0.46615429347840776,0.8363356441818568,0,0,3,1,not_recommended
D2_z_policy_exposure,,ln_invention_apply,ln_assets,0.04617936267530804,0.022503892557716315,0.04017795939673752,22329.0,4069.0,6.0,-0.02505130990241633,PanelOLS,0.04017795939673752,,1,0,1,1,control_variable
D2_z_policy_exposure,,ln_invention_apply,roa,0.017216559116215755,0.08437940229633843,0.8383264991679376,22329.0,4069.0,6.0,-0.02505130990241633,PanelOLS,0.8383264991679376,,0,0,1,1,control_variable
D2_z_policy_exposure,,ln_invention_apply,cashflow_ratio,0.03129335796612387,0.10977439423346165,0.775593947971124,22329.0,4069.0,6.0,-0.02505130990241633,PanelOLS,0.775593947971124,,0,0,1,1,control_variable
D2_z_policy_exposure,,ln_invention_apply,firm_age,-0.06596988933939965,0.096796936599905,0.4955456683135724,22329.0,4069.0,6.0,-0.02505130990241633,PanelOLS,0.4955456683135724,,0,0,1,1,control_variable
D2_policy_exposure,,ln_invention_apply,manufacturing_post2021,-0.057766236797771174,0.03608642638811441,0.10943894716213842,30170.0,4069.0,8.0,-0.06444402001394445,PanelOLS,0.10943894716213842,0.476841126920746,0,0,3,1,not_recommended
D2_policy_exposure,,ln_invention_apply,policy_exposure,0.29887331620373203,0.5187452692735521,0.5645210750578911,30170.0,4069.0,8.0,-0.06444402001394445,PanelOLS,0.5645210750578911,0.9004599018981316,0,0,3,1,not_recommended
D2_policy_exposure,,ln_invention_apply,ln_assets,0.053385930145676136,0.019591158217298826,0.006434410518429745,30170.0,4069.0,8.0,-0.06444402001394445,PanelOLS,0.006434410518429745,,1,0,1,2,control_variable
D2_policy_exposure,,ln_invention_apply,roa,-0.005208893635029663,0.08005073307758918,0.9481188401601517,30170.0,4069.0,8.0,-0.06444402001394445,PanelOLS,0.9481188401601517,,0,0,1,1,control_variable
D2_policy_exposure,,ln_invention_apply,cashflow_ratio,-0.08384452022244429,0.09425859312127874,0.3737340673384406,30170.0,4069.0,8.0,-0.06444402001394445,PanelOLS,0.3737340673384406,,0,0,1,1,control_variable
D2_policy_exposure,,ln_invention_apply,firm_age,-0.0771826921111467,0.08998376687461984,0.3910438294308949,30170.0,4069.0,8.0,-0.06444402001394445,PanelOLS,0.3910438294308949,,0,0,1,1,control_variable
D2_z_policy_exposure,,ln_invention_apply,manufacturing_post2021,-0.0577662367977712,0.03608642638811438,0.10943894716213798,30170.0,4069.0,8.0,-0.06444402001394445,PanelOLS,0.10943894716213798,0.476841126920746,0,0,3,1,not_recommended
D2_z_policy_exposure,,ln_invention_apply,z_policy_exposure,0.010154804140840794,0.01762538280556916,0.5645210750578951,30170.0,4069.0,8.0,-0.06444402001394445,PanelOLS,0.5645210750578951,0.9004599018981316,0,0,3,1,not_recommended
D2_z_policy_exposure,,ln_invention_apply,ln_assets,0.05338593014567611,0.019591158217300907,0.006434410518435296,30170.0,4069.0,8.0,-0.06444402001394445,PanelOLS,0.006434410518435296,,1,0,1,2,control_variable
D2_z_policy_exposure,,ln_invention_apply,roa,-0.005208893635029736,0.08005073307758853,0.9481188401601504,30170.0,4069.0,8.0,-0.06444402001394445,PanelOLS,0.9481188401601504,,0,0,1,1,control_variable
D2_z_policy_exposure,,ln_invention_apply,cashflow_ratio,-0.08384452022244425,0.09425859312127867,0.3737340673384404,30170.0,4069.0,8.0,-0.06444402001394445,PanelOLS,0.3737340673384404,,0,0,1,1,control_variable
D2_z_policy_exposure,,ln_invention_apply,firm_age,-0.07718269211114674,0.08998376687396091,0.3910438294274259,30170.0,4069.0,8.0,-0.06444402001394445,PanelOLS,0.3910438294274259,,0,0,1,1,control_variable
