model,sample,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine,raw_p_value,adjusted_p_value_BH,significance_raw,significance_adjusted,theory_score,robustness_score,recommendation
D7_Stage_Policy,,ln_invention_apply,treat_2021_2022,-0.03427586538140804,0.024187625972229454,0.15646882282197816,36605.0,5629.0,8.0,-0.07161455623128088,PanelOLS,0.15646882282197816,0.5965373870087917,0,0,3,1,not_recommended
D7_Stage_Policy,,ln_invention_apply,treat_2023_2024,-0.053847739647575256,0.02932028801886882,0.06628812867587008,36605.0,5629.0,8.0,-0.07161455623128088,PanelOLS,0.06628812867587008,0.39481506659857674,0,0,3,1,not_recommended
D7_Stage_Policy,,ln_invention_apply,ln_assets,0.05801349498696516,0.018162077634676768,0.0014035432899890399,36605.0,5629.0,8.0,-0.07161455623128088,PanelOLS,0.0014035432899890399,,1,0,1,2,control_variable
D7_Stage_Policy,,ln_invention_apply,roa,-0.005566588126760224,0.0729450586274939,0.9391713196191325,36605.0,5629.0,8.0,-0.07161455623128088,PanelOLS,0.9391713196191325,,0,0,1,1,control_variable
D7_Stage_Policy,,ln_invention_apply,cashflow_ratio,-0.05960217315702592,0.0789651569385766,0.4503802618605497,36605.0,5629.0,8.0,-0.07161455623128088,PanelOLS,0.4503802618605497,,0,0,1,1,control_variable
D7_Stage_Policy,,ln_invention_apply,firm_age,-0.07768809500795838,0.07611395142674589,0.3074133811461892,36605.0,5629.0,8.0,-0.07161455623128088,PanelOLS,0.3074133811461892,,0,0,1,1,control_variable
D7_Stage_Policy,,ln_invention_apply,WALD_STAGE_EQ,0.7089841639201265,,0.3997812512412252,36605.0,,,,Wald chi2(1),0.3997812512412252,,0,0,1,1,control_variable
D7_Stage_invention_grant,,ln_invention_grant,treat_2021_2022,-0.006123209472751761,0.023563946754794993,0.7949773487269967,36605.0,5629.0,8.0,-0.05567361301519935,PanelOLS,0.7949773487269967,0.9305653205016744,0,0,3,1,not_recommended
D7_Stage_invention_grant,,ln_invention_grant,treat_2023_2024,0.006780488797514901,0.029596847814163732,0.8187966202987924,36605.0,5629.0,8.0,-0.05567361301519935,PanelOLS,0.8187966202987924,0.9305653205016744,0,0,3,1,not_recommended
D7_Stage_invention_grant,,ln_invention_grant,ln_assets,0.07829193660663619,0.017203307386575266,5.35989838046369e-06,36605.0,5629.0,8.0,-0.05567361301519935,PanelOLS,5.35989838046369e-06,,1,0,1,2,control_variable
D7_Stage_invention_grant,,ln_invention_grant,roa,-0.07560034647884335,0.06055336162100711,0.2118606245069261,36605.0,5629.0,8.0,-0.05567361301519935,PanelOLS,0.2118606245069261,,0,0,1,1,control_variable
D7_Stage_invention_grant,,ln_invention_grant,cashflow_ratio,0.04720552968473316,0.07197268005214126,0.5119054216157592,36605.0,5629.0,8.0,-0.05567361301519935,PanelOLS,0.5119054216157592,,0,0,1,1,control_variable
D7_Stage_invention_grant,,ln_invention_grant,firm_age,-0.05586339064144066,0.07240585843567512,0.44039792787603815,36605.0,5629.0,8.0,-0.05567361301519935,PanelOLS,0.44039792787603815,,0,0,1,1,control_variable
D7_Stage_invention_grant,,ln_invention_grant,WALD_STAGE_EQ,0.2523692810498311,,0.6154117127149218,36605.0,,,,Wald chi2(1),0.6154117127149218,,0,0,1,1,control_variable
D7_Stage_patent_apply_total,,ln_patent_apply_total,treat_2021_2022,-0.00883476186877726,0.03283144839403074,0.7878587632668705,36605.0,5629.0,8.0,-0.05688480373735327,PanelOLS,0.7878587632668705,0.9305653205016744,0,0,3,1,not_recommended
D7_Stage_patent_apply_total,,ln_patent_apply_total,treat_2023_2024,-0.062090645135166926,0.03805047952555977,0.10273250013928248,36605.0,5629.0,8.0,-0.05688480373735327,PanelOLS,0.10273250013928248,0.476841126920746,0,0,3,1,not_recommended
D7_Stage_patent_apply_total,,ln_patent_apply_total,ln_assets,0.10296256200076007,0.024613399958269354,2.8823638329456003e-05,36605.0,5629.0,8.0,-0.05688480373735327,PanelOLS,2.8823638329456003e-05,,1,0,1,2,control_variable
D7_Stage_patent_apply_total,,ln_patent_apply_total,roa,0.005493047522121111,0.09045450790049651,0.9515768740651862,36605.0,5629.0,8.0,-0.05688480373735327,PanelOLS,0.9515768740651862,,0,0,1,1,control_variable
D7_Stage_patent_apply_total,,ln_patent_apply_total,cashflow_ratio,-0.09363322806906056,0.10747107482426092,0.3836292241425774,36605.0,5629.0,8.0,-0.05688480373735327,PanelOLS,0.3836292241425774,,0,0,1,1,control_variable
D7_Stage_patent_apply_total,,ln_patent_apply_total,firm_age,-0.09691583092013034,0.09225175349164987,0.29346977252763073,36605.0,5629.0,8.0,-0.05688480373735327,PanelOLS,0.29346977252763073,,0,0,1,1,control_variable
