model,sample,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
E_AltEff_asinh_apply_per_rd,,asinh_apply_per_rd,manufacturing_post2021,-9.523175832240266e-09,4.008633786777756e-09,0.017527727651297953,22906,4930,6,-0.07504503587835143,PanelOLS
E_AltEff_asinh_apply_per_rd,,asinh_apply_per_rd,ln_assets,-1.1575000280117564e-08,3.621538550074521e-09,0.0013951294274181514,22906,4930,6,-0.07504503587835143,PanelOLS
E_AltEff_asinh_apply_per_rd,,asinh_apply_per_rd,roa,8.71535829026044e-09,1.2276781339346027e-08,0.4777717664493031,22906,4930,6,-0.07504503587835143,PanelOLS
E_AltEff_asinh_apply_per_rd,,asinh_apply_per_rd,cashflow_ratio,6.172439822477962e-09,1.669753297494353e-08,0.711638866968497,22906,4930,6,-0.07504503587835143,PanelOLS
E_AltEff_asinh_apply_per_rd,,asinh_apply_per_rd,firm_age,1.6265078113260043e-08,1.523967502921375e-08,0.2858574546354309,22906,4930,6,-0.07504503587835143,PanelOLS
E_AltEff_asinh_grant_per_rd,,asinh_grant_per_rd,manufacturing_post2021,-1.5362814065591862e-09,1.830713548571795e-09,0.4013846197552837,22906,4930,6,-0.005015003826914333,PanelOLS
E_AltEff_asinh_grant_per_rd,,asinh_grant_per_rd,ln_assets,-4.393778798614012e-09,1.8317052456315068e-09,0.01646186365874036,22906,4930,6,-0.005015003826914333,PanelOLS
E_AltEff_asinh_grant_per_rd,,asinh_grant_per_rd,roa,-1.0909647820436055e-08,5.4451096909360215e-09,0.04513133958283455,22906,4930,6,-0.005015003826914333,PanelOLS
E_AltEff_asinh_grant_per_rd,,asinh_grant_per_rd,cashflow_ratio,1.4521849607269574e-08,7.518855011511033e-09,0.0534504156186737,22906,4930,6,-0.005015003826914333,PanelOLS
E_AltEff_asinh_grant_per_rd,,asinh_grant_per_rd,firm_age,1.790531661238438e-09,6.572550625894967e-09,0.7852978498535932,22906,4930,6,-0.005015003826914333,PanelOLS
E_AltEff_asinh_apply_per_staff,,asinh_apply_per_staff,manufacturing_post2021,0.00025958922012051964,0.0011608347863153146,0.823053423524148,21989,4845,6,-0.05043461270588612,PanelOLS
E_AltEff_asinh_apply_per_staff,,asinh_apply_per_staff,ln_assets,0.00022251646457285945,0.001008276903284317,0.8253365754625697,21989,4845,6,-0.05043461270588612,PanelOLS
E_AltEff_asinh_apply_per_staff,,asinh_apply_per_staff,roa,0.0011933607759104076,0.0034778201237585767,0.7315013346100792,21989,4845,6,-0.05043461270588612,PanelOLS
E_AltEff_asinh_apply_per_staff,,asinh_apply_per_staff,cashflow_ratio,0.003418701983391127,0.005218695293382881,0.5124202225543537,21989,4845,6,-0.05043461270588612,PanelOLS
E_AltEff_asinh_apply_per_staff,,asinh_apply_per_staff,firm_age,-0.0043625741114730575,0.006156920702649059,0.4786045462834507,21989,4845,6,-0.05043461270588612,PanelOLS
E_AltEff_asinh_grant_per_staff,,asinh_grant_per_staff,manufacturing_post2021,0.00045399369609655293,0.0006149093450369823,0.4603362254530985,21989,4845,6,-0.06018697531644834,PanelOLS
E_AltEff_asinh_grant_per_staff,,asinh_grant_per_staff,ln_assets,0.00034250374675711873,0.000508307094559162,0.500439525405528,21989,4845,6,-0.06018697531644834,PanelOLS
E_AltEff_asinh_grant_per_staff,,asinh_grant_per_staff,roa,-0.0029357044804547545,0.0018008416443661347,0.10308084943766427,21989,4845,6,-0.06018697531644834,PanelOLS
E_AltEff_asinh_grant_per_staff,,asinh_grant_per_staff,cashflow_ratio,0.0041431820255954125,0.002593860067229345,0.11021648924457894,21989,4845,6,-0.06018697531644834,PanelOLS
E_AltEff_asinh_grant_per_staff,,asinh_grant_per_staff,firm_age,-0.0022031878790017964,0.002643611807207278,0.40463040836855435,21989,4845,6,-0.06018697531644834,PanelOLS
