model,sample,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
J_PreRD_Interaction_eff_invention_apply_rd_10k,,eff_invention_apply_rd_10k,manufacturing_post2021,0.14001714174901617,0.0700857007416894,0.045751609404235394,25831,5262,6,-0.09237486970792497,PanelOLS
J_PreRD_Interaction_eff_invention_apply_rd_10k,,eff_invention_apply_rd_10k,mfg_post_x_highprerd,0.2281471849267156,0.05151263239733429,9.517869739239515e-06,25831,5262,6,-0.09237486970792497,PanelOLS
J_PreRD_Interaction_eff_invention_apply_rd_10k,,eff_invention_apply_rd_10k,ln_assets,-1.0148097860165202,0.06530518540351747,0.0,25831,5262,6,-0.09237486970792497,PanelOLS
J_PreRD_Interaction_eff_invention_apply_rd_10k,,eff_invention_apply_rd_10k,roa,-0.3500858051972244,0.19052995715750115,0.06616059747871872,25831,5262,6,-0.09237486970792497,PanelOLS
J_PreRD_Interaction_eff_invention_apply_rd_10k,,eff_invention_apply_rd_10k,cashflow_ratio,0.06389398192157195,0.23234486217041922,0.7833218295708688,25831,5262,6,-0.09237486970792497,PanelOLS
J_PreRD_Interaction_eff_invention_apply_rd_10k,,eff_invention_apply_rd_10k,firm_age,0.2084763706049711,0.13387788427234587,0.11943533599212008,25831,5262,6,-0.09237486970792497,PanelOLS
J_PreRD_Interaction_eff_invention_apply_staff,,eff_invention_apply_staff,manufacturing_post2021,0.1008294464831414,0.05890857919923182,0.08698072604399587,25831,5262,6,0.006776777803878864,PanelOLS
J_PreRD_Interaction_eff_invention_apply_staff,,eff_invention_apply_staff,mfg_post_x_highprerd,0.1329322639063651,0.053029256467373394,0.012191576034157103,25831,5262,6,0.006776777803878864,PanelOLS
J_PreRD_Interaction_eff_invention_apply_staff,,eff_invention_apply_staff,ln_assets,-0.7872945772796037,0.04763348509702666,0.0,25831,5262,6,0.006776777803878864,PanelOLS
J_PreRD_Interaction_eff_invention_apply_staff,,eff_invention_apply_staff,roa,-0.032932929342405756,0.13854942577185952,0.8121176593332717,25831,5262,6,0.006776777803878864,PanelOLS
J_PreRD_Interaction_eff_invention_apply_staff,,eff_invention_apply_staff,cashflow_ratio,0.1932236196952999,0.16862640090153042,0.25186305522947294,25831,5262,6,0.006776777803878864,PanelOLS
J_PreRD_Interaction_eff_invention_apply_staff,,eff_invention_apply_staff,firm_age,0.09535503805243302,0.1198812176349422,0.42638268216389763,25831,5262,6,0.006776777803878864,PanelOLS
J_HighPreRD_Subsample,,eff_invention_apply_rd_10k,manufacturing_post2021,-0.06333204817562027,0.07978273725806174,0.4273287712029479,11189,2049,6,0.027533466846359933,PanelOLS
J_HighPreRD_Subsample,,eff_invention_apply_rd_10k,ln_assets,-0.9801479535098628,0.08742180411839279,0.0,11189,2049,6,0.027533466846359933,PanelOLS
J_HighPreRD_Subsample,,eff_invention_apply_rd_10k,roa,0.10471426313984042,0.2152115894391407,0.6265788507448367,11189,2049,6,0.027533466846359933,PanelOLS
J_HighPreRD_Subsample,,eff_invention_apply_rd_10k,cashflow_ratio,-0.2527512640599831,0.2930138161862557,0.388384692882606,11189,2049,6,0.027533466846359933,PanelOLS
J_HighPreRD_Subsample,,eff_invention_apply_rd_10k,firm_age,0.15592032901679354,0.2252689807156576,0.4888596104797758,11189,2049,6,0.027533466846359933,PanelOLS
J_LowPreRD_Subsample,,eff_invention_apply_rd_10k,manufacturing_post2021,0.30856105210675033,0.08385708571995897,0.00023466888756762394,14642,3213,6,-0.12169977020424794,PanelOLS
J_LowPreRD_Subsample,,eff_invention_apply_rd_10k,ln_assets,-1.0524944379845849,0.09442057313530802,0.0,14642,3213,6,-0.12169977020424794,PanelOLS
J_LowPreRD_Subsample,,eff_invention_apply_rd_10k,roa,-0.7028747888155603,0.3115351259484618,0.02407910629468324,14642,3213,6,-0.12169977020424794,PanelOLS
J_LowPreRD_Subsample,,eff_invention_apply_rd_10k,cashflow_ratio,0.31486917726403624,0.3325409254991845,0.34373096101764844,14642,3213,6,-0.12169977020424794,PanelOLS
