,0
rd_staff_ratio,0.18000149409831168
asinh_grant_per_staff,0.17850739578664276
apply_per_staff,0.17850739578664276
asinh_apply_per_staff,0.17850739578664276
grant_per_staff,0.17850739578664276
policy_exposure,0.16547138801733155
pre_rd_intensity,0.16547138801733155
z_pre_rd_intensity,0.16547138801733155
z_policy_exposure,0.16547138801733155
pre_rd_intensity_v5,0.16547138801733155
rd_intensity_raw,0.15867324069923802
rd_intensity,0.1472807410727626
apply_per_rd,0.14414313461825787
asinh_apply_per_rd,0.14414313461825787
asinh_grant_per_rd,0.14414313461825787
grant_per_rd,0.14414313461825787
soe,0.06024951441804871
province_rd_expenditure,0.03582100702226206
province_sci_tech_exp,0.03582100702226206
province_rd_intensity,0.03582100702226206
province_fiscal_exp,0.03582100702226206
province_sci_tech_ratio,0.03582100702226206
ln_province_rd_expenditure,0.03582100702226206
ln_province_sci_tech_exp,0.03582100702226206
ln_province_fiscal_exp,0.03582100702226206
ln_province_gdp,0.03582100702226206
province_tech_market,0.03582100702226206
did_x_ln_prov_sci,0.03582100702226206
did_x_prov_sci_tech,0.03582100702226206
did_x_prov_rd_intensity,0.03582100702226206
z_province_sci_tech_ratio,0.03582100702226206
z_province_rd_intensity,0.03582100702226206
province_gdp,0.03582100702226206
ln_province_tech_market,0.03582100702226206
firm_age,0.03514866278201106
revenue,0.01968474525623786
ln_invention_apply_lead2,0.014642163454355296
ln_invention_grant_lead2,0.014642163454355296
income_tax_expense,0.007918721051845212
ln_invention_grant_lead1,0.006499327655759749
ln_invention_apply_lead1,0.006499327655759749
cashflow,7.470491558344539e-05
cashflow_ratio,7.470491558344539e-05
roa,3.735245779172269e-05
total_assets,3.735245779172269e-05
rd_subsidy,0.0
profit_before_tax,0.0
year,0.0
ln_tax_saving_est,0.0
ln_rd_staff,0.0
ln_rd_subsidy,0.0
ln_total_subsidy,0.0
ln_rd_expense,0.0
ln_invention_grant,0.0
ln_patent_apply_total,0.0
ln_patent_grant_total,0.0
tax_saving_est,0.0
rd_deduction_rate,0.0
manufacturing_post2022,0.0
ln_invention_apply,0.0
manufacturing_post2021,0.0
post2023,0.0
manufacturing_post2019,0.0
manufacturing_post2020,0.0
rd_subsidy_count,0.0
subsidy_count,0.0
manufacturing,0.0
post2022,0.0
post2021,0.0
post2020,0.0
post2019,0.0
ln_assets,0.0
invention_grant,0.0
invention_apply,0.0
patent_grant_total,0.0
patent_apply_total,0.0
rd_staff,0.0
rd_expense,0.0
total_subsidy,0.0
did_x_high_sci_prov,0.0
eff_invention_grant_staff,0.0
eff_invention_grant_rd,0.0
eff_invention_apply_staff,0.0
eff_invention_apply_rd,0.0
hightech_mfg,0.0
hightech_post2021,0.0
high_exposure_post,0.0
high_exposure_mfg,0.0
z_tax_saving_est,0.0
high_pre_rd,0.0
high_sci_tech_province,0.0
rd_subsidy_missing,0.0
total_subsidy_missing,0.0
private,0.0
rd_expense_yuan,0.0
rd_expense_10k,0.0
eff_invention_grant_rd_yuan,0.0
eff_invention_apply_rd_million,0.0
eff_invention_apply_rd_10k,0.0
eff_invention_apply_rd_yuan,0.0
ln_rd_expense_million,0.0
ln_rd_expense_10k,0.0
ln_rd_expense_yuan,0.0
rd_expense_million,0.0
eff_invention_grant_rd_million,0.0
eff_invention_grant_rd_10k,0.0
treat_2021_2022,0.0
treat_2023_2024,0.0
high_sci_province,0.0
mfg_post_x_highprerd,0.0
mfg_post_x_soe,0.0
mfg_post_x_highprov,0.0
