model,sample,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
G_Placebo_placebo_post2019_ln_invention_apply,,ln_invention_apply,placebo_post2019,0.027552073987608908,0.025863341629659684,0.28676535611264753,15837,4472,4,-0.0021755974569643843,PanelOLS
G_Placebo_placebo_post2019_ln_invention_apply,,ln_invention_apply,ln_assets,0.026702077164938193,0.031063152483263416,0.3900243232763665,15837,4472,4,-0.0021755974569643843,PanelOLS
G_Placebo_placebo_post2019_ln_invention_apply,,ln_invention_apply,roa,0.027723473158710918,0.09087501515463405,0.760316483074408,15837,4472,4,-0.0021755974569643843,PanelOLS
G_Placebo_placebo_post2019_ln_invention_apply,,ln_invention_apply,cashflow_ratio,0.041456563986278,0.1255409967342888,0.741237322981843,15837,4472,4,-0.0021755974569643843,PanelOLS
G_Placebo_placebo_post2019_ln_invention_apply,,ln_invention_apply,firm_age,-0.02799462886474014,0.11437754416774744,0.8066495247917143,15837,4472,4,-0.0021755974569643843,PanelOLS
G_Placebo_placebo_post2020_ln_invention_apply,,ln_invention_apply,placebo_post2020,0.0323627667481762,0.028933664876910414,0.2633703397658236,15837,4472,4,-0.002185029970558583,PanelOLS
G_Placebo_placebo_post2020_ln_invention_apply,,ln_invention_apply,ln_assets,0.026123396340459456,0.03105108742722679,0.4001955028875277,15837,4472,4,-0.002185029970558583,PanelOLS
G_Placebo_placebo_post2020_ln_invention_apply,,ln_invention_apply,roa,0.02417794476391234,0.09100233281161714,0.7904867239731526,15837,4472,4,-0.002185029970558583,PanelOLS
G_Placebo_placebo_post2020_ln_invention_apply,,ln_invention_apply,cashflow_ratio,0.04354390741084405,0.1256053583403986,0.7288438918127242,15837,4472,4,-0.002185029970558583,PanelOLS
G_Placebo_placebo_post2020_ln_invention_apply,,ln_invention_apply,firm_age,-0.0278345275650005,0.11426346232353961,0.807545379669476,15837,4472,4,-0.002185029970558583,PanelOLS
G_Placebo_placebo_post2019_ln_rd_expense_10k,,ln_rd_expense_10k,placebo_post2019,-0.26066976920111634,0.06753942155256898,0.00011423883170991189,15837,4472,4,-0.5549809363038287,PanelOLS
G_Placebo_placebo_post2019_ln_rd_expense_10k,,ln_rd_expense_10k,ln_assets,0.992666854718705,0.09806551265771622,0.0,15837,4472,4,-0.5549809363038287,PanelOLS
G_Placebo_placebo_post2019_ln_rd_expense_10k,,ln_rd_expense_10k,roa,0.3895840342563467,0.23661103183692436,0.09968507653967218,15837,4472,4,-0.5549809363038287,PanelOLS
G_Placebo_placebo_post2019_ln_rd_expense_10k,,ln_rd_expense_10k,cashflow_ratio,-0.47473161851917417,0.2992228563682919,0.1126427452322789,15837,4472,4,-0.5549809363038287,PanelOLS
G_Placebo_placebo_post2019_ln_rd_expense_10k,,ln_rd_expense_10k,firm_age,-0.5702335357098672,0.27175918018224976,0.0359002796968364,15837,4472,4,-0.5549809363038287,PanelOLS
G_Placebo_placebo_post2020_ln_rd_expense_10k,,ln_rd_expense_10k,placebo_post2020,-0.29369135231985943,0.06419265948842424,4.8090926607624596e-06,15837,4472,4,-0.5398420666278747,PanelOLS
G_Placebo_placebo_post2020_ln_rd_expense_10k,,ln_rd_expense_10k,ln_assets,0.9977086882449145,0.09782347102902672,0.0,15837,4472,4,-0.5398420666278747,PanelOLS
G_Placebo_placebo_post2020_ln_rd_expense_10k,,ln_rd_expense_10k,roa,0.42133175089039365,0.23627103826754678,0.07457133549772532,15837,4472,4,-0.5398420666278747,PanelOLS
G_Placebo_placebo_post2020_ln_rd_expense_10k,,ln_rd_expense_10k,cashflow_ratio,-0.4952641879766299,0.29908868039376996,0.09776750297061554,15837,4472,4,-0.5398420666278747,PanelOLS
G_Placebo_placebo_post2020_ln_rd_expense_10k,,ln_rd_expense_10k,firm_age,-0.5720120652784092,0.27100190672334246,0.03481725902331223,15837,4472,4,-0.5398420666278747,PanelOLS
G_Placebo_placebo_post2019_ln_rd_staff,,ln_rd_staff,placebo_post2019,-0.08727625520823624,0.04254366061654127,0.040245886099487205,15837,4472,4,-0.6981126602022449,PanelOLS
