,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
ln_invention_apply,26772.0,0.3871822810334938,1.076391306965729,0.0,0.0,0.0,0.0,0.0,0.0,3.258096538021482,4.801222675026841,5.31441447768423
ln_invention_grant,26772.0,0.29693397976465996,0.8482777770406734,0.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,4.04305126783455,4.406719247264253
ln_patent_apply_total,26772.0,0.5798792142392918,1.4466559568788342,0.0,0.0,0.0,0.0,0.0,0.0,4.31748811353631,5.840641657373398,6.185170286524958
ln_patent_grant_total,26772.0,0.5278057025853439,1.3531952666179794,0.0,0.0,0.0,0.0,0.0,0.0,4.0943445622221,5.564520407322694,5.968707559985366
rd_intensity,22829.0,0.0538321862944778,0.05656803108757971,0.0002894103202037,0.00029386795301907204,0.00184703198224686,0.0214471997219292,0.039497388240325,0.062635918603275,0.16610526807565282,0.3004022305902179,0.4014319500286057
ln_rd_staff,26772.0,4.460648313960391,2.373874076124217,0.0,0.0,0.0,3.8066624897703196,5.081404364984463,6.008813185442595,7.449439662812681,8.591456062841155,8.833084321408855
rd_staff_ratio,21953.0,0.17033998851546484,0.13872503441070116,0.004,0.0040993599999999,0.0156,0.0849,0.1346,0.2101,0.4711,0.6948306799999999,0.7198839999999997
ln_assets,26772.0,22.2166908480372,1.531704449649399,19.04066623402238,19.047148758644788,20.013579867751094,21.19541063145939,22.017901100276667,23.030863815889763,25.084223077613853,26.994406214427915,27.19938192256348
roa,26771.0,0.041259554095194946,0.0884101476376502,-0.3513654918020112,-0.3513654918020112,-0.11425721058579175,0.01504025963576825,0.0452507037065289,0.08361182131456754,0.1653247255040313,0.2463807774797201,0.2463807774797201
firm_age,25831.0,20.26944369168828,5.9858805085690445,7.0,8.0,11.0,16.0,20.0,24.0,30.0,36.0,38.0
cashflow_ratio,26770.0,0.048273494956813275,0.07211009706044577,-0.1718021094883041,-0.1615428336313989,-0.06995775593715811,0.008435453816879124,0.0471778400761636,0.08907160430021614,0.16943915479644495,0.2505419905295072,0.2519741206271185
eff_invention_apply_rd_10k,26772.0,-7.098281538702316,3.338661224316057,-12.835642548964305,-12.301008325042474,-10.985617812265925,-9.237697005993205,-8.031902241342486,-6.164937660514874,0.0,0.0,0.0
eff_invention_grant_rd_10k,26772.0,-7.186649213833224,3.3037564371274444,-12.722998231589186,-12.15165313432765,-10.937007521175595,-9.218710262469786,-8.079727994173824,-6.618794550068691,0.0,0.0,0.0
eff_invention_apply_staff,26772.0,-4.071713010703992,2.395365586204214,-8.707603313555747,-8.466210771263372,-7.329749689041512,-5.805134968916488,-4.700480365792417,-2.4849066497880004,0.0,0.0,0.0
eff_invention_grant_staff,26772.0,-4.159806184846892,2.326306408541284,-8.653046164569753,-8.400251921709147,-7.257707677160043,-5.780743515792329,-4.727387818712341,-3.091042453358316,0.0,0.0,0.0
ln_rd_expense_10k,26772.0,7.492154975246334,3.3914898959620214,0.0,0.0,0.0,7.134706361193898,8.464268184673832,9.498624339872496,11.17253001255704,12.475087949094085,13.033408333949401
manufacturing,26772.0,0.625280143433438,0.4840595395729384,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
soe,25159.0,0.08470129973369371,0.2784422223028732,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
pre_rd_intensity,22342.0,0.04860782038461774,0.047393984372959205,0.0002894103202037,0.0002894103202037,0.001580412502479,0.019144931042816,0.0377479218488766,0.0580137013469665,0.1460183513901254,0.2489117441837669,0.3181519683290545
