dependent,placebo,coef,se,p_value,nobs
ln_invention_apply,placebo_post2019,0.0276,0.0259,0.2868,15837
ln_invention_apply,placebo_post2020,0.0324,0.0289,0.2634,15837
ln_rd_expense_10k,placebo_post2019,-0.2607,0.0675,0.0001,15837
ln_rd_expense_10k,placebo_post2020,-0.2937,0.0642,0.0,15837
ln_rd_staff,placebo_post2019,-0.0873,0.0425,0.0402,15837
ln_rd_staff,placebo_post2020,-0.1264,0.0449,0.0048,15837
eff_invention_apply_rd_10k,placebo_post2019,0.2878,0.0719,0.0001,15837
eff_invention_apply_rd_10k,placebo_post2020,0.3224,0.0701,0.0,15837
eff_invention_grant_rd_10k,placebo_post2019,0.238,0.0715,0.0009,15837
eff_invention_grant_rd_10k,placebo_post2020,0.2938,0.0688,0.0,15837
