dependent,event_year,coef,se,p,ci_lower,ci_upper,N
ln_invention_apply,event_2017,0.0031272328466818325,0.03330886553015472,0.9252007088851391,-0.062158143592421417,0.06841260928578508,25831
ln_invention_apply,event_2018,-0.03193543837288623,0.031082763946055844,0.3042289968904168,-0.09285765570715568,0.02898677896138322,25831
ln_invention_apply,event_2019,-0.014177361155926046,0.03024480405796139,0.6392507315760534,-0.07345717710953037,0.04510245479767827,25831
ln_invention_apply,event_2021,-0.03343565405558233,0.02777993922580349,0.22876198845903106,-0.08788433493815717,0.021013026826992506,25831
ln_invention_apply,event_2022,-0.035163388982621606,0.03143836275331316,0.26337227626640725,-0.09678257997911541,0.02645580201387219,25831
ln_rd_expense_10k,event_2017,0.6871251292238431,0.10338702869541341,3.084110744566715e-11,0.48448655298083276,0.8897637054668533,25831
ln_rd_expense_10k,event_2018,0.3961615664577426,0.07735159420625692,3.05738996786431e-07,0.24455244181347902,0.5477706911020062,25831
ln_rd_expense_10k,event_2019,0.29627196728883626,0.057458753826868485,2.542734407473546e-07,0.18365280978817403,0.4088911247894985,25831
ln_rd_expense_10k,event_2021,0.010108515455478835,0.05498753292332951,0.8541463899246173,-0.097667049074247,0.11788407998520467,25831
ln_rd_expense_10k,event_2022,-0.002141682090498909,0.0661156776666354,0.9741589961107666,-0.1317284103171043,0.12744504613610647,25831
ln_rd_staff,event_2017,0.3585788011429093,0.06589926854156286,5.349245357777477e-08,0.2294162348014461,0.48774136748437247,25831
ln_rd_staff,event_2018,0.2180217181724728,0.0525181400201738,3.3183667657032956e-05,0.11508616373293215,0.32095727261201346,25831
ln_rd_staff,event_2019,0.198967023935943,0.0416530958490773,1.7936687219943792e-06,0.1173269560717515,0.28060709180013454,25831
ln_rd_staff,event_2021,0.011622322926024187,0.04543048928167494,0.7980873727782862,-0.07742143606605868,0.10066608191810707,25831
ln_rd_staff,event_2022,-0.07589095513204233,0.05034254848655579,0.131700133199947,-0.17456235016569166,0.02278043990160701,25831
eff_apply_rd_10k,event_2017,-0.6839978963771612,0.107428106074273,1.9680168605873405e-10,-0.8945569842827363,-0.47343880847158615,25831
eff_apply_rd_10k,event_2018,-0.4280970048306289,0.082946240483846,2.477364728914466e-07,-0.590671636178967,-0.26552237348229074,25831
eff_apply_rd_10k,event_2019,-0.3104493284447624,0.06422066072262525,1.3471276181231673e-06,-0.4363218234611079,-0.18457683342841694,25831
eff_apply_rd_10k,event_2021,-0.043544169511061284,0.061013912250975334,0.4754356055144717,-0.16313143752297293,0.07604309850085036,25831
eff_apply_rd_10k,event_2022,-0.03302170689212278,0.07240782895392174,0.6483576846680061,-0.1749410516418094,0.10889763785756384,25831
eff_apply_staff,event_2017,-0.35545156829622765,0.07211881583872563,8.342540633865525e-07,-0.49680444734012985,-0.21409868925232542,25831
eff_apply_staff,event_2018,-0.24995715654535905,0.059993424558132474,3.106990470413962e-05,-0.3675442686792987,-0.13237004441141942,25831
eff_apply_staff,event_2019,-0.2131443850918691,0.050775928704585443,2.707194021334125e-05,-0.3126652053528566,-0.11362356483088162,25831
eff_apply_staff,event_2021,-0.04505797698160664,0.05249507662623346,0.3907215606909986,-0.14794832716902423,0.057832373205810944,25831
eff_apply_staff,event_2022,0.040727566149420684,0.05809237036961574,0.483259231662043,-0.07313347977502616,0.15458861207386754,25831
