N,firms,r2_within,r2_overall,manufacturing_post2021_coef,manufacturing_post2021_se,manufacturing_post2021_p,ln_assets_coef,ln_assets_se,ln_assets_p,roa_coef,roa_se,roa_p,cashflow_ratio_coef,cashflow_ratio_se,cashflow_ratio_p,firm_age_coef,firm_age_se,firm_age_p,dependent,robustness_type,label,fe_spec
25831,5262,0.074420102754719,0.05278797706792626,0.26365527672404687,0.06156339566100864,1.8550737104439108e-05,-1.018214899194072,0.06495198348991336,0.0,-0.35955573392926243,0.18982060060629266,0.05821420049357395,0.061007402557509346,0.23179281601210527,0.7924006197664961,,,,eff_apply_rd_10k,unit,万元对数,
25831,5262,0.07384456649434745,0.05387488788802153,0.2770769259486223,0.06113614006418628,5.872085917957293e-06,-0.9950203184223262,0.06428878855275548,0.0,-0.42982210160335294,0.18426690347694752,0.01967842688617938,0.1543208912507438,0.22777415885679736,0.4980855376123534,,,,eff_grant_rd_10k,unit,万元对数,
25831,5262,0.06540884719304085,0.04681965505740171,0.17242324582664975,0.04987748964368969,0.0005474607258197928,-0.7922213005923834,0.047868414845474876,0.0,-0.03465177901069763,0.13842820524266383,0.8023399863221139,0.16118527355120682,0.1729411201617041,0.3513350696449782,,,,eff_apply_staff,unit,人员对数,
25831,5262,0.06505733776042255,0.04823040396744449,0.18584489505122523,0.04911191979025252,0.00015469730892370137,-0.7690267198206374,0.04747359924524727,0.0,-0.1049181466847877,0.13342926891019613,0.43168890788652003,0.2544987622444411,0.16982304080218769,0.1339898000168287,,,,eff_grant_staff,unit,人员对数,
22906,4930,0.0060986996113154834,0.0014072537483118541,-8.518647920257185e-09,3.9360597578845546e-09,0.030457701884430755,-1.0793828885777692e-08,3.6309082289552883e-09,0.002955238167250851,7.1001191706166056e-09,1.2420080702345248e-08,0.5675564433812863,2.4135573540277187e-09,1.683537891317835e-08,0.8860057237568941,,,,asinh_apply_per_rd,asinh_ratio,,
22906,4930,0.0020412916194672004,0.0011480894219966231,-1.7903350927789336e-09,1.8135111446242639e-09,0.3235479256074105,-4.269326037288665e-09,1.7587371723577558e-09,0.015213247361598237,-9.79282770206348e-09,5.477502501638989e-09,0.07382074588549536,1.4343315055094501e-08,7.463231460238506e-09,0.05463868396694482,,,,asinh_grant_per_rd,asinh_ratio,,
21989,4845,7.091016595561772e-05,5.209906681458154e-05,-7.525054160083533e-06,0.0011724473248680895,0.9948790912966472,7.177259367408728e-05,0.001070388645813148,0.9465404235617332,0.0012724261358678167,0.0034287963696569734,0.7105676816850202,0.0038203175698549637,0.005447214279447471,0.48310401103732437,,,,asinh_apply_per_staff,asinh_ratio,,
21989,4845,0.0003932078580229925,0.00032286287655536317,9.589093460800743e-05,0.0005994603931069228,0.8729128265139325,0.00030936832795471007,0.0005234621958908253,0.5545254385530476,-0.0029386181318520324,0.0017697674751244647,0.09684137767770462,0.0049863064594564644,0.0025730969635310475,0.05265648645018883,,,,asinh_grant_per_staff,asinh_ratio,,
25813,5254,0.07458801025013428,0.05283794759570826,0.2619777665990088,0.06154889295482575,2.0864972796630354e-05,-1.0183002634186409,0.06495363292678025,0.0,-0.36171346103978225,0.18983403347235356,0.05673950993097332,0.058059506610314594,0.23184848327725413,0.8022650364433948,,,,eff_apply_rd_10k,stronger_fe,,Firm+Year
25813,5254,,,0.2552361004522609,0.06353752604771405,5.9132069832879e-05,,,,,,,,,,,,,eff_apply_rd_10k,stronger_fe,,Firm+Year+Prov×Year
